Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Τόπον,τόπος,—,—,—,—,masculine,accusative,singular,noun,John 19:17,καὶ βαστάζων ἑαυτῷ τὸν σταυρὸν ἐξῆλθεν εἰς τὸν λεγόμενον Κρανίου,", ὃ λέγεται Ἑβραϊστὶ Γολγοθα,"
Τόπος,τόπος,—,—,—,—,masculine,nominative,singular,noun,Matthew 27:33,"Καὶ ἐλθόντες εἰς  τόπον  λεγόμενον Γολγοθᾶ, ὅ ἐστιν Κρανίου","λεγόμενος,"
Τόπος,τόπος,—,—,—,—,masculine,nominative,singular,noun,Mark 15:22,"Καὶ φέρουσιν αὐτὸν ἐπὶ τὸν Γολγοθᾶν τόπον, ὅ ἐστιν μεθερμηνευόμενον Κρανίου",.
τόποις,τόπος,—,—,—,—,masculine,dative,plural,noun,Acts 16:3,"τοῦτον ἠθέλησεν ὁ Παῦλος σὺν αὐτῷ ἐξελθεῖν, καὶ λαβὼν περιέτεμεν αὐτὸν διὰ τοὺς Ἰουδαίους τοὺς ὄντας ἐν τοῖς",ἐκείνοις·  ᾔδεισαν γὰρ ἅπαντες ὅτι Ἕλλην ὁ πατὴρ αὐτοῦ ὑπῆρχεν.
τόποις,τόπος,—,—,—,—,masculine,dative,plural,noun,Mark 1:45,"ὥστε μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν, ἀλλʼ ἔξω ἐπʼ ἐρήμοις",ἦν· καὶ ἤρχοντο πρὸς αὐτὸν πάντοθεν.
τόπον,τόπος,—,—,—,—,masculine,accusative,singular,noun,Matthew 14:13,Ἀκούσας δὲ ὁ Ἰησοῦς ἀνεχώρησεν ἐκεῖθεν ἐν πλοίῳ εἰς ἔρημον,κατʼ ἰδίαν· καὶ ἀκούσαντες οἱ ὄχλοι ἠκολούθησαν αὐτῷ πεζῇ ἀπὸ τῶν πόλεων.
τόπον,τόπος,—,—,—,—,masculine,accusative,singular,noun,Matthew 26:52,τότε λέγει αὐτῷ ὁ Ἰησοῦς· ἀπόστρεψον τὴν μάχαιράν σου εἰς τὸν,αὐτῆς· πάντες γὰρ οἱ λαβόντες μάχαιραν ἐν μαχαίρῃ ἀπολοῦνται.
τόπον,τόπος,—,—,—,—,masculine,accusative,singular,noun,Matthew 27:33,Καὶ ἐλθόντες εἰς,"λεγόμενον Γολγοθᾶ, ὅ ἐστιν Κρανίου Τόπος λεγόμενος,"
τόπον,τόπος,—,—,—,—,masculine,accusative,singular,noun,Matthew 28:6,"οὐκ ἔστιν ὧδε, ἠγέρθη γὰρ καθὼς εἶπεν· δεῦτε ἴδετε τὸν",ὅπου ἔκειτο.
τόπον,τόπος,—,—,—,—,masculine,accusative,singular,noun,Mark 15:22,Καὶ φέρουσιν αὐτὸν ἐπὶ τὸν Γολγοθᾶν,", ὅ ἐστιν μεθερμηνευόμενον Κρανίου Τόπος."
τόπον,τόπος,—,—,—,—,masculine,accusative,singular,noun,Luke 4:17,καὶ ἐπεδόθη αὐτῷ βιβλίον τοῦ προφήτου Ἠσαΐου καὶ ἀναπτύξας τὸ βιβλίον εὗρεν τὸν,οὗ ἦν γεγραμμένον·
