Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 2:7,—,"Ἡρῴδης λάθρᾳ καλέσας τοὺς μάγους ἠκρίβωσεν παρʼ αὐτῶν τὸν χρόνον τοῦ φαινομένου ἀστέρος,"
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 2:16,—,"Ἡρῴδης ἰδὼν ὅτι ἐνεπαίχθη ὑπὸ τῶν μάγων ἐθυμώθη λίαν, καὶ ἀποστείλας ἀνεῖλεν πάντας"
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 3:5,—,"ἐξεπορεύετο πρὸς αὐτὸν Ἱεροσόλυμα καὶ πᾶσα ἡ Ἰουδαία καὶ πᾶσα ἡ περίχωρος τοῦ Ἰορδάνου,"
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 3:13,—,παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπʼ αὐτοῦ.
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 4:1,—,ὁ Ἰησοῦς ἀνήχθη εἰς τὴν ἔρημον ὑπὸ τοῦ πνεύματος πειρασθῆναι ὑπὸ τοῦ διαβόλου.
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 4:5,—,παραλαμβάνει αὐτὸν ὁ διάβολος εἰς τὴν ἁγίαν πόλιν καὶ ἔστησεν αὐτὸν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 4:11,—,"ἀφίησιν αὐτὸν ὁ διάβολος, καὶ ἰδοὺ ἄγγελοι προσῆλθον καὶ διηκόνουν αὐτῷ."
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 9:14,—,προσέρχονται αὐτῷ οἱ μαθηταὶ Ἰωάννου λέγοντες· διὰ τί ἡμεῖς καὶ οἱ Φαρισαῖοι νηστεύομεν
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 11:20,—,"ἤρξατο  ὀνειδίζειν τὰς πόλεις ἐν αἷς ἐγένοντο αἱ πλεῖσται δυνάμεις αὐτοῦ, ὅτι οὐ μετενόησαν·"
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 12:22,—,"προσηνέχθη αὐτῷ δαιμονιζόμενος τυφλὸς καὶ κωφός, καὶ ἐθεράπευσεν αὐτόν, ὥστε τὸν κωφὸν λαλεῖν καὶ βλέπειν."
Τότε,τότε,—,—,—,—,—,—,—,adverb,Matthew 12:38,—,"ἀπεκρίθησαν αὐτῷ τινες τῶν γραμματέων καὶ Φαρισαίων λέγοντες· διδάσκαλε, θέλομεν ἀπὸ σοῦ σημεῖον ἰδεῖν."
