Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
χρόνοις,χρόνος,—,—,—,—,masculine,dative,plural,noun,Luke 8:29,παρήγγειλεν γὰρ τῷ πνεύματι τῷ ἀκαθάρτῳ ἐξελθεῖν ἀπὸ τοῦ ἀνθρώπου. πολλοῖς γὰρ,συνηρπάκει αὐτὸν καὶ ἐδεσμεύετο ἁλύσεσιν καὶ πέδαις φυλασσόμενος καὶ διαρρήσσων τὰ δεσμὰ ἠλαύνετο
χρόνοις,χρόνος,—,—,—,—,masculine,dative,plural,noun,Romans 16:25,"Τῷ δὲ δυναμένῳ ὑμᾶς στηρίξαι κατὰ τὸ εὐαγγέλιόν μου καὶ τὸ κήρυγμα Ἰησοῦ Χριστοῦ, κατὰ ἀποκάλυψιν μυστηρίου","αἰωνίοις σεσιγημένου,"
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Matthew 2:7,Τότε Ἡρῴδης λάθρᾳ καλέσας τοὺς μάγους ἠκρίβωσεν παρʼ αὐτῶν τὸν,"τοῦ φαινομένου ἀστέρος,"
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Matthew 2:16,"καὶ ἐν πᾶσιν τοῖς ὁρίοις αὐτῆς ἀπὸ διετοῦς καὶ κατωτέρω, κατὰ τὸν",ὃν ἠκρίβωσεν παρὰ τῶν μάγων.
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Matthew 25:19,Μετὰ δὲ πολὺν,ἔρχεται ὁ κύριος τῶν δούλων ἐκείνων καὶ συναίρει λόγον μετʼ αὐτῶν.
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Mark 2:19,υἱοὶ τοῦ νυμφῶνος ἐν ᾧ ὁ νυμφίος μετʼ αὐτῶν ἐστιν νηστεύειν; ὅσον,ἔχουσιν τὸν νυμφίον μετʼ αὐτῶν οὐ δύνανται νηστεύειν.
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Luke 18:4,καὶ οὐκ ἤθελεν ἐπὶ,". μετὰ δὲ ταῦτα εἶπεν ἐν ἑαυτῷ· εἰ καὶ τὸν θεὸν οὐ φοβοῦμαι οὐδὲ ἄνθρωπον ἐντρέπομαι,"
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,John 5:6,τοῦτον ἰδὼν ὁ Ἰησοῦς κατακείμενον καὶ γνοὺς ὅτι πολὺν ἤδη,"ἔχει, λέγει αὐτῷ· θέλεις ὑγιὴς γενέσθαι;"
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,John 7:33,Εἶπεν οὖν ὁ Ἰησοῦς· ἔτι,μικρὸν μεθʼ ὑμῶν εἰμι καὶ ὑπάγω πρὸς τὸν πέμψαντά με.
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,John 12:35,εἶπεν οὖν αὐτοῖς ὁ Ἰησοῦς· ἔτι μικρὸν,"τὸ φῶς ἐν ὑμῖν ἐστιν. περιπατεῖτε ὡς τὸ φῶς ἔχετε, ἵνα μὴ  σκοτία"
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Acts 13:18,καὶ ὡς τεσσερακονταετῆ,ἐτροποφόρησεν αὐτοὺς ἐν τῇ ἐρήμῳ
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Acts 14:3,ἱκανὸν μὲν οὖν,διέτριψαν παρρησιαζόμενοι ἐπὶ τῷ κυρίῳ τῷ μαρτυροῦντι [ἐπὶ] τῷ λόγῳ τῆς χάριτος αὐτοῦ
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Acts 14:28,διέτριβον δὲ,οὐκ ὀλίγον σὺν τοῖς μαθηταῖς.
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Acts 15:33,ποιήσαντες δὲ,ἀπελύθησαν μετʼ εἰρήνης ἀπὸ τῶν ἀδελφῶν πρὸς τοὺς ἀποστείλαντας αὐτούς.
χρόνον,χρόνος,—,—,—,—,masculine,accusative,singular,noun,Acts 18:20,ἐρωτώντων δὲ αὐτῶν ἐπὶ πλείονα,"μεῖναι  οὐκ ἐπένευσεν,"
