Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀγαθά,ἀγαθός,—,—,—,—,neuter,accusative,plural,adjective,Matthew 12:35,ὁ ἀγαθὸς ἄνθρωπος ἐκ τοῦ ἀγαθοῦ θησαυροῦ  ἐκβάλλει,", καὶ ὁ πονηρὸς ἄνθρωπος ἐκ τοῦ πονηροῦ θησαυροῦ  ἐκβάλλει  πονηρά."
ἀγαθά,ἀγαθός,—,—,—,—,neuter,accusative,plural,adjective,Luke 12:18,ἀποθήκας καὶ μείζονας οἰκοδομήσω καὶ συνάξω ἐκεῖ πάντα τὸν σῖτον καὶ τὰ,μου
ἀγαθά,ἀγαθός,—,—,—,—,neuter,accusative,plural,adjective,Luke 16:25,"εἶπεν δὲ Ἀβραάμ· τέκνον, μνήσθητι ὅτι ἀπέλαβες τὰ","σου ἐν τῇ ζωῇ σου, καὶ Λάζαρος ὁμοίως τὰ κακά· νῦν δὲ ὧδε παρακαλεῖται, σὺ δὲ ὀδυνᾶσαι."
ἀγαθά,ἀγαθός,—,—,—,—,neuter,nominative,plural,adjective,Romans 3:8,"καὶ μὴ καθὼς βλασφημούμεθα καὶ καθώς φασίν τινες ἡμᾶς λέγειν ὅτι ποιήσωμεν τὰ κακά, ἵνα ἔλθῃ  τὰ",; ὧν τὸ κρίμα ἔνδικόν ἐστιν.
ἀγαθά,ἀγαθός,—,—,—,—,neuter,accusative,plural,adjective,Romans 10:15,πῶς δὲ κηρύξωσιν ἐὰν μὴ ἀποσταλῶσιν; καθὼς γέγραπται· ὡς ὡραῖοι οἱ πόδες  τῶν εὐαγγελιζομένων [τὰ],.
ἀγαθάς,ἀγαθός,—,—,—,—,feminine,accusative,plural,adjective,Titus 2:5,σώφρονας ἁγνὰς οἰκουργοὺς,", ὑποτασσομένας τοῖς ἰδίοις ἀνδράσιν, ἵνα μὴ ὁ λόγος τοῦ θεοῦ  βλασφημῆται."
ἀγαθέ,ἀγαθός,—,—,—,—,masculine,vocative,singular,adjective,Mark 10:17,Καὶ ἐκπορευομένου αὐτοῦ εἰς ὁδὸν προσδραμὼν εἷς καὶ γονυπετήσας αὐτὸν ἐπηρώτα αὐτόν· διδάσκαλε,", τί ποιήσω ἵνα ζωὴν αἰώνιον κληρονομήσω;"
ἀγαθέ,ἀγαθός,—,—,—,—,masculine,vocative,singular,adjective,Luke 18:18,Καὶ ἐπηρώτησέν τις αὐτὸν ἄρχων λέγων· διδάσκαλε,", τί ποιήσας ζωὴν αἰώνιον κληρονομήσω;"
ἀγαθή,ἀγαθός,—,—,—,—,feminine,nominative,singular,adjective,Romans 7:12,ὥστε ὁ μὲν νόμος ἅγιος καὶ ἡ ἐντολὴ ἁγία καὶ δικαία καὶ,.
ἀγαθήν,ἀγαθός,—,—,—,—,feminine,accusative,singular,adjective,Titus 2:10,"μὴ νοσφιζομένους, ἀλλὰ πᾶσαν πίστιν ἐνδεικνυμένους",", ἵνα τὴν διδασκαλίαν τὴν τοῦ σωτῆρος ἡμῶν θεοῦ κοσμῶσιν ἐν πᾶσιν."
