Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀδελφέ,ἀδελφός,—,—,—,—,masculine,vocative,singular,noun,Luke 6:42,πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου·,", ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ"
ἀδελφέ,ἀδελφός,—,—,—,—,masculine,vocative,singular,noun,Acts 9:17,Ἀπῆλθεν δὲ Ἁνανίας καὶ εἰσῆλθεν εἰς τὴν οἰκίαν καὶ ἐπιθεὶς ἐπʼ αὐτὸν τὰς χεῖρας εἶπεν· Σαοὺλ,", ὁ κύριος ἀπέσταλκέν με, Ἰησοῦς ὁ ὀφθείς σοι ἐν τῇ ὁδῷ ᾗ ἤρχου"
ἀδελφέ,ἀδελφός,—,—,—,—,masculine,vocative,singular,noun,Acts 21:20,"Οἱ δὲ ἀκούσαντες ἐδόξαζον τὸν θεὸν εἶπόν τε αὐτῷ· θεωρεῖς,",", πόσαι μυριάδες εἰσὶν ἐν τοῖς Ἰουδαίοις τῶν πεπιστευκότων καὶ πάντες  ζηλωταὶ τοῦ νόμου ὑπάρχουσιν·"
ἀδελφέ,ἀδελφός,—,—,—,—,masculine,vocative,singular,noun,Acts 22:13,ἐλθὼν πρός με καὶ ἐπιστὰς εἶπέν μοι· Σαοὺλ,", ἀνάβλεψον. κἀγὼ αὐτῇ τῇ ὥρᾳ ἀνέβλεψα εἰς αὐτόν."
ἀδελφέ,ἀδελφός,—,—,—,—,masculine,vocative,singular,noun,Philemon 7,"χαρὰν γὰρ πολλὴν ἔσχον καὶ παράκλησιν ἐπὶ τῇ ἀγάπῃ σου, ὅτι τὰ σπλάγχνα τῶν ἁγίων ἀναπέπαυται διὰ σοῦ,",.
ἀδελφέ,ἀδελφός,—,—,—,—,masculine,vocative,singular,noun,Philemon 20,ναὶ,", ἐγώ σου ὀναίμην ἐν κυρίῳ· ἀνάπαυσόν μου τὰ σπλάγχνα ἐν Χριστῷ."
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Matthew 12:47,εἶπεν δέ τις αὐτῷ· ἰδοὺ ἡ μήτηρ σου καὶ οἱ,σου ἔξω ἑστήκασιν ζητοῦντές σοι λαλῆσαι.]
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Matthew 12:48,ὁ δὲ ἀποκριθεὶς εἶπεν τῷ λέγοντι αὐτῷ· τίς ἐστιν ἡ μήτηρ μου καὶ τίνες εἰσὶν οἱ,μου;
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Matthew 12:49,καὶ ἐκτείνας τὴν χεῖρα αὐτοῦ ἐπὶ τοὺς μαθητὰς αὐτοῦ εἶπεν· ἰδοὺ ἡ μήτηρ μου καὶ οἱ,μου.
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Matthew 22:25,ἦσαν δὲ παρʼ ἡμῖν ἑπτὰ,"· καὶ ὁ πρῶτος γήμας ἐτελεύτησεν, καὶ μὴ ἔχων σπέρμα ἀφῆκεν τὴν γυναῖκα αὐτοῦ τῷ ἀδελφῷ αὐτοῦ·"
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Matthew 23:8,"Ὑμεῖς δὲ μὴ κληθῆτε ῥαββί· εἷς γάρ ἐστιν ὑμῶν ὁ διδάσκαλος , πάντες δὲ ὑμεῖς",ἐστε.
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Mark 3:32,"καὶ ἐκάθητο περὶ αὐτὸν ὄχλος, καὶ λέγουσιν αὐτῷ· ἰδοὺ ἡ μήτηρ σου καὶ οἱ",σου [καὶ αἱ ἀδελφαί σου] ἔξω ζητοῦσίν σε.
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Mark 3:33,καὶ ἀποκριθεὶς αὐτοῖς λέγει· τίς ἐστιν ἡ μήτηρ μου καὶ οἱ,[μου];
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Mark 3:34,καὶ περιβλεψάμενος τοὺς περὶ αὐτὸν κύκλῳ καθημένους λέγει· ἴδε ἡ μήτηρ μου καὶ οἱ,μου.
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Luke 8:20,ἀπηγγέλη δὲ αὐτῷ· ἡ μήτηρ σου καὶ οἱ,σου ἑστήκασιν ἔξω ἰδεῖν θέλοντές σε.
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Luke 8:21,ὁ δὲ ἀποκριθεὶς εἶπεν πρὸς αὐτούς· μήτηρ μου καὶ,μου οὗτοί εἰσιν οἱ τὸν λόγον τοῦ θεοῦ ἀκούοντες καὶ ποιοῦντες.
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,vocative,plural,noun,Acts 1:16,ἄνδρες,", ἔδει πληρωθῆναι τὴν γραφὴν  ἣν προεῖπεν τὸ πνεῦμα τὸ ἅγιον διὰ στόματος Δαυὶδ"
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,vocative,plural,noun,Acts 2:29,Ἄνδρες,", ἐξὸν εἰπεῖν μετὰ παρρησίας πρὸς ὑμᾶς περὶ τοῦ πατριάρχου Δαυὶδ ὅτι καὶ ἐτελεύτησεν"
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,vocative,plural,noun,Acts 2:37,"Ἀκούσαντες δὲ κατενύγησαν τὴν καρδίαν εἶπόν τε πρὸς τὸν Πέτρον καὶ τοὺς λοιποὺς ἀποστόλους· τί  ποιήσωμεν, ἄνδρες",;
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,vocative,plural,noun,Acts 3:17,"Καὶ νῦν,",", οἶδα ὅτι κατὰ ἄγνοιαν ἐπράξατε  ὥσπερ καὶ οἱ ἄρχοντες ὑμῶν·"
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,vocative,plural,noun,Acts 6:3,"ἐπισκέψασθε δέ,",", ἄνδρας ἐξ ὑμῶν μαρτυρουμένους ἑπτά, πλήρεις πνεύματος  καὶ σοφίας, οὓς καταστήσομεν ἐπὶ τῆς χρείας ταύτης,"
ἀδελφοί,ἀδελφός,—,—,—,—,masculine,nominative,plural,noun,Acts 7:26,"τῇ τε ἐπιούσῃ ἡμέρᾳ ὤφθη αὐτοῖς μαχομένοις  καὶ συνήλλασσεν αὐτοὺς εἰς εἰρήνην εἰπών· ἄνδρες,",ἐστε· ἱνατί ἀδικεῖτε ἀλλήλους;
