Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
Ἤκουσεν,ἀκούω,aorist,active,indicative,third person,singular,Luke 9:7,—,δὲ Ἡρῴδης ὁ τετραάρχης τὰ γινόμενα  πάντα καὶ διηπόρει διὰ τὸ λέγεσθαι ὑπό
Ἤκουσεν,ἀκούω,aorist,active,indicative,third person,singular,John 9:35,—,Ἰησοῦς ὅτι ἐξέβαλον αὐτὸν ἔξω καὶ εὑρὼν αὐτὸν εἶπεν ·  σὺ πιστεύεις εἰς τὸν υἱὸν τοῦ ἀνθρώπου;
Ἤκουσαν,ἀκούω,aorist,active,indicative,third person,plural,Acts 11:1,—,δὲ οἱ ἀπόστολοι καὶ οἱ ἀδελφοὶ οἱ ὄντες κατὰ τὴν Ἰουδαίαν ὅτι καὶ
Ἤκουον,ἀκούω,imperfect,active,indicative,third person,plural,Luke 16:14,—,δὲ ταῦτα πάντα οἱ Φαρισαῖοι φιλάργυροι ὑπάρχοντες καὶ ἐξεμυκτήριζον αὐτόν.
Ἤκουον,ἀκούω,imperfect,active,indicative,third person,plural,Acts 22:22,—,δὲ αὐτοῦ ἄχρι τούτου τοῦ λόγου καὶ ἐπῆραν τὴν φωνὴν αὐτῶν λέγοντες· αἶρε
Ἠκούσθη,ἀκούω,aorist,passive,indicative,third person,singular,Acts 11:22,—,δὲ ὁ λόγος εἰς τὰ ὦτα τῆς ἐκκλησίας τῆς οὔσης ἐν Ἰερουσαλὴμ περὶ
Ἠκούσατε,ἀκούω,aorist,active,indicative,second person,plural,Matthew 5:21,—,"ὅτι ἐρρέθη τοῖς ἀρχαίοις· οὐ φονεύσεις· ὃς δʼ ἂν φονεύσῃ, ἔνοχος ἔσται τῇ κρίσει."
Ἠκούσατε,ἀκούω,aorist,active,indicative,second person,plural,Matthew 5:27,—,ὅτι ἐρρέθη· οὐ μοιχεύσεις.
Ἠκούσατε,ἀκούω,aorist,active,indicative,second person,plural,Matthew 5:38,—,ὅτι ἐρρέθη· ὀφθαλμὸν ἀντὶ ὀφθαλμοῦ καὶ ὀδόντα ἀντὶ ὀδόντος.
Ἠκούσατε,ἀκούω,aorist,active,indicative,second person,plural,Matthew 5:43,—,ὅτι ἐρρέθη· ἀγαπήσεις τὸν πλησίον σου καὶ μισήσεις τὸν ἐχθρόν σου.
Ἠκούσατε,ἀκούω,aorist,active,indicative,second person,plural,Galatians 1:13,—,"γὰρ τὴν ἐμὴν ἀναστροφήν ποτε ἐν τῷ Ἰουδαϊσμῷ, ὅτι καθʼ ὑπερβολὴν ἐδίωκον τὴν"
ἤκουσεν,ἀκούω,aorist,active,indicative,third person,singular,Matthew 14:1,Ἐν ἐκείνῳ  τῷ καιρῷ,"Ἡρῴδης ὁ τετραάρχης τὴν ἀκοὴν Ἰησοῦ,"
