Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,Matthew 22:16,"λέγοντες· διδάσκαλε, οἴδαμεν ὅτι ἀληθὴς εἶ καὶ τὴν ὁδὸν τοῦ θεοῦ ἐν","διδάσκεις καὶ οὐ μέλει σοι περὶ οὐδενός· οὐ γὰρ βλέπεις εἰς πρόσωπον ἀνθρώπων,"
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,Mark 5:33,"ὃ γέγονεν αὐτῇ, ἦλθεν καὶ προσέπεσεν αὐτῷ καὶ εἶπεν αὐτῷ πᾶσαν τὴν",.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Mark 12:14,"μέλει σοι περὶ οὐδενός· οὐ γὰρ βλέπεις εἰς πρόσωπον ἀνθρώπων, ἀλλʼ ἐπʼ",τὴν ὁδὸν τοῦ θεοῦ διδάσκεις· ἔξεστιν δοῦναι κῆνσον Καίσαρι ἢ οὔ; δῶμεν ἢ μὴ δῶμεν;
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Mark 12:32,"Καὶ εἶπεν αὐτῷ ὁ γραμματεύς· καλῶς, διδάσκαλε, ἐπʼ",εἶπες ὅτι εἷς ἐστιν καὶ οὐκ ἔστιν ἄλλος πλὴν αὐτοῦ·
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Luke 4:25,ἐπʼ,"δὲ λέγω ὑμῖν,  πολλαὶ χῆραι ἦσαν ἐν ταῖς ἡμέραις Ἠλίου ἐν τῷ Ἰσραήλ"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Luke 20:21,"καὶ ἐπηρώτησαν αὐτὸν λέγοντες· διδάσκαλε, οἴδαμεν ὅτι ὀρθῶς λέγεις καὶ διδάσκεις καὶ οὐ λαμβάνεις πρόσωπον, ἀλλʼ ἐπʼ",τὴν ὁδὸν τοῦ θεοῦ διδάσκεις·
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Luke 22:59,καὶ διαστάσης ὡσεὶ ὥρας μιᾶς ἄλλος τις διϊσχυρίζετο λέγων· ἐπʼ,"καὶ οὗτος μετʼ αὐτοῦ ἦν, καὶ γὰρ Γαλιλαῖός ἐστιν."
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,John 1:14,"ἐθεασάμεθα τὴν δόξαν αὐτοῦ, δόξαν ὡς μονογενοῦς παρὰ πατρός, πλήρης χάριτος καὶ",.
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,John 1:17,"ὅτι ὁ νόμος διὰ Μωϋσέως ἐδόθη, ἡ χάρις καὶ ἡ",διὰ Ἰησοῦ Χριστοῦ ἐγένετο.
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,John 3:21,ὁ δὲ ποιῶν τὴν,"ἔρχεται πρὸς τὸ φῶς, ἵνα φανερωθῇ αὐτοῦ τὰ ἔργα ὅτι ἐν θεῷ ἐστιν εἰργασμένα."
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,John 4:23,"ἀλλʼ ἔρχεται ὥρα καὶ νῦν ἐστιν, ὅτε οἱ ἀληθινοὶ προσκυνηταὶ προσκυνήσουσιν τῷ πατρὶ ἐν πνεύματι καὶ",· καὶ γὰρ ὁ πατὴρ τοιούτους ζητεῖ τοὺς προσκυνοῦντας αὐτόν.
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,John 4:24,"πνεῦμα ὁ θεός, καὶ τοὺς προσκυνοῦντας αὐτὸν ἐν πνεύματι καὶ",δεῖ προσκυνεῖν.
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,John 5:33,"ὑμεῖς ἀπεστάλκατε πρὸς Ἰωάννην, καὶ μεμαρτύρηκεν τῇ",·
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,John 8:32,καὶ γνώσεσθε τὴν,", καὶ ἡ ἀλήθεια ἐλευθερώσει ὑμᾶς."
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,John 8:32,"καὶ γνώσεσθε τὴν ἀλήθειαν, καὶ ἡ",ἐλευθερώσει ὑμᾶς.
