Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀληθές,ἀληθής,—,—,—,—,neuter,nominative,singular,adjective,Acts 12:9,καὶ ἐξελθὼν ἠκολούθει καὶ οὐκ ᾔδει ὅτι,ἐστιν τὸ γινόμενον διὰ τοῦ ἀγγέλου· ἐδόκει δὲ ὅραμα βλέπειν.
ἀληθές,ἀληθής,—,—,—,—,neuter,nominative,singular,adjective,1 John 2:27,"διδάσκῃ ὑμᾶς, ἀλλʼ ὡς τὸ αὐτοῦ χρῖσμα διδάσκει ὑμᾶς περὶ πάντων, καὶ","ἐστιν καὶ οὐκ ἔστιν ψεῦδος, καὶ καθὼς ἐδίδαξεν ὑμᾶς, μένετε ἐν αὐτῷ."
ἀληθής,ἀληθής,—,—,—,—,masculine,nominative,singular,adjective,John 3:33,ὁ λαβὼν αὐτοῦ τὴν μαρτυρίαν  ἐσφράγισεν ὅτι ὁ θεὸς,ἐστιν.
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,John 5:31,"Ἐὰν ἐγὼ μαρτυρῶ περὶ ἐμαυτοῦ, ἡ μαρτυρία μου οὐκ ἔστιν",·
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,John 5:32,"ἄλλος ἐστὶν ὁ μαρτυρῶν περὶ ἐμοῦ, καὶ οἶδα ὅτι",ἐστιν ἡ μαρτυρία ἣν μαρτυρεῖ περὶ ἐμοῦ.
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,John 6:55,ἡ γὰρ σάρξ μου,"ἐστιν βρῶσις, καὶ τὸ αἷμά μου ἀληθής ἐστιν πόσις."
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,John 6:55,"ἡ γὰρ σάρξ μου ἀληθής ἐστιν βρῶσις, καὶ τὸ αἷμά μου",ἐστιν πόσις.
ἀληθής,ἀληθής,—,—,—,—,masculine,nominative,singular,adjective,John 7:18,ὁ ἀφʼ ἑαυτοῦ λαλῶν τὴν δόξαν τὴν ἰδίαν ζητεῖ· ὁ δὲ ζητῶν τὴν δόξαν τοῦ πέμψαντος αὐτὸν οὗτος,ἐστιν καὶ ἀδικία ἐν αὐτῷ οὐκ ἔστιν.
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,John 8:13,Εἶπον οὖν αὐτῷ οἱ Φαρισαῖοι· σὺ περὶ σεαυτοῦ μαρτυρεῖς· ἡ μαρτυρία σου οὐκ ἔστιν,.
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,John 8:14,"ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτοῖς· κἂν ἐγὼ μαρτυρῶ περὶ ἐμαυτοῦ,","ἐστιν ἡ μαρτυρία μου, ὅτι οἶδα πόθεν ἦλθον καὶ ποῦ ὑπάγω· ὑμεῖς δὲ"
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,John 8:17,καὶ ἐν τῷ νόμῳ δὲ τῷ ὑμετέρῳ γέγραπται ὅτι δύο ἀνθρώπων ἡ μαρτυρία,ἐστιν.
ἀληθής,ἀληθής,—,—,—,—,masculine,nominative,singular,adjective,John 8:26,"πολλὰ ἔχω περὶ ὑμῶν λαλεῖν καὶ κρίνειν, ἀλλʼ ὁ πέμψας με","ἐστιν, κἀγὼ ἃ ἤκουσα παρʼ αὐτοῦ ταῦτα λαλῶ εἰς τὸν κόσμον."
ἀληθής,ἀληθής,—,—,—,—,masculine,nominative,singular,adjective,Romans 3:4,μὴ γένοιτο· γινέσθω δὲ ὁ θεὸς,", πᾶς δὲ ἄνθρωπος ψεύστης, καθὼς γέγραπται·        ὅπως ἂν δικαιωθῇς ἐν τοῖς λόγοις σου"
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,Titus 1:13,ἡ μαρτυρία αὕτη ἐστὶν,". διʼ ἣν αἰτίαν ἔλεγχε αὐτοὺς ἀποτόμως, ἵνα ὑγιαίνωσιν ἐν τῇ πίστει,"
ἀληθής,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,3 John 12,"τῆς ἀληθείας· καὶ ἡμεῖς δὲ μαρτυροῦμεν, καὶ οἶδας ὅτι ἡ μαρτυρία ἡμῶν",ἐστιν.  Πολλὰ
ἀληθεῖς,ἀληθής,—,—,—,—,masculine,nominative,plural,adjective,2 Corinthians 6:8,"διὰ δόξης καὶ ἀτιμίας, διὰ δυσφημίας καὶ εὐφημίας· ὡς πλάνοι καὶ",","
ἀληθοῦς,ἀληθής,—,—,—,—,feminine,genitive,singular,adjective,2 Peter 2:22,συμβέβηκεν  αὐτοῖς τὸ τῆς,"παροιμίας· κύων ἐπιστρέψας ἐπὶ τὸ ἴδιον ἐξέραμα, καί· ὗς λουσαμένη εἰς κυλισμὸν βορβόρου."
ἀληθὲς,ἀληθής,—,—,—,—,neuter,accusative,singular,adjective,John 4:18,πέντε γὰρ ἄνδρας ἔσχες καὶ νῦν ὃν ἔχεις οὐκ ἔστιν σου ἀνήρ· τοῦτο,εἴρηκας.
ἀληθὲς,ἀληθής,—,—,—,—,neuter,"nominative, accusative",singular,adjective,1 John 2:8,πάλιν ἐντολὴν καινὴν γράφω ὑμῖν ὅ ἐστιν,"ἐν αὐτῷ καὶ ἐν ὑμῖν, ὅτι ἡ σκοτία παράγεται καὶ τὸ φῶς τὸ ἀληθινὸν ἤδη φαίνει."
ἀληθὴς,ἀληθής,—,—,—,—,masculine,nominative,singular,adjective,Matthew 22:16,"καὶ ἀποστέλλουσιν αὐτῷ τοὺς μαθητὰς αὐτῶν μετὰ τῶν Ἡρῳδιανῶν λέγοντες· διδάσκαλε, οἴδαμεν ὅτι",εἶ καὶ τὴν ὁδὸν τοῦ θεοῦ ἐν ἀληθείᾳ διδάσκεις καὶ οὐ μέλει σοι
ἀληθὴς,ἀληθής,—,—,—,—,masculine,nominative,singular,adjective,Mark 12:14,"καὶ ἐλθόντες λέγουσιν αὐτῷ· διδάσκαλε, οἴδαμεν ὅτι",εἶ καὶ οὐ μέλει σοι περὶ οὐδενός· οὐ γὰρ βλέπεις εἰς πρόσωπον ἀνθρώπων
ἀληθὴς,ἀληθής,—,—,—,—,feminine,nominative,singular,adjective,John 21:24,"Οὗτός ἐστιν ὁ μαθητὴς ὁ  μαρτυρῶν περὶ τούτων καὶ ὁ γράψας ταῦτα, καὶ οἴδαμεν ὅτι",αὐτοῦ ἡ μαρτυρία ἐστίν.
ἀληθῆ,ἀληθής,—,—,—,—,neuter,nominative,plural,adjective,John 10:41,"Ἰωάννης μὲν σημεῖον ἐποίησεν οὐδέν, πάντα δὲ ὅσα εἶπεν Ἰωάννης περὶ τούτου",ἦν.
ἀληθῆ,ἀληθής,—,—,—,—,neuter,accusative,plural,adjective,John 19:35,"καὶ ὁ ἑωρακὼς μεμαρτύρηκεν, καὶ ἀληθινὴ αὐτοῦ ἐστιν ἡ μαρτυρία, καὶ ἐκεῖνος οἶδεν ὅτι","λέγει, ἵνα καὶ ὑμεῖς πιστεύσητε."
ἀληθῆ,ἀληθής,—,—,—,—,neuter,nominative,plural,adjective,Philippians 4:8,"Τὸ λοιπόν, ἀδελφοί, ὅσα ἐστὶν",", ὅσα σεμνά, ὅσα δίκαια, ὅσα ἁγνά, ὅσα προσφιλῆ, ὅσα εὔφημα, εἴ τις ἀρετὴ"
ἀληθῆ,ἀληθής,—,—,—,—,feminine,accusative,singular,adjective,1 Peter 5:12,"Διὰ Σιλουανοῦ ὑμῖν τοῦ πιστοῦ ἀδελφοῦ, ὡς λογίζομαι, διʼ ὀλίγων ἔγραψα παρακαλῶν καὶ ἐπιμαρτυρῶν ταύτην εἶναι",χάριν τοῦ θεοῦ εἰς ἣν στῆτε.
