Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀπάγγειλον,ἀπαγγέλλω,aorist,active,imperative,second person,—,—,singular,verb,Mark 5:19,"καὶ οὐκ ἀφῆκεν αὐτόν, ἀλλὰ λέγει αὐτῷ· ὕπαγε εἰς τὸν οἶκόν σου πρὸς τοὺς σοὺς καὶ",αὐτοῖς ὅσα ὁ κύριός σοι πεποίηκεν καὶ ἠλέησέν σε.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 8:33,"οἱ δὲ βόσκοντες ἔφυγον, καὶ ἀπελθόντες εἰς τὴν πόλιν",πάντα καὶ τὰ τῶν δαιμονιζομένων.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 14:12,καὶ προσελθόντες οἱ μαθηταὶ αὐτοῦ ἦραν τὸ πτῶμα  καὶ ἔθαψαν αὐτὸ[ν] καὶ ἐλθόντες,τῷ Ἰησοῦ.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 28:11,Πορευομένων δὲ αὐτῶν ἰδού τινες τῆς κουστωδίας ἐλθόντες εἰς τὴν πόλιν,τοῖς ἀρχιερεῦσιν ἅπαντα τὰ γενόμενα.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Mark 5:14,Καὶ οἱ βόσκοντες αὐτοὺς ἔφυγον καὶ,εἰς τὴν πόλιν καὶ εἰς τοὺς ἀγρούς· καὶ ἦλθον ἰδεῖν τί ἐστιν τὸ γεγονὸς
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Mark 6:30,Καὶ συνάγονται οἱ ἀπόστολοι πρὸς τὸν Ἰησοῦν καὶ,αὐτῷ πάντα ὅσα ἐποίησαν καὶ ὅσα ἐδίδαξαν.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Mark 16:13,κἀκεῖνοι ἀπελθόντες,τοῖς λοιποῖς· οὐδὲ ἐκείνοις ἐπίστευσαν.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Luke 7:18,Καὶ,Ἰωάννῃ οἱ μαθηταὶ αὐτοῦ περὶ πάντων τούτων. καὶ προσκαλεσάμενος δύο τινὰς τῶν μαθητῶν αὐτοῦ ὁ Ἰωάννης
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Luke 8:34,Ἰδόντες δὲ οἱ βόσκοντες τὸ γεγονὸς ἔφυγον καὶ,εἰς τὴν πόλιν καὶ εἰς τοὺς ἀγρούς.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Luke 8:36,—,δὲ αὐτοῖς οἱ ἰδόντες πῶς ἐσώθη ὁ δαιμονισθείς.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Luke 9:36,καὶ  ἐν τῷ γενέσθαι τὴν φωνὴν εὑρέθη Ἰησοῦς μόνος. καὶ αὐτοὶ ἐσίγησαν καὶ οὐδενὶ,ἐν ἐκείναις ταῖς ἡμέραις οὐδὲν ὧν ἑώρακαν.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Luke 18:37,—,δὲ αὐτῷ ὅτι Ἰησοῦς ὁ Ναζωραῖος παρέρχεται.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Luke 24:9,Καὶ ὑποστρέψασαι ἀπὸ τοῦ μνημείου,ταῦτα πάντα τοῖς ἕνδεκα καὶ πᾶσιν τοῖς λοιποῖς.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Acts 4:23,Ἀπολυθέντες δὲ ἦλθον πρὸς τοὺς ἰδίους καὶ,ὅσα πρὸς αὐτοὺς οἱ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι εἶπαν.
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Acts 5:22,οἱ δὲ παραγενόμενοι ὑπηρέται οὐχ εὗρον αὐτοὺς ἐν τῇ φυλακῇ· ἀναστρέψαντες δὲ,""
ἀπήγγειλαν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,plural,verb,Acts 16:38,—,"δὲ τοῖς στρατηγοῖς οἱ ῥαβδοῦχοι τὰ ῥήματα ταῦτα. ἐφοβήθησαν δὲ ἀκούσαντες ὅτι Ῥωμαῖοί εἰσιν,"
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Mark 16:10,ἐκείνη πορευθεῖσα,τοῖς μετʼ αὐτοῦ γενομένοις πενθοῦσιν καὶ κλαίουσιν·
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Luke 8:47,"ἰδοῦσα δὲ ἡ γυνὴ ὅτι οὐκ ἔλαθεν, τρέμουσα ἦλθεν καὶ προσπεσοῦσα αὐτῷ διʼ ἣν αἰτίαν ἥψατο αὐτοῦ",ἐνώπιον παντὸς τοῦ λαοῦ καὶ ὡς ἰάθη παραχρῆμα.
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Luke 14:21,καὶ παραγενόμενος ὁ δοῦλος,τῷ κυρίῳ αὐτοῦ ταῦτα. τότε ὀργισθεὶς ὁ οἰκοδεσπότης εἶπεν τῷ δούλῳ αὐτοῦ· ἔξελθε
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Acts 5:25,παραγενόμενος δέ τις,αὐτοῖς ὅτι ἰδοὺ οἱ ἄνδρες οὓς ἔθεσθε ἐν τῇ φυλακῇ εἰσὶν ἐν τῷ
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Acts 11:13,—,δὲ ἡμῖν πῶς εἶδεν [τὸν] ἄγγελον ἐν τῷ οἴκῳ αὐτοῦ σταθέντα καὶ εἰπόντα
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Acts 12:14,"καὶ ἐπιγνοῦσα τὴν φωνὴν τοῦ Πέτρου ἀπὸ τῆς χαρᾶς οὐκ ἤνοιξεν τὸν πυλῶνα, εἰσδραμοῦσα δὲ",ἑστάναι τὸν Πέτρον πρὸ τοῦ πυλῶνος.
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Acts 16:36,—,δὲ ὁ δεσμοφύλαξ τοὺς λόγους [τούτους] πρὸς τὸν Παῦλον ὅτι ἀπέσταλκαν οἱ στρατηγοὶ
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Acts 22:26,ἀκούσας δὲ ὁ ἑκατοντάρχης  προσελθὼν τῷ χιλιάρχῳ,λέγων·  τί μέλλεις ποιεῖν; ὁ γὰρ ἄνθρωπος οὗτος Ῥωμαῖός ἐστιν.
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Acts 23:16,"Ἀκούσας δὲ ὁ υἱὸς τῆς ἀδελφῆς Παύλου τὴν ἐνέδραν, παραγενόμενος καὶ εἰσελθὼν εἰς τὴν παρεμβολὴν",τῷ Παύλῳ.
ἀπήγγειλεν,ἀπαγγέλλω,aorist,active,indicative,third person,—,—,singular,verb,Acts 28:21,γράμματα περὶ σοῦ ἐδεξάμεθα ἀπὸ τῆς Ἰουδαίας οὔτε παραγενόμενός τις τῶν ἀδελφῶν,ἢ ἐλάλησέν τι περὶ σοῦ πονηρόν.
ἀπήγγελλον,ἀπαγγέλλω,imperfect,active,indicative,first person,—,—,singular,verb,Acts 26:20,"ἀλλὰ τοῖς ἐν Δαμασκῷ πρῶτόν τε καὶ Ἱεροσολύμοις,  πᾶσάν τε τὴν χώραν τῆς Ἰουδαίας καὶ τοῖς ἔθνεσιν","μετανοεῖν καὶ ἐπιστρέφειν ἐπὶ τὸν θεόν, ἄξια τῆς μετανοίας ἔργα πράσσοντας."
ἀπαγγέλλομεν,ἀπαγγέλλω,present,active,indicative,first person,—,—,plural,verb,1 John 1:2,"καὶ ἡ ζωὴ ἐφανερώθη, καὶ  ἑωράκαμεν καὶ μαρτυροῦμεν καὶ",ὑμῖν τὴν ζωὴν τὴν αἰώνιον ἥτις ἦν πρὸς τὸν πατέρα καὶ ἐφανερώθη ἡμῖν —
ἀπαγγέλλομεν,ἀπαγγέλλω,present,active,indicative,first person,—,—,plural,verb,1 John 1:3,"ὃ ἑωράκαμεν καὶ ἀκηκόαμεν,","καὶ ὑμῖν, ἵνα καὶ ὑμεῖς κοινωνίαν ἔχητε μεθʼ ἡμῶν. καὶ ἡ κοινωνία δὲ"
ἀπαγγέλλοντας,ἀπαγγέλλω,present,active,participle,—,masculine,accusative,plural,verb,Acts 15:27,ἀπεστάλκαμεν οὖν Ἰούδαν καὶ Σιλᾶν καὶ αὐτοὺς διὰ λόγου,τὰ αὐτά.
ἀπαγγέλλοντες,ἀπαγγέλλω,present,active,participle,—,masculine,nominative,plural,verb,Luke 13:1,Παρῆσαν δέ τινες ἐν αὐτῷ τῷ καιρῷ,αὐτῷ περὶ τῶν Γαλιλαίων ὧν τὸ αἷμα Πιλᾶτος ἔμιξεν μετὰ τῶν θυσιῶν αὐτῶν.
ἀπαγγέλλουσιν,ἀπαγγέλλω,present,active,indicative,third person,—,—,plural,verb,1 Thessalonians 1:9,αὐτοὶ γὰρ περὶ ἡμῶν,"ὁποίαν εἴσοδον ἔσχομεν πρὸς ὑμᾶς, καὶ πῶς ἐπεστρέψατε πρὸς τὸν θεὸν ἀπὸ τῶν"
ἀπαγγέλλων,ἀπαγγέλλω,present,active,participle,—,masculine,nominative,singular,verb,1 Corinthians 14:25,"τὰ κρυπτὰ τῆς καρδίας αὐτοῦ φανερὰ γίνεται, καὶ οὕτως πεσὼν ἐπὶ πρόσωπον προσκυνήσει τῷ θεῷ",ὅτι ὄντως ὁ θεὸς ἐν ὑμῖν ἐστιν.
ἀπαγγείλατέ,ἀπαγγέλλω,aorist,active,imperative,second person,—,—,plural,verb,Matthew 2:8,"καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν· πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου· ἐπὰν δὲ εὕρητε,","μοι, ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ."
ἀπαγγείλατε,ἀπαγγέλλω,aorist,active,imperative,second person,—,—,plural,verb,Matthew 11:4,Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν αὐτοῖς· πορευθέντες,Ἰωάννῃ ἃ ἀκούετε καὶ βλέπετε·
ἀπαγγείλατε,ἀπαγγέλλω,aorist,active,imperative,second person,—,—,plural,verb,Matthew 28:10,τότε λέγει αὐταῖς ὁ Ἰησοῦς· μὴ φοβεῖσθε· ὑπάγετε,"τοῖς ἀδελφοῖς μου ἵνα ἀπέλθωσιν εἰς τὴν Γαλιλαίαν, κἀκεῖ με ὄψονται."
ἀπαγγείλατε,ἀπαγγέλλω,aorist,active,imperative,second person,—,—,plural,verb,Luke 7:22,καὶ ἀποκριθεὶς εἶπεν αὐτοῖς· πορευθέντες,"Ἰωάννῃ ἃ εἴδετε καὶ ἠκούσατε·        τυφλοὶ ἀναβλέπουσιν,  χωλοὶ περιπατοῦσιν,        λεπροὶ καθαρίζονται καὶ κωφοὶ"
ἀπαγγείλατε,ἀπαγγέλλω,aorist,active,imperative,second person,—,—,plural,verb,Acts 12:17,κατασείσας δὲ αὐτοῖς τῇ χειρὶ σιγᾶν διηγήσατο [αὐτοῖς] πῶς ὁ κύριος αὐτὸν ἐξήγαγεν ἐκ τῆς φυλακῆς εἶπέν τε·,Ἰακώβῳ καὶ τοῖς ἀδελφοῖς ταῦτα. καὶ ἐξελθὼν ἐπορεύθη εἰς ἕτερον τόπον.
ἀπαγγελεῖ,ἀπαγγέλλω,future,active,indicative,third person,—,—,singular,verb,Matthew 12:18,"ψυχή μου        θήσω τὸ πνεῦμά μου ἐπʼ αὐτόν,           καὶ κρίσιν τοῖς ἔθνεσιν",.
ἀπαγγελῶ,ἀπαγγέλλω,future,active,indicative,first person,—,—,singular,verb,John 16:25,"Ταῦτα ἐν παροιμίαις λελάληκα ὑμῖν·  ἔρχεται ὥρα ὅτε οὐκέτι ἐν παροιμίαις λαλήσω ὑμῖν, ἀλλὰ παρρησίᾳ περὶ τοῦ πατρὸς",ὑμῖν.
ἀπαγγελῶ,ἀπαγγέλλω,future,active,indicative,first person,—,—,singular,verb,Hebrews 2:12,λέγων·,"τὸ ὄνομά σου τοῖς ἀδελφοῖς μου,        ἐν μέσῳ ἐκκλησίας ὑμνήσω σε,"
ἀπαγγεῖλαί,ἀπαγγέλλω,aorist,active,infinitive,—,—,—,—,verb,Acts 23:17,"προσκαλεσάμενος δὲ ὁ Παῦλος ἕνα τῶν ἑκατονταρχῶν ἔφη· τὸν νεανίαν τοῦτον ἀπάγαγε πρὸς τὸν χιλίαρχον, ἔχει γὰρ",τι αὐτῷ.
ἀπαγγεῖλαί,ἀπαγγέλλω,aorist,active,infinitive,—,—,—,—,verb,Acts 23:19,"ἐπιλαβόμενος δὲ τῆς χειρὸς αὐτοῦ ὁ χιλίαρχος καὶ ἀναχωρήσας κατʼ ἰδίαν ἐπυνθάνετο, τί ἐστιν ὃ ἔχεις",μοι;
ἀπαγγεῖλαι,ἀπαγγέλλω,aorist,active,infinitive,—,—,—,—,verb,Matthew 28:8,Καὶ ἀπελθοῦσαι ταχὺ ἀπὸ τοῦ μνημείου μετὰ φόβου καὶ χαρᾶς μεγάλης ἔδραμον,τοῖς μαθηταῖς αὐτοῦ.
ἀπηγγέλη,ἀπαγγέλλω,aorist,passive,indicative,third person,—,—,singular,verb,Luke 8:20,—,δὲ αὐτῷ· ἡ μήτηρ σου καὶ οἱ ἀδελφοί σου ἑστήκασιν ἔξω ἰδεῖν θέλοντές σε.
