Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Matthew 9:24,"ἔλεγεν· ἀναχωρεῖτε, οὐ γὰρ",τὸ κοράσιον ἀλλὰ καθεύδει. καὶ κατεγέλων αὐτοῦ.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Matthew 22:27,ὕστερον δὲ πάντων,ἡ γυνή.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Mark 5:35,Ἔτι αὐτοῦ λαλοῦντος ἔρχονται ἀπὸ τοῦ ἀρχισυναγώγου λέγοντες ὅτι ἡ θυγάτηρ σου,· τί ἔτι σκύλλεις τὸν διδάσκαλον;
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Mark 5:39,καὶ εἰσελθὼν λέγει αὐτοῖς· τί θορυβεῖσθε καὶ  κλαίετε; τὸ παιδίον οὐκ,ἀλλὰ καθεύδει.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Mark 9:26,"καὶ κράξας καὶ πολλὰ σπαράξας ἐξῆλθεν·  καὶ ἐγένετο ὡσεὶ νεκρός, ὥστε τοὺς πολλοὺς λέγειν ὅτι",.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Mark 12:21,καὶ ὁ δεύτερος ἔλαβεν αὐτὴν καὶ,μὴ καταλιπὼν σπέρμα· καὶ ὁ τρίτος ὡσαύτως·
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Mark 12:22,καὶ οἱ ἑπτὰ οὐκ ἀφῆκαν σπέρμα. ἔσχατον πάντων καὶ ἡ γυνὴ,.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Mark 15:44,ὁ δὲ Πιλᾶτος ἐθαύμασεν εἰ ἤδη τέθνηκεν καὶ προσκαλεσάμενος τὸν κεντυρίωνα ἐπηρώτησεν αὐτὸν εἰ πάλαι,·
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Luke 8:52,"ἔκλαιον δὲ πάντες καὶ ἐκόπτοντο αὐτήν. ὁ δὲ εἶπεν· μὴ κλαίετε, οὐ γὰρ",ἀλλὰ καθεύδει.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Luke 8:53,καὶ κατεγέλων αὐτοῦ εἰδότες ὅτι,.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Luke 16:22,ἐγένετο δὲ ἀποθανεῖν τὸν πτωχὸν καὶ ἀπενεχθῆναι αὐτὸν ὑπὸ τῶν ἀγγέλων εἰς τὸν κόλπον Ἀβραάμ·,δὲ καὶ ὁ πλούσιος καὶ ἐτάφη.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Luke 20:29,ἑπτὰ οὖν ἀδελφοὶ ἦσαν· καὶ ὁ πρῶτος λαβὼν γυναῖκα,ἄτεκνος·
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Luke 20:32,ὕστερον καὶ ἡ γυνὴ,.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,John 8:52,Εἶπον [οὖν] αὐτῷ οἱ Ἰουδαῖοι· νῦν ἐγνώκαμεν ὅτι δαιμόνιον ἔχεις. Ἀβραὰμ,"καὶ οἱ προφῆται, καὶ σὺ λέγεις·  ἐάν τις τὸν λόγον μου τηρήσῃ, οὐ"
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,John 8:53,"μὴ σὺ μείζων εἶ τοῦ πατρὸς ἡμῶν Ἀβραάμ, ὅστις",; καὶ οἱ προφῆται ἀπέθανον. τίνα σεαυτὸν ποιεῖς;
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,John 11:14,τότε οὖν εἶπεν αὐτοῖς ὁ Ἰησοῦς παρρησίᾳ· Λάζαρος,","
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,John 11:21,"εἶπεν οὖν ἡ Μάρθα πρὸς τὸν Ἰησοῦν· κύριε, εἰ ἦς ὧδε οὐκ ἂν",ὁ ἀδελφός μου·
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,John 11:32,"πρὸς τοὺς πόδας λέγουσα αὐτῷ· κύριε, εἰ ἦς ὧδε οὐκ ἄν μου",ὁ ἀδελφός.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Romans 5:6,Ἔτι γὰρ Χριστὸς ὄντων ἡμῶν ἀσθενῶν ἔτι κατὰ καιρὸν ὑπὲρ ἀσεβῶν,.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Romans 5:8,"συνίστησιν δὲ τὴν ἑαυτοῦ ἀγάπην εἰς ἡμᾶς ὁ θεός, ὅτι  ἔτι ἁμαρτωλῶν ὄντων ἡμῶν Χριστὸς ὑπὲρ ἡμῶν",.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Romans 6:10,ὃ γὰρ,", τῇ ἁμαρτίᾳ ἀπέθανεν ἐφάπαξ· ὃ δὲ ζῇ, ζῇ τῷ θεῷ."
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Romans 6:10,"ὃ γὰρ ἀπέθανεν, τῇ ἁμαρτίᾳ","ἐφάπαξ· ὃ δὲ ζῇ, ζῇ τῷ θεῷ."
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Romans 14:9,εἰς τοῦτο γὰρ Χριστὸς,"καὶ ἔζησεν, ἵνα καὶ νεκρῶν καὶ ζώντων κυριεύσῃ."
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Romans 14:15,κατὰ ἀγάπην περιπατεῖς· μὴ τῷ βρώματί σου ἐκεῖνον ἀπόλλυε ὑπὲρ οὗ Χριστὸς,.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,1 Corinthians 8:11,"ἀπόλλυται γὰρ ὁ ἀσθενῶν ἐν τῇ σῇ γνώσει, ὁ ἀδελφὸς διʼ ὃν Χριστὸς",.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,1 Corinthians 15:3,"παρέδωκα γὰρ ὑμῖν ἐν πρώτοις, ὃ καὶ παρέλαβον, ὅτι Χριστὸς",ὑπὲρ τῶν ἁμαρτιῶν ἡμῶν κατὰ τὰς γραφὰς
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,2 Corinthians 5:14,"ἡ γὰρ ἀγάπη τοῦ Χριστοῦ συνέχει ἡμᾶς, κρίναντας τοῦτο, ὅτι  εἷς ὑπὲρ πάντων",", ἄρα οἱ πάντες ἀπέθανον·"
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,2 Corinthians 5:15,καὶ ὑπὲρ πάντων,", ἵνα οἱ ζῶντες μηκέτι ἑαυτοῖς ζῶσιν ἀλλὰ τῷ ὑπὲρ αὐτῶν ἀποθανόντι καὶ ἐγερθέντι."
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Galatians 2:21,"Οὐκ ἀθετῶ τὴν χάριν τοῦ θεοῦ· εἰ γὰρ διὰ νόμου δικαιοσύνη, ἄρα Χριστὸς δωρεὰν",.
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,1 Thessalonians 4:14,εἰ γὰρ πιστεύομεν ὅτι Ἰησοῦς,"καὶ ἀνέστη, οὕτως καὶ ὁ θεὸς τοὺς κοιμηθέντας διὰ τοῦ Ἰησοῦ ἄξει σὺν αὐτῷ."
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Revelation 8:9,καὶ,τὸ τρίτον  τῶν κτισμάτων τῶν ἐν τῇ θαλάσσῃ τὰ ἔχοντα ψυχὰς καὶ τὸ
ἀπέθανεν,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,singular,verb,Revelation 16:3,"εἰς τὴν θάλασσαν, καὶ ἐγένετο αἷμα ὡς νεκροῦ, καὶ πᾶσα ψυχὴ ζωῆς",τὰ ἐν τῇ θαλάσσῃ.
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 8:32,ἰδοὺ ὥρμησεν πᾶσα ἡ ἀγέλη  κατὰ τοῦ κρημνοῦ εἰς τὴν θάλασσαν καὶ,ἐν τοῖς ὕδασιν.
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,Luke 20:31,"καὶ ὁ τρίτος ἔλαβεν αὐτήν, ὡσαύτως δὲ καὶ οἱ ἑπτὰ οὐ κατέλιπον τέκνα καὶ",.
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,John 6:49,οἱ πατέρες ὑμῶν ἔφαγον ἐν τῇ ἐρήμῳ τὸ μάννα καὶ,·
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,John 6:58,"οὗτός ἐστιν ὁ ἄρτος ὁ ἐξ οὐρανοῦ καταβάς, οὐ καθὼς ἔφαγον οἱ πατέρες  καὶ",· ὁ τρώγων τοῦτον τὸν ἄρτον ζήσει εἰς τὸν αἰῶνα.
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,John 8:53,"μὴ σὺ μείζων εἶ τοῦ πατρὸς ἡμῶν Ἀβραάμ, ὅστις ἀπέθανεν; καὶ οἱ προφῆται",. τίνα σεαυτὸν ποιεῖς;
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,Romans 5:15,"Ἀλλʼ οὐχ ὡς τὸ παράπτωμα, οὕτως καὶ τὸ χάρισμα· εἰ γὰρ τῷ τοῦ ἑνὸς παραπτώματι οἱ πολλοὶ",", πολλῷ μᾶλλον ἡ χάρις τοῦ θεοῦ καὶ ἡ δωρεὰ ἐν χάριτι τῇ τοῦ"
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,first person,—,—,singular,verb,Romans 7:10,ἐγὼ δὲ,"καὶ εὑρέθη μοι ἡ ἐντολὴ ἡ εἰς ζωήν, αὕτη εἰς θάνατον·"
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,2 Corinthians 5:14,"ἡ γὰρ ἀγάπη τοῦ Χριστοῦ συνέχει ἡμᾶς, κρίναντας τοῦτο, ὅτι  εἷς ὑπὲρ πάντων ἀπέθανεν, ἄρα οἱ πάντες",·
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,first person,—,—,singular,verb,Galatians 2:19,ἐγὼ γὰρ διὰ νόμου νόμῳ,", ἵνα θεῷ ζήσω. Χριστῷ συνεσταύρωμαι·"
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,Hebrews 11:13,Κατὰ πίστιν,"οὗτοι πάντες, μὴ λαβόντες τὰς ἐπαγγελίας ἀλλὰ πόρρωθεν αὐτὰς ἰδόντες καὶ ἀσπασάμενοι καὶ"
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,Hebrews 11:37,"ἐλιθάσθησαν, ἐπρίσθησαν, ἐν φόνῳ μαχαίρης",", περιῆλθον ἐν μηλωταῖς, ἐν αἰγείοις δέρμασιν, ὑστερούμενοι, θλιβόμενοι, κακουχούμενοι,"
ἀπέθανον,ἀποθνῄσκω,aorist,active,indicative,third person,—,—,plural,verb,Revelation 8:11,καὶ ἐγένετο τὸ τρίτον τῶν ὑδάτων εἰς ἄψινθον καὶ πολλοὶ τῶν ἀνθρώπων,ἐκ τῶν ὑδάτων ὅτι ἐπικράνθησαν.  Καὶ
ἀπέθνῃσκεν,ἀποθνῄσκω,imperfect,active,indicative,third person,—,—,singular,verb,Luke 8:42,ὅτι θυγάτηρ μονογενὴς ἦν αὐτῷ ὡς ἐτῶν δώδεκα καὶ αὐτὴ,. Ἐν δὲ τῷ ὑπάγειν αὐτὸν οἱ ὄχλοι συνέπνιγον αὐτόν.
ἀπεθάνετε,ἀποθνῄσκω,aorist,active,indicative,second person,—,—,plural,verb,Colossians 2:20,Εἰ,"σὺν Χριστῷ ἀπὸ τῶν στοιχείων τοῦ κόσμου, τί ὡς ζῶντες ἐν κόσμῳ δογματίζεσθε;"
ἀπεθάνετε,ἀποθνῄσκω,aorist,active,indicative,second person,—,—,plural,verb,Colossians 3:3,—,γὰρ καὶ ἡ ζωὴ ὑμῶν κέκρυπται σὺν τῷ Χριστῷ ἐν τῷ θεῷ·
