Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀπεκάλυψέν,ἀποκαλύπτω,aorist,active,indicative,third person,—,—,singular,verb,Matthew 16:17,"Ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτῷ· μακάριος εἶ, Σίμων Βαριωνᾶ, ὅτι σὰρξ καὶ αἷμα οὐκ",σοι ἀλλʼ ὁ πατήρ μου ὁ ἐν τοῖς οὐρανοῖς.
ἀπεκάλυψας,ἀποκαλύπτω,aorist,active,indicative,second person,—,—,singular,verb,Matthew 11:25,"οὐρανοῦ καὶ τῆς γῆς, ὅτι ἔκρυψας ταῦτα ἀπὸ σοφῶν καὶ συνετῶν καὶ",αὐτὰ νηπίοις·
ἀπεκάλυψας,ἀποκαλύπτω,aorist,active,indicative,second person,—,—,singular,verb,Luke 10:21,"οὐρανοῦ καὶ τῆς γῆς, ὅτι ἀπέκρυψας ταῦτα ἀπὸ σοφῶν καὶ συνετῶν καὶ","αὐτὰ νηπίοις· ναὶ ὁ πατήρ, ὅτι οὕτως εὐδοκία ἐγένετο ἔμπροσθέν σου."
ἀπεκάλυψεν,ἀποκαλύπτω,aorist,active,indicative,third person,—,—,singular,verb,1 Corinthians 2:10,ἡμῖν δὲ,"ὁ θεὸς διὰ τοῦ πνεύματος·  τὸ γὰρ πνεῦμα πάντα ἐραυνᾷ, καὶ τὰ βάθη τοῦ θεοῦ."
ἀπεκαλύφθη,ἀποκαλύπτω,aorist,passive,indicative,third person,—,—,singular,verb,John 12:38,"εἶπεν·        κύριε, τίς ἐπίστευσεν τῇ ἀκοῇ ἡμῶν;           καὶ ὁ βραχίων κυρίου τίνι",;
ἀπεκαλύφθη,ἀποκαλύπτω,aorist,passive,indicative,third person,—,—,singular,verb,Ephesians 3:5,ὃ ἑτέραις γενεαῖς οὐκ ἐγνωρίσθη τοῖς υἱοῖς τῶν ἀνθρώπων ὡς νῦν,"τοῖς ἁγίοις ἀποστόλοις αὐτοῦ καὶ προφήταις ἐν πνεύματι,"
ἀπεκαλύφθη,ἀποκαλύπτω,aorist,passive,indicative,third person,—,—,singular,verb,1 Peter 1:12,οἷς,"ὅτι οὐχ ἑαυτοῖς, ὑμῖν δὲ διηκόνουν αὐτὰ ἃ νῦν ἀνηγγέλη ὑμῖν διὰ τῶν"
ἀποκαλυφθήσεται,ἀποκαλύπτω,future,passive,indicative,third person,—,—,singular,verb,Matthew 10:26,Μὴ οὖν φοβηθῆτε αὐτούς·  οὐδὲν γάρ ἐστιν κεκαλυμμένον ὃ οὐκ,καὶ κρυπτὸν ὃ οὐ γνωσθήσεται.
ἀποκαλυφθήσεται,ἀποκαλύπτω,future,passive,indicative,third person,—,—,singular,verb,Luke 12:2,Οὐδὲν δὲ συγκεκαλυμμένον ἐστὶν ὃ οὐκ,καὶ κρυπτὸν ὃ οὐ γνωσθήσεται.
ἀποκαλυφθήσεται,ἀποκαλύπτω,future,passive,indicative,third person,—,—,singular,verb,2 Thessalonians 2:8,καὶ τότε,"ὁ ἄνομος, ὃν ὁ κύριος [Ἰησοῦς] ἀνελεῖ τῷ πνεύματι τοῦ στόματος αὐτοῦ καὶ"
