Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 21:35,"καὶ λαβόντες οἱ γεωργοὶ τοὺς δούλους αὐτοῦ ὃν μὲν ἔδειραν, ὃν δὲ",", ὃν δὲ ἐλιθοβόλησαν."
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 21:39,καὶ λαβόντες αὐτὸν ἐξέβαλον ἔξω τοῦ ἀμπελῶνος καὶ,.
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 22:6,οἱ δὲ λοιποὶ κρατήσαντες τοὺς δούλους αὐτοῦ ὕβρισαν καὶ,.
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Mark 12:5,καὶ ἄλλον ἀπέστειλεν· κἀκεῖνον,", καὶ πολλοὺς ἄλλους, οὓς μὲν δέροντες, οὓς δὲ ἀποκτέννοντες."
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Mark 12:8,καὶ λαβόντες,αὐτὸν καὶ ἐξέβαλον αὐτὸν ἔξω τοῦ ἀμπελῶνος.
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Luke 11:47,"Οὐαὶ ὑμῖν, ὅτι οἰκοδομεῖτε τὰ μνημεῖα τῶν προφητῶν, οἱ δὲ πατέρες ὑμῶν",αὐτούς.
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Luke 11:48,"ἄρα μάρτυρές ἐστε καὶ συνευδοκεῖτε τοῖς ἔργοις τῶν πατέρων ὑμῶν, ὅτι αὐτοὶ μὲν","αὐτούς, ὑμεῖς δὲ οἰκοδομεῖτε."
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Luke 20:15,καὶ ἐκβαλόντες αὐτὸν ἔξω τοῦ ἀμπελῶνος,. τί οὖν ποιήσει αὐτοῖς ὁ κύριος τοῦ ἀμπελῶνος;
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Acts 7:52,τίνα τῶν προφητῶν οὐκ ἐδίωξαν οἱ πατέρες ὑμῶν; καὶ,"τοὺς προκαταγγείλαντας περὶ τῆς ἐλεύσεως τοῦ δικαίου, οὗ νῦν ὑμεῖς προδόται καὶ φονεῖς ἐγένεσθε,"
ἀπέκτειναν,ἀποκτείνω,aorist,active,indicative,third person,—,—,plural,verb,Romans 11:3,"κύριε, τοὺς προφήτας σου",", τὰ θυσιαστήριά σου κατέσκαψαν, κἀγὼ ὑπελείφθην μόνος καὶ ζητοῦσιν τὴν ψυχήν μου."
ἀπέκτεινεν,ἀποκτείνω,aorist,active,indicative,third person,—,—,singular,verb,Luke 13:4,ἢ ἐκεῖνοι οἱ δεκαοκτὼ ἐφʼ οὓς ἔπεσεν ὁ πύργος ἐν τῷ Σιλωὰμ καὶ,"αὐτούς, δοκεῖτε ὅτι αὐτοὶ ὀφειλέται ἐγένοντο παρὰ πάντας τοὺς ἀνθρώπους τοὺς κατοικοῦντας  Ἰερουσαλήμ;"
ἀπέκτεινεν,ἀποκτείνω,aorist,active,indicative,third person,—,—,singular,verb,Romans 7:11,ἡ γὰρ ἁμαρτία ἀφορμὴν λαβοῦσα διὰ τῆς ἐντολῆς ἐξηπάτησέν με καὶ διʼ αὐτῆς,.
ἀπεκτάνθη,ἀποκτείνω,aorist,passive,indicative,third person,—,—,singular,verb,Revelation 2:13,"καὶ ἐν ταῖς ἡμέραις  Ἀντιπᾶς ὁ μάρτυς μου ὁ πιστός μου, ὃς","παρʼ ὑμῖν, ὅπου ὁ σατανᾶς κατοικεῖ."
ἀπεκτάνθησαν,ἀποκτείνω,aorist,passive,indicative,third person,—,—,plural,verb,Revelation 9:18,ἀπὸ τῶν τριῶν πληγῶν τούτων,"τὸ τρίτον τῶν ἀνθρώπων, ἐκ τοῦ πυρὸς καὶ  τοῦ καπνοῦ καὶ  τοῦ θείου"
ἀπεκτάνθησαν,ἀποκτείνω,aorist,passive,indicative,third person,—,—,plural,verb,Revelation 9:20,"Καὶ οἱ λοιποὶ τῶν ἀνθρώπων, οἳ οὐκ","ἐν ταῖς πληγαῖς  ταύταις, οὐδὲ μετενόησαν ἐκ τῶν ἔργων τῶν χειρῶν αὐτῶν, ἵνα"
ἀπεκτάνθησαν,ἀποκτείνω,aorist,passive,indicative,third person,—,—,plural,verb,Revelation 11:13,Καὶ ἐν ἐκείνῃ τῇ ὥρᾳ ἐγένετο σεισμὸς μέγας καὶ τὸ δέκατον τῆς πόλεως ἔπεσεν καὶ,ἐν τῷ σεισμῷ ὀνόματα ἀνθρώπων χιλιάδες ἑπτὰ καὶ οἱ λοιποὶ ἔμφοβοι ἐγένοντο καὶ
ἀπεκτάνθησαν,ἀποκτείνω,aorist,passive,indicative,third person,—,—,plural,verb,Revelation 19:21,καὶ οἱ λοιποὶ,ἐν τῇ ῥομφαίᾳ τοῦ καθημένου ἐπὶ τοῦ ἵππου τῇ ἐξελθούσῃ ἐκ τοῦ στόματος
ἀπεκτείνατε,ἀποκτείνω,aorist,active,indicative,second person,—,—,plural,verb,Acts 3:15,τὸν δὲ ἀρχηγὸν τῆς ζωῆς,"ὃν ὁ θεὸς ἤγειρεν ἐκ νεκρῶν, οὗ ἡμεῖς μάρτυρές ἐσμεν."
ἀποκτέννει,ἀποκτείνω,present,active,indicative,third person,—,—,singular,verb,2 Corinthians 3:6,"ὃς καὶ ἱκάνωσεν ἡμᾶς διακόνους καινῆς διαθήκης, οὐ γράμματος ἀλλὰ πνεύματος· τὸ γὰρ γράμμα",", τὸ δὲ πνεῦμα ζῳοποιεῖ."
ἀποκτέννεσθαι,ἀποκτείνω,present,passive,infinitive,—,—,—,—,verb,Revelation 6:11,ἕως  πληρωθῶσιν καὶ οἱ σύνδουλοι αὐτῶν καὶ οἱ ἀδελφοὶ αὐτῶν  οἱ μέλλοντες,ὡς καὶ αὐτοί.
ἀποκτέννοντες,ἀποκτείνω,present,active,participle,—,masculine,nominative,plural,verb,Mark 12:5,"καὶ ἄλλον ἀπέστειλεν· κἀκεῖνον ἀπέκτειναν, καὶ πολλοὺς ἄλλους, οὓς μὲν δέροντες, οὓς δὲ",.
ἀποκτανθεὶς,ἀποκτείνω,aorist,passive,participle,—,masculine,nominative,singular,verb,Mark 9:31,"ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοται εἰς χεῖρας ἀνθρώπων, καὶ ἀποκτενοῦσιν αὐτόν, καὶ",μετὰ τρεῖς ἡμέρας ἀναστήσεται.
ἀποκτανθῆναι,ἀποκτείνω,aorist,passive,infinitive,—,—,—,—,verb,Matthew 16:21,ἀπελθεῖν καὶ πολλὰ παθεῖν ἀπὸ τῶν πρεσβυτέρων καὶ ἀρχιερέων καὶ γραμματέων  καὶ,καὶ τῇ τρίτῃ ἡμέρᾳ ἐγερθῆναι.
ἀποκτανθῆναι,ἀποκτείνω,aorist,passive,infinitive,—,—,—,—,verb,Mark 8:31,καὶ ἀποδοκιμασθῆναι ὑπὸ τῶν πρεσβυτέρων καὶ τῶν ἀρχιερέων καὶ τῶν γραμματέων καὶ,καὶ μετὰ τρεῖς ἡμέρας ἀναστῆναι·
ἀποκτανθῆναι,ἀποκτείνω,aorist,passive,infinitive,—,—,—,—,verb,Luke 9:22,πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ἀπὸ τῶν πρεσβυτέρων καὶ ἀρχιερέων καὶ γραμματέων καὶ,καὶ τῇ τρίτῃ ἡμέρᾳ ἐγερθῆναι.
ἀποκτανθῆναι,ἀποκτείνω,aorist,passive,infinitive,—,—,—,—,verb,Revelation 11:5,"τοὺς ἐχθροὺς αὐτῶν· καὶ εἴ τις θελήσῃ αὐτοὺς ἀδικῆσαι, οὕτως δεῖ αὐτὸν",.
ἀποκτανθῆναι,ἀποκτείνω,aorist,passive,infinitive,—,—,—,—,verb,Revelation 13:10,"εἴ τις εἰς αἰχμαλωσίαν, εἰς αἰχμαλωσίαν ὑπάγει·        εἴ τις ἐν μαχαίρῃ",αὐτὸν ἐν μαχαίρῃ ἀποκτανθῆναι.  Ὧδέ ἐστιν ἡ ὑπομονὴ καὶ ἡ πίστις τῶν ἁγίων.
ἀποκτανθῆναι,ἀποκτείνω,aorist,passive,infinitive,—,—,—,—,verb,Revelation 13:10,"εἴ τις εἰς αἰχμαλωσίαν, εἰς αἰχμαλωσίαν ὑπάγει·        εἴ τις ἐν μαχαίρῃ ἀποκτανθῆναι αὐτὸν ἐν μαχαίρῃ",.  Ὧδέ ἐστιν ἡ ὑπομονὴ καὶ ἡ πίστις τῶν ἁγίων.
ἀποκτανθῶσιν,ἀποκτείνω,aorist,passive,subjunctive,third person,—,—,plural,verb,Revelation 13:15,θηρίου καὶ ποιήσῃ [ἵνα] ὅσοι ἐὰν μὴ προσκυνήσωσιν τῇ εἰκόνι τοῦ θηρίου,.
ἀποκτείνας,ἀποκτείνω,aorist,active,participle,—,masculine,nominative,singular,verb,John 16:2,ἀποσυναγώγους ποιήσουσιν ὑμᾶς·  ἀλλʼ ἔρχεται ὥρα ἵνα πᾶς ὁ,ὑμᾶς δόξῃ λατρείαν προσφέρειν τῷ θεῷ.
ἀποκτείνας,ἀποκτείνω,aorist,active,participle,—,masculine,nominative,singular,verb,Ephesians 2:16,"καὶ ἀποκαταλλάξῃ τοὺς ἀμφοτέρους ἐν ἑνὶ σώματι τῷ θεῷ διὰ τοῦ σταυροῦ,",τὴν ἔχθραν ἐν αὐτῷ.
ἀποκτείνουσα,ἀποκτείνω,present,active,participle,—,feminine,nominative,singular,verb,Matthew 23:37,"Ἰερουσαλὴμ Ἰερουσαλήμ, ἡ","τοὺς προφήτας καὶ λιθοβολοῦσα τοὺς ἀπεσταλμένους πρὸς αὐτήν, ποσάκις ἠθέλησα ἐπισυναγαγεῖν τὰ τέκνα"
ἀποκτείνουσα,ἀποκτείνω,present,active,participle,—,feminine,"vocative, nominative",singular,verb,Luke 13:34,"Ἰερουσαλὴμ Ἰερουσαλήμ, ἡ","τοὺς προφήτας καὶ λιθοβολοῦσα τοὺς ἀπεσταλμένους πρὸς αὐτήν, ποσάκις ἠθέλησα ἐπισυνάξαι τὰ τέκνα"
ἀποκτείνωμεν,ἀποκτείνω,present,active,subjunctive,first person,—,—,plural,verb,Matthew 21:38,οἱ δὲ γεωργοὶ ἰδόντες τὸν υἱὸν εἶπον ἐν ἑαυτοῖς· οὗτός ἐστιν ὁ κληρονόμος· δεῦτε,"αὐτὸν καὶ σχῶμεν τὴν κληρονομίαν αὐτοῦ,"
ἀποκτείνωμεν,ἀποκτείνω,present,active,subjunctive,first person,—,—,plural,verb,Mark 12:7,ἐκεῖνοι δὲ οἱ γεωργοὶ πρὸς ἑαυτοὺς εἶπαν ὅτι οὗτός ἐστιν ὁ κληρονόμος· δεῦτε,"αὐτόν, καὶ ἡμῶν ἔσται ἡ κληρονομία."
ἀποκτείνωμεν,ἀποκτείνω,present,active,subjunctive,first person,—,—,plural,verb,Luke 20:14,ἰδόντες δὲ αὐτὸν οἱ γεωργοὶ διελογίζοντο πρὸς ἀλλήλους λέγοντες· οὗτός ἐστιν ὁ κληρονόμος·,"αὐτόν, ἵνα ἡμῶν γένηται ἡ κληρονομία."
ἀποκτείνωμεν,ἀποκτείνω,present,active,subjunctive,first person,—,—,plural,verb,Acts 23:14,οἵτινες προσελθόντες τοῖς ἀρχιερεῦσιν καὶ τοῖς πρεσβυτέροις εἶπαν· ἀναθέματι ἀνεθεματίσαμεν ἑαυτοὺς μηδενὸς γεύσασθαι  ἕως οὗ,τὸν Παῦλον.
