Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀπολέσαι,ἀπόλλυμι,aorist,active,infinitive,—,—,—,—,verb,Matthew 2:13,ἐκεῖ ἕως ἂν εἴπω σοι· μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ,αὐτό.
ἀπολέσαι,ἀπόλλυμι,aorist,active,infinitive,—,—,—,—,verb,Matthew 10:28,μὴ δυναμένων ἀποκτεῖναι· φοβεῖσθε δὲ μᾶλλον τὸν δυνάμενον καὶ ψυχὴν καὶ σῶμα,ἐν γεέννῃ.
ἀπολέσαι,ἀπόλλυμι,aorist,active,infinitive,—,—,—,—,verb,Mark 1:24,"λέγων·  τί ἡμῖν καὶ σοί, Ἰησοῦ Ναζαρηνέ; ἦλθες","ἡμᾶς; οἶδά σε τίς εἶ, ὁ ἅγιος τοῦ θεοῦ."
ἀπολέσαι,ἀπόλλυμι,aorist,active,infinitive,—,—,—,—,verb,Luke 4:34,"ἔα, τί ἡμῖν καὶ σοί, Ἰησοῦ Ναζαρηνέ; ἦλθες","ἡμᾶς; οἶδά σε τίς εἶ, ὁ ἅγιος τοῦ θεοῦ."
ἀπολέσαι,ἀπόλλυμι,aorist,active,infinitive,—,—,—,—,verb,Luke 6:9,"εἶπεν δὲ ὁ Ἰησοῦς πρὸς αὐτούς· ἐπερωτῶ ὑμᾶς εἰ ἔξεστιν τῷ σαββάτῳ ἀγαθοποιῆσαι ἢ κακοποιῆσαι, ψυχὴν σῶσαι ἢ",;
ἀπολέσαι,ἀπόλλυμι,aorist,active,infinitive,—,—,—,—,verb,Luke 19:47,Καὶ ἦν διδάσκων τὸ καθʼ ἡμέραν ἐν τῷ ἱερῷ. οἱ δὲ ἀρχιερεῖς καὶ οἱ γραμματεῖς ἐζήτουν αὐτὸν,"καὶ οἱ πρῶτοι τοῦ λαοῦ,"
ἀπολέσαι,ἀπόλλυμι,aorist,active,infinitive,—,—,—,—,verb,James 4:12,εἷς ἐστιν ὁ νομοθέτης καὶ κριτὴς ὁ δυνάμενος σῶσαι καὶ,· σὺ δὲ τίς εἶ ὁ κρίνων τὸν πλησίον;
ἀπολέσας,ἀπόλλυμι,aorist,active,participle,—,masculine,nominative,singular,verb,Luke 9:25,τί γὰρ ὠφελεῖται ἄνθρωπος κερδήσας τὸν κόσμον ὅλον ἑαυτὸν δὲ,ἢ ζημιωθείς;
ἀπολέσας,ἀπόλλυμι,aorist,active,participle,—,masculine,nominative,singular,verb,Luke 15:4,τίς ἄνθρωπος ἐξ ὑμῶν ἔχων ἑκατὸν πρόβατα καὶ,ἐξ αὐτῶν ἓν οὐ καταλείπει τὰ ἐνενήκοντα ἐννέα ἐν τῇ ἐρήμῳ καὶ πορεύεται
ἀπολέσας,ἀπόλλυμι,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 10:39,"ὁ εὑρὼν τὴν ψυχὴν αὐτοῦ ἀπολέσει αὐτήν, καὶ ὁ",τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν.
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Matthew 21:41,λέγουσιν αὐτῷ· κακοὺς κακῶς,"αὐτοὺς καὶ τὸν ἀμπελῶνα ἐκδώσεται ἄλλοις γεωργοῖς, οἵτινες ἀποδώσουσιν αὐτῷ τοὺς καρποὺς ἐν τοῖς καιροῖς αὐτῶν."
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Mark 12:9,τί [οὖν] ποιήσει ὁ κύριος τοῦ ἀμπελῶνος; ἐλεύσεται καὶ,τοὺς γεωργοὺς καὶ δώσει τὸν ἀμπελῶνα ἄλλοις.
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Luke 17:33,ὃς ἐὰν ζητήσῃ τὴν ψυχὴν αὐτοῦ περιποιήσασθαι,"αὐτήν, ὃς δʼ ἂν ἀπολέσῃ ζῳογονήσει αὐτήν."
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Luke 20:16,ἐλεύσεται καὶ,τοὺς γεωργοὺς τούτους καὶ δώσει τὸν ἀμπελῶνα ἄλλοις.  ἀκούσαντες δὲ εἶπαν· μὴ γένοιτο.
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Matthew 10:39,ὁ εὑρὼν τὴν ψυχὴν αὐτοῦ,"αὐτήν, καὶ ὁ ἀπολέσας τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν."
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Matthew 16:25,ὃς γὰρ ἐὰν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι,αὐτήν· ὃς δʼ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν.
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Mark 8:35,ὃς γὰρ ἐὰν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι,αὐτήν· ὃς δʼ ἂν ἀπολέσει τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ καὶ τοῦ εὐαγγελίου σώσει αὐτήν.
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Mark 8:35,ὃς γὰρ ἐὰν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δʼ ἂν,τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ καὶ τοῦ εὐαγγελίου σώσει αὐτήν.
ἀπολέσει,ἀπόλλυμι,future,active,indicative,third person,—,—,singular,verb,Luke 9:24,ὃς γὰρ ἂν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι,αὐτήν· ὃς δʼ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ οὗτος σώσει αὐτήν.
ἀπολέσητε,ἀπόλλυμι,aorist,active,subjunctive,second person,—,—,plural,verb,2 John 8,"βλέπετε ἑαυτούς, ἵνα μὴ",ἃ εἰργασάμεθα ἀλλὰ μισθὸν πλήρη ἀπολάβητε.
ἀπολέσθαι,ἀπόλλυμι,aorist,middle,infinitive,—,—,—,—,verb,Luke 13:33,"πλὴν δεῖ με σήμερον καὶ αὔριον καὶ τῇ ἐχομένῃ πορεύεσθαι, ὅτι οὐκ ἐνδέχεται προφήτην",ἔξω Ἰερουσαλήμ.
ἀπολέσθαι,ἀπόλλυμι,aorist,middle,infinitive,—,—,—,—,verb,2 Peter 3:9,"οὐ βραδύνει  κύριος τῆς ἐπαγγελίας, ὥς τινες βραδύτητα ἡγοῦνται, ἀλλὰ μακροθυμεῖ εἰς ὑμᾶς μὴ βουλόμενός τινας",ἀλλὰ πάντας εἰς μετάνοιαν χωρῆσαι.
