Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἀχθήσεσθε,ἄγω,future,passive,indicative,second person,—,—,plural,Matthew 10:18,καὶ ἐπὶ ἡγεμόνας δὲ καὶ βασιλεῖς,ἕνεκεν ἐμοῦ εἰς μαρτύριον αὐτοῖς καὶ τοῖς ἔθνεσιν.
ἀγάγετέ,ἄγω,aorist,active,imperative,second person,—,—,plural,Matthew 21:2,"κατέναντι ὑμῶν, καὶ εὐθέως εὑρήσετε ὄνον δεδεμένην καὶ πῶλον μετʼ αὐτῆς· λύσαντες",μοι.
ἤγαγον,ἄγω,aorist,active,indicative,third person,—,—,plural,Matthew 21:7,—,"τὴν ὄνον καὶ τὸν πῶλον καὶ ἐπέθηκαν ἐπʼ αὐτῶν τὰ ἱμάτια, καὶ ἐπεκάθισεν ἐπάνω αὐτῶν."
ἄγωμεν,ἄγω,present,active,subjunctive,first person,—,—,plural,Matthew 26:46,ἐγείρεσθε,· ἰδοὺ ἤγγικεν ὁ παραδιδούς με.
ἄγωμεν,ἄγω,present,active,subjunctive,first person,—,—,plural,Mark 1:38,καὶ λέγει αὐτοῖς·,"ἀλλαχοῦ εἰς τὰς ἐχομένας κωμοπόλεις, ἵνα καὶ ἐκεῖ κηρύξω· εἰς τοῦτο γὰρ ἐξῆλθον."
ἄγωσιν,ἄγω,present,active,subjunctive,third person,—,—,plural,Mark 13:11,καὶ ὅταν,"ὑμᾶς παραδιδόντες, μὴ προμεριμνᾶτε τί λαλήσητε, ἀλλʼ ὃ ἐὰν δοθῇ ὑμῖν ἐν ἐκείνῃ"
ἄγωμεν,ἄγω,present,active,subjunctive,first person,—,—,plural,Mark 14:42,ἐγείρεσθε,· ἰδοὺ ὁ παραδιδούς με ἤγγικεν.
ἤγετο,ἄγω,imperfect,passive,indicative,third person,—,—,singular,Luke 4:1,Ἰησοῦς δὲ πλήρης πνεύματος ἁγίου ὑπέστρεψεν ἀπὸ τοῦ Ἰορδάνου καὶ,ἐν τῷ πνεύματι ἐν τῇ ἐρήμῳ
Ἤγαγεν,ἄγω,aorist,active,indicative,third person,—,—,singular,Luke 4:9,—,δὲ αὐτὸν εἰς Ἰερουσαλὴμ καὶ ἔστησεν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ καὶ εἶπεν
ἤγαγον,ἄγω,aorist,active,indicative,third person,—,—,plural,Luke 4:29,καὶ ἀναστάντες ἐξέβαλον αὐτὸν ἔξω τῆς πόλεως καὶ,αὐτὸν ἕως ὀφρύος τοῦ ὄρους ἐφʼ οὗ ἡ πόλις ᾠκοδόμητο αὐτῶν ὥστε κατακρημνίσαι αὐτόν·
ἤγαγον,ἄγω,aorist,active,indicative,third person,—,—,plural,Luke 4:40,Δύνοντος δὲ τοῦ ἡλίου ἅπαντες ὅσοι εἶχον ἀσθενοῦντας νόσοις ποικίλαις,αὐτοὺς πρὸς αὐτόν· ὁ δὲ ἑνὶ ἑκάστῳ αὐτῶν τὰς χεῖρας ἐπιτιθεὶς ἐθεράπευεν αὐτούς.
ἤγαγεν,ἄγω,aorist,active,indicative,third person,—,—,singular,Luke 10:34,"καὶ προσελθὼν κατέδησεν τὰ τραύματα αὐτοῦ ἐπιχέων ἔλαιον καὶ οἶνον, ἐπιβιβάσας δὲ αὐτὸν ἐπὶ τὸ ἴδιον κτῆνος",αὐτὸν εἰς πανδοχεῖον καὶ ἐπεμελήθη αὐτοῦ.
