Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἄλλα,ἄλλος,—,—,—,—,neuter,nominative,plural,adjective,Matthew 13:5,—,"δὲ ἔπεσεν ἐπὶ τὰ πετρώδη ὅπου οὐκ εἶχεν γῆν πολλήν, καὶ εὐθέως ἐξανέτειλεν"
ἄλλα,ἄλλος,—,—,—,—,neuter,nominative,plural,adjective,Matthew 13:7,—,"δὲ ἔπεσεν ἐπὶ τὰς ἀκάνθας, καὶ ἀνέβησαν αἱ ἄκανθαι καὶ ἔπνιξαν αὐτά."
ἄλλα,ἄλλος,—,—,—,—,neuter,nominative,plural,adjective,Matthew 13:8,—,"δὲ ἔπεσεν ἐπὶ τὴν γῆν τὴν καλὴν καὶ ἐδίδου καρπόν, ὃ μὲν ἑκατόν"
ἄλλα,ἄλλος,—,—,—,—,neuter,accusative,plural,adjective,Matthew 25:16,πορευθεὶς ὁ τὰ πέντε τάλαντα λαβὼν ἠργάσατο ἐν αὐτοῖς καὶ ἐκέρδησεν,πέντε·
ἄλλα,ἄλλος,—,—,—,—,neuter,accusative,plural,adjective,Matthew 25:17,ὡσαύτως  ὁ τὰ δύο ἐκέρδησεν,δύο.
ἄλλα,ἄλλος,—,—,—,—,neuter,accusative,plural,adjective,Matthew 25:20,καὶ προσελθὼν ὁ τὰ πέντε τάλαντα λαβὼν προσήνεγκεν,"πέντε τάλαντα λέγων· κύριε, πέντε τάλαντά μοι παρέδωκας· ἴδε ἄλλα πέντε τάλαντα ἐκέρδησα."
ἄλλα,ἄλλος,—,—,—,—,neuter,accusative,plural,adjective,Matthew 25:20,"καὶ προσελθὼν ὁ τὰ πέντε τάλαντα λαβὼν προσήνεγκεν ἄλλα πέντε τάλαντα λέγων· κύριε, πέντε τάλαντά μοι παρέδωκας· ἴδε",πέντε τάλαντα ἐκέρδησα.
ἄλλα,ἄλλος,—,—,—,—,neuter,accusative,plural,adjective,Matthew 25:22,"Προσελθὼν [δὲ] καὶ ὁ τὰ δύο τάλαντα  εἶπεν· κύριε, δύο τάλαντά μοι παρέδωκας· ἴδε",δύο τάλαντα ἐκέρδησα.
ἄλλα,ἄλλος,—,—,—,—,neuter,nominative,plural,adjective,Mark 4:8,καὶ,ἔπεσεν εἰς τὴν γῆν τὴν καλὴν καὶ ἐδίδου καρπὸν ἀναβαίνοντα καὶ αὐξανόμενα καὶ
ἄλλα,ἄλλος,—,—,—,—,neuter,nominative,plural,adjective,Mark 4:36,"καὶ ἀφέντες τὸν ὄχλον παραλαμβάνουσιν αὐτὸν ὡς ἦν ἐν τῷ πλοίῳ, καὶ",πλοῖα ἦν μετʼ αὐτοῦ.
