Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 2:13,καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ ἴσθι ἐκεῖ ἕως,ἂν,εἴπω σοι· μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό.,ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 5:18,ἀμὴν γὰρ λέγω ὑμῖν· ἕως,ἂν,"παρέλθῃ ὁ οὐρανὸς καὶ ἡ γῆ, ἰῶτα ἓν ἢ μία κεραία οὐ μὴ",ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 5:18,"ἰῶτα ἓν ἢ μία κεραία οὐ μὴ παρέλθῃ ἀπὸ τοῦ νόμου , ἕως",ἂν,πάντα γένηται.,ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 5:19,"οὕτως τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δʼ",ἂν,"ποιήσῃ καὶ διδάξῃ, οὗτος μέγας κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν.",ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 5:21,Ἠκούσατε ὅτι ἐρρέθη τοῖς ἀρχαίοις· οὐ φονεύσεις· ὃς δʼ,ἂν,"φονεύσῃ, ἔνοχος ἔσται τῇ κρίσει.",ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 5:22,ἐγὼ δὲ λέγω ὑμῖν ὅτι πᾶς ὁ ὀργιζόμενος τῷ ἀδελφῷ αὐτοῦ  ἔνοχος ἔσται τῇ κρίσει· ὃς δʼ,ἂν,"εἴπῃ τῷ ἀδελφῷ αὐτοῦ· ῥακά, ἔνοχος ἔσται τῷ συνεδρίῳ· ὃς δʼ ἂν εἴπῃ",ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 5:22,"ἂν εἴπῃ τῷ ἀδελφῷ αὐτοῦ· ῥακά, ἔνοχος ἔσται τῷ συνεδρίῳ· ὃς δʼ",ἂν,"εἴπῃ · μωρέ, ἔνοχος ἔσται εἰς τὴν γέενναν τοῦ πυρός.",ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 5:26,"ἀμὴν λέγω σοι, οὐ μὴ ἐξέλθῃς ἐκεῖθεν, ἕως",ἂν,ἀποδῷς τὸν ἔσχατον κοδράντην.,ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 5:31,Ἐρρέθη δέ· ὃς,ἂν,"ἀπολύσῃ τὴν γυναῖκα αὐτοῦ, δότω αὐτῇ ἀποστάσιον.",ἄν,Louw Nida 71.8,αν,particle,conditional
NA28,Matthew 10:11,Εἰς ἣν δʼ,ἂν,"πόλιν ἢ κώμην εἰσέλθητε, ἐξετάσατε τίς ἐν αὐτῇ ἄξιός ἐστιν· κἀκεῖ μείνατε ἕως ἂν ἐξέλθητε.",ἄν,Louw Nida 71.8,αν,particle,conditional
