Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐκβάλετε,ἐκβάλλω,aorist,active,imperative,second person,—,—,plural,verb,Matthew 22:13,τότε ὁ βασιλεὺς εἶπεν τοῖς διακόνοις· δήσαντες αὐτοῦ πόδας καὶ χεῖρας,αὐτὸν εἰς τὸ σκότος τὸ ἐξώτερον· ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων.
ἐκβάλετε,ἐκβάλλω,aorist,active,imperative,second person,—,—,plural,verb,Matthew 25:30,καὶ τὸν ἀχρεῖον δοῦλον,εἰς τὸ σκότος τὸ ἐξώτερον· ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων.
ἐκβάλλει,ἐκβάλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 9:34,οἱ δὲ Φαρισαῖοι ἔλεγον· ἐν τῷ ἄρχοντι τῶν δαιμονίων,τὰ δαιμόνια.
ἐκβάλλει,ἐκβάλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 12:24,οἱ δὲ Φαρισαῖοι ἀκούσαντες εἶπον· οὗτος οὐκ,τὰ δαιμόνια εἰ μὴ ἐν τῷ Βεελζεβοὺλ ἄρχοντι τῶν δαιμονίων.
ἐκβάλλει,ἐκβάλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 12:26,καὶ εἰ ὁ σατανᾶς τὸν σατανᾶν,", ἐφʼ ἑαυτὸν ἐμερίσθη· πῶς οὖν σταθήσεται ἡ βασιλεία αὐτοῦ;"
ἐκβάλλει,ἐκβάλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 12:35,ὁ ἀγαθὸς ἄνθρωπος ἐκ τοῦ ἀγαθοῦ θησαυροῦ,"ἀγαθά, καὶ ὁ πονηρὸς ἄνθρωπος ἐκ τοῦ πονηροῦ θησαυροῦ  ἐκβάλλει  πονηρά."
ἐκβάλλει,ἐκβάλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 12:35,"ὁ ἀγαθὸς ἄνθρωπος ἐκ τοῦ ἀγαθοῦ θησαυροῦ  ἐκβάλλει  ἀγαθά, καὶ ὁ πονηρὸς ἄνθρωπος ἐκ τοῦ πονηροῦ θησαυροῦ",πονηρά.
ἐκβάλλει,ἐκβάλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 13:52,"ὁ δὲ εἶπεν αὐτοῖς· διὰ τοῦτο πᾶς γραμματεὺς μαθητευθεὶς τῇ βασιλείᾳ τῶν οὐρανῶν ὅμοιός ἐστιν ἀνθρώπῳ οἰκοδεσπότῃ, ὅστις",ἐκ τοῦ θησαυροῦ αὐτοῦ καινὰ καὶ παλαιά.
ἐκβάλλει,ἐκβάλλω,present,active,indicative,third person,—,—,singular,verb,Mark 1:12,Καὶ εὐθὺς τὸ πνεῦμα αὐτὸν,εἰς τὴν ἔρημον.
ἐκβάλλει,ἐκβάλλω,present,active,indicative,third person,—,—,singular,verb,Mark 3:22,Καὶ οἱ γραμματεῖς οἱ ἀπὸ Ἱεροσολύμων καταβάντες ἔλεγον ὅτι Βεελζεβοὺλ ἔχει καὶ ὅτι ἐν τῷ ἄρχοντι τῶν δαιμονίων,τὰ δαιμόνια.
