Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 2:13,τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ ἴσθι,ἕως ἂν εἴπω σοι· μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό.
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 2:15,καὶ ἦν,ἕως τῆς τελευτῆς Ἡρῴδου· ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 2:22,Ἀκούσας δὲ ὅτι Ἀρχέλαος βασιλεύει τῆς Ἰουδαίας ἀντὶ τοῦ πατρὸς αὐτοῦ Ἡρῴδου ἐφοβήθη,"ἀπελθεῖν· χρηματισθεὶς δὲ κατʼ ὄναρ ἀνεχώρησεν εἰς τὰ μέρη τῆς Γαλιλαίας,"
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 5:24,ἄφες,τὸ δῶρόν σου ἔμπροσθεν τοῦ θυσιαστηρίου καὶ ὕπαγε πρῶτον διαλλάγηθι τῷ ἀδελφῷ σου
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 6:21,"ὅπου γάρ ἐστιν ὁ θησαυρός σου,",ἔσται καὶ ἡ καρδία σου.
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 8:12,οἱ δὲ υἱοὶ τῆς βασιλείας ἐκβληθήσονται εἰς τὸ σκότος τὸ ἐξώτερον·,ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων.
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 12:45,τότε πορεύεται καὶ παραλαμβάνει μεθʼ ἑαυτοῦ ἑπτὰ ἕτερα πνεύματα πονηρότερα ἑαυτοῦ καὶ εἰσελθόντα κατοικεῖ,· καὶ γίνεται τὰ ἔσχατα τοῦ ἀνθρώπου ἐκείνου χείρονα τῶν πρώτων. οὕτως ἔσται καὶ
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 13:42,καὶ βαλοῦσιν αὐτοὺς εἰς τὴν κάμινον τοῦ πυρός·,ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων.
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 13:50,καὶ βαλοῦσιν αὐτοὺς εἰς τὴν κάμινον τοῦ πυρός·,ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων.
ἐκεῖ,ἐκεῖ,—,—,—,—,—,—,—,adverb,Matthew 13:58,καὶ οὐκ ἐποίησεν,δυνάμεις πολλὰς διὰ τὴν ἀπιστίαν αὐτῶν.
