Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,Acts 24:15,—,"ἔχων εἰς τὸν θεὸν ἣν καὶ αὐτοὶ οὗτοι προσδέχονται, ἀνάστασιν μέλλειν ἔσεσθαι  δικαίων τε καὶ ἀδίκων."
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,Romans 4:18,Ὃς παρʼ,ἐπʼ ἐλπίδι ἐπίστευσεν εἰς τὸ γενέσθαι αὐτὸν πατέρα πολλῶν ἐθνῶν κατὰ τὸ εἰρημένον
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,Romans 5:4,"ἡ δὲ ὑπομονὴ δοκιμήν, ἡ δὲ δοκιμὴ",.
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,Romans 15:4,"ἐγράφη, ἵνα διὰ τῆς ὑπομονῆς καὶ διὰ τῆς παρακλήσεως τῶν γραφῶν τὴν",ἔχωμεν.
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,2 Corinthians 3:12,Ἔχοντες οὖν τοιαύτην,πολλῇ παρρησίᾳ χρώμεθα
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,2 Corinthians 10:15,"οὐκ εἰς τὰ ἄμετρα καυχώμενοι ἐν ἀλλοτρίοις κόποις,",δὲ ἔχοντες αὐξανομένης τῆς πίστεως ὑμῶν ἐν ὑμῖν μεγαλυνθῆναι κατὰ τὸν κανόνα ἡμῶν εἰς περισσείαν
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,Galatians 5:5,ἡμεῖς γὰρ πνεύματι ἐκ πίστεως,δικαιοσύνης ἀπεκδεχόμεθα.
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,Ephesians 2:12,"ὅτι ἦτε τῷ καιρῷ ἐκείνῳ χωρὶς Χριστοῦ, ἀπηλλοτριωμένοι τῆς πολιτείας τοῦ Ἰσραὴλ καὶ ξένοι τῶν διαθηκῶν τῆς ἐπαγγελίας,",μὴ ἔχοντες καὶ ἄθεοι ἐν τῷ κόσμῳ.
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,Philippians 1:20,κατὰ τὴν ἀποκαραδοκίαν καὶ,"μου, ὅτι ἐν οὐδενὶ αἰσχυνθήσομαι ἀλλʼ ἐν πάσῃ παρρησίᾳ ὡς πάντοτε καὶ νῦν"
ἐλπίδα,ἐλπίς,—,—,—,—,feminine,accusative,singular,noun,Colossians 1:5,διὰ τὴν,"τὴν ἀποκειμένην ὑμῖν ἐν τοῖς οὐρανοῖς, ἣν προηκούσατε ἐν τῷ λόγῳ τῆς ἀληθείας τοῦ εὐαγγελίου"
