Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 1:18,"μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη",γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου.
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 1:20,"Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου· τὸ γὰρ",αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου.
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 1:23,ἰδοὺ ἡ παρθένος,"γαστρὶ ἕξει καὶ τέξεται υἱόν,        καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ,  ὅ ἐστιν"
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:1,Τοῦ δὲ Ἰησοῦ γεννηθέντος,"Βηθλέεμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδοὺ μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα"
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:1,Τοῦ δὲ Ἰησοῦ γεννηθέντος ἐν Βηθλέεμ τῆς Ἰουδαίας,"ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδοὺ μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα"
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:2,λέγοντες· ποῦ ἐστιν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων; εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα,τῇ ἀνατολῇ καὶ ἤλθομεν προσκυνῆσαι αὐτῷ.
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:5,οἱ δὲ εἶπαν αὐτῷ·,Βηθλέεμ τῆς Ἰουδαίας· οὕτως γὰρ γέγραπται διὰ τοῦ προφήτου·
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:6,"καὶ σὺ Βηθλέεμ, γῆ Ἰούδα,           οὐδαμῶς ἐλαχίστη εἶ","τοῖς ἡγεμόσιν Ἰούδα        ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος,           ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ."
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:9,"Οἱ δὲ ἀκούσαντες τοῦ βασιλέως ἐπορεύθησαν καὶ ἰδοὺ ὁ ἀστήρ, ὃν εἶδον","τῇ ἀνατολῇ, προῆγεν αὐτούς, ἕως ἐλθὼν ἐστάθη ἐπάνω οὗ ἦν τὸ παιδίον."
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:16,"Τότε Ἡρῴδης ἰδὼν ὅτι ἐνεπαίχθη ὑπὸ τῶν μάγων ἐθυμώθη λίαν, καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς","Βηθλέεμ καὶ ἐν πᾶσιν τοῖς ὁρίοις αὐτῆς ἀπὸ διετοῦς καὶ κατωτέρω, κατὰ τὸν"
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:16,"ἐθυμώθη λίαν, καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς ἐν Βηθλέεμ καὶ","πᾶσιν τοῖς ὁρίοις αὐτῆς ἀπὸ διετοῦς καὶ κατωτέρω, κατὰ τὸν χρόνον ὃν ἠκρίβωσεν παρὰ τῶν μάγων."
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:18,φωνὴ,"Ῥαμὰ ἠκούσθη,            κλαυθμὸς καὶ ὀδυρμὸς πολύς        Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς,           καὶ οὐκ"
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 2:19,Τελευτήσαντος δὲ τοῦ Ἡρῴδου ἰδοὺ ἄγγελος κυρίου φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ,Αἰγύπτῳ
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 3:1,Ἐν δὲ ταῖς ἡμέραις ἐκείναις παραγίνεται Ἰωάννης ὁ βαπτιστὴς κηρύσσων,τῇ ἐρήμῳ τῆς Ἰουδαίας
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 3:3,οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·        φωνὴ βοῶντος,"τῇ ἐρήμῳ·        ἑτοιμάσατε τὴν ὁδὸν κυρίου,           εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ."
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 3:6,καὶ ἐβαπτίζοντο,τῷ Ἰορδάνῃ ποταμῷ ὑπʼ αὐτοῦ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 3:9,καὶ μὴ δόξητε λέγειν,ἑαυτοῖς· πατέρα ἔχομεν τὸν Ἀβραάμ. λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ
ἐν,ἐν,—,—,—,—,—,—,—,preposition,Matthew 3:11,Ἐγὼ μὲν ὑμᾶς βαπτίζω,"ὕδατι εἰς μετάνοιαν, ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ οὐκ"
