Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐντολάς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,Matthew 19:17,"ἐστιν ὁ ἀγαθός · εἰ δὲ θέλεις εἰς τὴν ζωὴν εἰσελθεῖν, τήρησον τὰς",.
ἐντολάς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,John 14:21,ὁ ἔχων τὰς,μου καὶ τηρῶν αὐτὰς ἐκεῖνός ἐστιν ὁ ἀγαπῶν με· ὁ δὲ ἀγαπῶν με
ἐντολάς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,John 15:10,ἐὰν τὰς,"μου τηρήσητε, μενεῖτε ἐν τῇ ἀγάπῃ μου, καθὼς ἐγὼ τὰς ἐντολὰς τοῦ πατρός"
ἐντολάς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,Colossians 4:10,Ἀσπάζεται ὑμᾶς Ἀρίσταρχος ὁ συναιχμάλωτός μου καὶ Μᾶρκος ὁ ἀνεψιὸς Βαρναβᾶ περὶ οὗ ἐλάβετε,", ἐὰν ἔλθῃ πρὸς ὑμᾶς, δέξασθε αὐτόν"
ἐντολή,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,Matthew 22:38,αὕτη ἐστὶν ἡ μεγάλη καὶ πρώτη,.
ἐντολή,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,Romans 13:9,"τὸ γὰρ οὐ μοιχεύσεις, οὐ φονεύσεις, οὐ κλέψεις,  οὐκ ἐπιθυμήσεις, καὶ εἴ τις ἑτέρα",", ἐν τῷ λόγῳ τούτῳ ἀνακεφαλαιοῦται [ἐν τῷ]· ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν."
ἐντολή,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 14:37,"Εἴ τις δοκεῖ προφήτης εἶναι ἢ πνευματικός, ἐπιγινωσκέτω ἃ γράφω ὑμῖν ὅτι κυρίου ἐστὶν",·
ἐντολή,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,2 John 6,"καὶ αὕτη ἐστὶν ἡ ἀγάπη, ἵνα περιπατῶμεν κατὰ τὰς ἐντολὰς αὐτοῦ· αὕτη ἡ","ἐστιν, καθὼς ἠκούσατε ἀπʼ ἀρχῆς, ἵνα ἐν αὐτῇ περιπατῆτε."
ἐντολήν,ἐντολή,—,—,—,—,feminine,accusative,singular,noun,Luke 15:29,ὁ δὲ ἀποκριθεὶς εἶπεν τῷ πατρὶ αὐτοῦ· ἰδοὺ τοσαῦτα ἔτη δουλεύω σοι καὶ οὐδέποτε,"σου παρῆλθον, καὶ ἐμοὶ οὐδέποτε ἔδωκας ἔριφον ἵνα μετὰ τῶν φίλων μου εὐφρανθῶ·"
ἐντολήν,ἐντολή,—,—,—,—,feminine,accusative,singular,noun,Luke 23:56,ὑποστρέψασαι δὲ ἡτοίμασαν ἀρώματα καὶ μύρα. καὶ τὸ μὲν σάββατον ἡσύχασαν κατὰ τὴν,.
ἐντολαὶ,ἐντολή,—,—,—,—,feminine,nominative,plural,noun,1 John 5:3,"αὕτη γάρ ἐστιν ἡ ἀγάπη τοῦ θεοῦ, ἵνα τὰς ἐντολὰς αὐτοῦ τηρῶμεν, καὶ αἱ",αὐτοῦ βαρεῖαι οὐκ εἰσίν.
ἐντολαῖς,ἐντολή,—,—,—,—,feminine,dative,plural,noun,Matthew 22:40,ἐν ταύταις ταῖς δυσὶν,ὅλος ὁ νόμος κρέμαται καὶ οἱ προφῆται.
ἐντολαῖς,ἐντολή,—,—,—,—,feminine,dative,plural,noun,Luke 1:6,"ἦσαν δὲ δίκαιοι ἀμφότεροι ἐναντίον τοῦ θεοῦ, πορευόμενοι ἐν πάσαις ταῖς",καὶ δικαιώμασιν τοῦ κυρίου ἄμεμπτοι.
ἐντολαῖς,ἐντολή,—,—,—,—,feminine,dative,plural,noun,Titus 1:14,μὴ προσέχοντες Ἰουδαϊκοῖς μύθοις καὶ,ἀνθρώπων ἀποστρεφομένων τὴν ἀλήθειαν.
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,Mark 10:19,τὰς,"οἶδας· μὴ φονεύσῃς, μὴ μοιχεύσῃς, μὴ κλέψῃς, μὴ ψευδομαρτυρήσῃς, μὴ ἀποστερήσῃς, τίμα τὸν"
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,Luke 18:20,τὰς,"οἶδας· μὴ μοιχεύσῃς, μὴ φονεύσῃς, μὴ κλέψῃς, μὴ ψευδομαρτυρήσῃς, τίμα τὸν πατέρα σου καὶ τὴν μητέρα."
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,John 11:57,δεδώκεισαν δὲ  οἱ ἀρχιερεῖς καὶ οἱ Φαρισαῖοι,"ἵνα ἐάν τις γνῷ ποῦ ἐστιν μηνύσῃ, ὅπως πιάσωσιν αὐτόν."
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,John 14:15,"Ἐὰν ἀγαπᾶτέ με, τὰς",τὰς ἐμὰς τηρήσετε·
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,John 15:10,"ἐὰν τὰς ἐντολάς μου τηρήσητε, μενεῖτε ἐν τῇ ἀγάπῃ μου, καθὼς ἐγὼ τὰς",τοῦ πατρός μου τετήρηκα καὶ μένω αὐτοῦ ἐν τῇ ἀγάπῃ.
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,1 John 2:3,"Καὶ ἐν τούτῳ γινώσκομεν ὅτι ἐγνώκαμεν αὐτόν, ἐὰν τὰς",αὐτοῦ τηρῶμεν.
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,1 John 2:4,ὁ λέγων ὅτι ἔγνωκα αὐτὸν καὶ τὰς,"αὐτοῦ μὴ τηρῶν ψεύστης ἐστίν, καὶ ἐν τούτῳ ἡ ἀλήθεια οὐκ ἔστιν·"
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,1 John 3:22,"καὶ ὃ ἐὰν αἰτῶμεν, λαμβάνομεν ἀπʼ αὐτοῦ, ὅτι τὰς",αὐτοῦ τηροῦμεν καὶ τὰ ἀρεστὰ ἐνώπιον αὐτοῦ ποιοῦμεν.
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,1 John 3:24,καὶ ὁ τηρῶν τὰς,αὐτοῦ ἐν αὐτῷ μένει καὶ αὐτὸς ἐν αὐτῷ· καὶ ἐν τούτῳ γινώσκομεν ὅτι
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,1 John 5:2,"ἐν τούτῳ γινώσκομεν ὅτι ἀγαπῶμεν τὰ τέκνα τοῦ θεοῦ, ὅταν τὸν θεὸν ἀγαπῶμεν καὶ τὰς",αὐτοῦ ποιῶμεν.
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,1 John 5:3,"αὕτη γάρ ἐστιν ἡ ἀγάπη τοῦ θεοῦ, ἵνα τὰς","αὐτοῦ τηρῶμεν, καὶ αἱ ἐντολαὶ αὐτοῦ βαρεῖαι οὐκ εἰσίν."
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,2 John 6,"καὶ αὕτη ἐστὶν ἡ ἀγάπη, ἵνα περιπατῶμεν κατὰ τὰς","αὐτοῦ· αὕτη ἡ ἐντολή ἐστιν, καθὼς ἠκούσατε ἀπʼ ἀρχῆς, ἵνα ἐν αὐτῇ περιπατῆτε."
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,Revelation 12:17,ἀπῆλθεν ποιῆσαι πόλεμον μετὰ τῶν λοιπῶν τοῦ σπέρματος αὐτῆς τῶν τηρούντων τὰς,τοῦ θεοῦ καὶ ἐχόντων τὴν μαρτυρίαν Ἰησοῦ.    Καὶ
ἐντολὰς,ἐντολή,—,—,—,—,feminine,accusative,plural,noun,Revelation 14:12,"Ὧδε ἡ ὑπομονὴ τῶν ἁγίων ἐστίν,  οἱ τηροῦντες τὰς",τοῦ θεοῦ καὶ τὴν πίστιν Ἰησοῦ.
ἐντολὴ,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,Matthew 22:36,"διδάσκαλε, ποία",μεγάλη ἐν τῷ νόμῳ;
ἐντολὴ,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,Mark 12:28,"Καὶ προσελθὼν εἷς τῶν γραμματέων ἀκούσας αὐτῶν συζητούντων, ἰδὼν ὅτι καλῶς ἀπεκρίθη αὐτοῖς ἐπηρώτησεν αὐτόν· ποία ἐστὶν",πρώτη πάντων;
ἐντολὴ,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,Mark 12:31,δευτέρα αὕτη· ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν. μείζων τούτων ἄλλη,οὐκ ἔστιν.
ἐντολὴ,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,John 12:50,καὶ οἶδα ὅτι ἡ,"αὐτοῦ ζωὴ αἰώνιός ἐστιν. ἃ οὖν ἐγὼ λαλῶ, καθὼς εἴρηκέν μοι ὁ πατήρ, οὕτως λαλῶ."
ἐντολὴ,ἐντολή,—,—,—,—,feminine,nominative,singular,noun,John 15:12,Αὕτη ἐστὶν ἡ,"ἡ ἐμή, ἵνα ἀγαπᾶτε ἀλλήλους καθὼς ἠγάπησα ὑμᾶς."
