Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Luke 1:15,ἔσται γὰρ μέγας,ἐνώπιον,"[τοῦ] κυρίου,        καὶ οἶνον καὶ σίκερα οὐ μὴ πίῃ,        καὶ πνεύματος ἁγίου πλησθήσεται",ἐνώπιον,Louw Nida 90.20,ενωπιον,"preposition, adverb",—
NA28,Luke 1:17,καὶ αὐτὸς προελεύσεται,ἐνώπιον,"αὐτοῦ           ἐν πνεύματι καὶ δυνάμει Ἠλίου,        ἐπιστρέψαι καρδίας πατέρων ἐπὶ τέκνα        καὶ ἀπειθεῖς",ἐνώπιον,Louw Nida 83.33,ενωπιον,"preposition, adverb",—
NA28,Luke 1:19,καὶ ἀποκριθεὶς ὁ ἄγγελος εἶπεν αὐτῷ· ἐγώ εἰμι Γαβριὴλ ὁ παρεστηκὼς,ἐνώπιον,τοῦ θεοῦ καὶ ἀπεστάλην λαλῆσαι πρὸς σὲ καὶ εὐαγγελίσασθαί σοι ταῦτα·,ἐνώπιον,Louw Nida 83.33,ενωπιον,"preposition, adverb",—
NA28,Luke 1:75,ἐν ὁσιότητι καὶ δικαιοσύνῃ,ἐνώπιον,αὐτοῦ πάσαις ταῖς ἡμέραις ἡμῶν.,ἐνώπιον,Louw Nida 90.20,ενωπιον,"preposition, adverb",—
NA28,Luke 1:76,"Καὶ σὺ δέ, παιδίον, προφήτης ὑψίστου κληθήσῃ·           προπορεύσῃ γὰρ",ἐνώπιον,"κυρίου ἑτοιμάσαι ὁδοὺς αὐτοῦ,",ἐνώπιον,Louw Nida 83.33,ενωπιον,"preposition, adverb",—
NA28,Luke 4:7,σὺ οὖν ἐὰν προσκυνήσῃς,ἐνώπιον,"ἐμοῦ, ἔσται σοῦ πᾶσα.",ἐνώπιον,Louw Nida 83.33,ενωπιον,"preposition, adverb",—
NA28,Luke 5:18,καὶ ἰδοὺ ἄνδρες φέροντες ἐπὶ κλίνης ἄνθρωπον ὃς ἦν παραλελυμένος καὶ ἐζήτουν αὐτὸν εἰσενεγκεῖν καὶ θεῖναι [αὐτὸν],ἐνώπιον,αὐτοῦ.,ἐνώπιον,Louw Nida 83.33,ενωπιον,"preposition, adverb",—
NA28,Luke 5:25,καὶ παραχρῆμα ἀναστὰς,ἐνώπιον,"αὐτῶν, ἄρας ἐφʼ ὃ κατέκειτο, ἀπῆλθεν εἰς τὸν οἶκον αὐτοῦ δοξάζων τὸν θεόν.",ἐνώπιον,Louw Nida 83.33,ενωπιον,"preposition, adverb",—
NA28,Luke 8:47,"ἰδοῦσα δὲ ἡ γυνὴ ὅτι οὐκ ἔλαθεν, τρέμουσα ἦλθεν καὶ προσπεσοῦσα αὐτῷ διʼ ἣν αἰτίαν ἥψατο αὐτοῦ ἀπήγγειλεν",ἐνώπιον,παντὸς τοῦ λαοῦ καὶ ὡς ἰάθη παραχρῆμα.,ἐνώπιον,Louw Nida 83.33,ενωπιον,"preposition, adverb",—
NA28,Luke 12:6,οὐχὶ πέντε στρουθία πωλοῦνται ἀσσαρίων δύο; καὶ ἓν ἐξ αὐτῶν οὐκ ἔστιν ἐπιλελησμένον,ἐνώπιον,τοῦ θεοῦ.,ἐνώπιον,Louw Nida 90.20,ενωπιον,"preposition, adverb",—
NA28,Luke 12:9,ὁ δὲ ἀρνησάμενός με,ἐνώπιον,τῶν ἀνθρώπων ἀπαρνηθήσεται ἐνώπιον τῶν ἀγγέλων τοῦ θεοῦ.,ἐνώπιον,Louw Nida 83.33,ενωπιον,"preposition, adverb",—
