Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Matthew 28:18,καὶ προσελθὼν ὁ Ἰησοῦς ἐλάλησεν αὐτοῖς λέγων· ἐδόθη μοι πᾶσα,ἐν οὐρανῷ καὶ ἐπὶ [τῆς] γῆς.
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Luke 22:53,"τὰς χεῖρας ἐπʼ ἐμέ, ἀλλʼ αὕτη ἐστὶν ὑμῶν ἡ ὥρα καὶ ἡ",τοῦ σκότους.
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Romans 13:1,Πᾶσα ψυχὴ ἐξουσίαις ὑπερεχούσαις ὑποτασσέσθω. οὐ γὰρ ἔστιν,"εἰ μὴ ὑπὸ θεοῦ, αἱ δὲ οὖσαι  ὑπὸ  θεοῦ τεταγμέναι εἰσίν."
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 8:9,βλέπετε δὲ μή πως ἡ,ὑμῶν αὕτη πρόσκομμα γένηται τοῖς ἀσθενέσιν.
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Jude 25,μόνῳ  θεῷ σωτῆρι ἡμῶν διὰ Ἰησοῦ Χριστοῦ τοῦ κυρίου ἡμῶν δόξα μεγαλωσύνη κράτος καὶ,"πρὸ παντὸς τοῦ αἰῶνος καὶ νῦν καὶ εἰς πάντας τοὺς αἰῶνας, ἀμήν."
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Revelation 6:8,"αὐτῷ [ὁ] θάνατος, καὶ ὁ ᾅδης ἠκολούθει μετʼ αὐτοῦ καὶ ἐδόθη αὐτοῖς",ἐπὶ τὸ τέταρτον τῆς γῆς ἀποκτεῖναι ἐν ῥομφαίᾳ καὶ ἐν λιμῷ καὶ ἐν
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Revelation 9:3,"καὶ ἐκ τοῦ καπνοῦ ἐξῆλθον ἀκρίδες εἰς τὴν γῆν, καὶ ἐδόθη αὐταῖς",ὡς ἔχουσιν ἐξουσίαν οἱ σκορπίοι τῆς γῆς.
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Revelation 9:10,"καὶ ἔχουσιν οὐρὰς ὁμοίας σκορπίοις καὶ κέντρα , καὶ ἐν ταῖς οὐραῖς αὐτῶν ἡ","αὐτῶν ἀδικῆσαι τοὺς ἀνθρώπους μῆνας πέντε,"
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Revelation 9:19,ἡ γὰρ,"τῶν ἵππων ἐν τῷ στόματι αὐτῶν ἐστιν καὶ ἐν ταῖς οὐραῖς αὐτῶν, αἱ"
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Revelation 12:10,σωτηρία καὶ ἡ δύναμις        καὶ ἡ βασιλεία τοῦ θεοῦ ἡμῶν        καὶ ἡ,"τοῦ χριστοῦ αὐτοῦ,      ὅτι ἐβλήθη ὁ κατήγωρ τῶν ἀδελφῶν ἡμῶν,        ὁ κατηγορῶν αὐτοὺς"
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Revelation 13:5,Καὶ ἐδόθη αὐτῷ στόμα λαλοῦν  μεγάλα καὶ βλασφημίας καὶ ἐδόθη αὐτῷ,ποιῆσαι μῆνας τεσσεράκοντα [καὶ] δύο.
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Revelation 13:7,"καὶ ἐδόθη αὐτῷ ποιῆσαι πόλεμον μετὰ τῶν ἁγίων καὶ νικῆσαι αὐτούς, καὶ ἐδόθη αὐτῷ",ἐπὶ πᾶσαν φυλὴν καὶ λαὸν καὶ γλῶσσαν καὶ ἔθνος.
ἐξουσία,ἐξουσία,—,—,—,—,feminine,nominative,singular,noun,Revelation 22:14,"Μακάριοι οἱ πλύνοντες τὰς στολὰς αὐτῶν, ἵνα ἔσται ἡ",αὐτῶν ἐπὶ τὸ ξύλον τῆς ζωῆς καὶ τοῖς πυλῶσιν εἰσέλθωσιν εἰς τὴν πόλιν.
ἐξουσίαι,ἐξουσία,—,—,—,—,feminine,nominative,plural,noun,Colossians 1:16,"τὰ ὁρατὰ καὶ τὰ ἀόρατα,        εἴτε θρόνοι εἴτε κυριότητες        εἴτε ἀρχαὶ εἴτε",·        τὰ πάντα διʼ αὐτοῦ καὶ εἰς αὐτὸν ἔκτισται·
ἐξουσίαις,ἐξουσία,—,—,—,—,feminine,dative,plural,noun,Romans 13:1,Πᾶσα ψυχὴ,"ὑπερεχούσαις ὑποτασσέσθω. οὐ γὰρ ἔστιν ἐξουσία εἰ μὴ ὑπὸ θεοῦ, αἱ δὲ οὖσαι  ὑπὸ  θεοῦ τεταγμέναι εἰσίν."
ἐξουσίαις,ἐξουσία,—,—,—,—,feminine,dative,plural,noun,Ephesians 3:10,ἵνα γνωρισθῇ νῦν ταῖς ἀρχαῖς καὶ ταῖς,"ἐν τοῖς ἐπουρανίοις διὰ τῆς ἐκκλησίας ἡ πολυποίκιλος σοφία τοῦ θεοῦ,"
ἐξουσίαις,ἐξουσία,—,—,—,—,feminine,dative,plural,noun,Titus 3:1,Ὑπομίμνῃσκε αὐτοὺς ἀρχαῖς,"ὑποτάσσεσθαι, πειθαρχεῖν, πρὸς πᾶν ἔργον ἀγαθὸν ἑτοίμους εἶναι,"
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Matthew 7:29,ἦν γὰρ διδάσκων αὐτοὺς ὡς,ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς αὐτῶν.
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Matthew 8:9,καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ,", ἔχων ὑπʼ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· ἔρχου"
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Matthew 9:6,ἵνα δὲ εἰδῆτε ὅτι,ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας—τότε λέγει τῷ
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Matthew 9:8,ἰδόντες δὲ οἱ ὄχλοι ἐφοβήθησαν καὶ ἐδόξασαν τὸν θεὸν τὸν δόντα,τοιαύτην τοῖς ἀνθρώποις.
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Matthew 10:1,Καὶ προσκαλεσάμενος τοὺς δώδεκα μαθητὰς αὐτοῦ ἔδωκεν αὐτοῖς,πνευμάτων ἀκαθάρτων ὥστε ἐκβάλλειν αὐτὰ καὶ θεραπεύειν πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Matthew 21:23,λαοῦ λέγοντες· ἐν ποίᾳ ἐξουσίᾳ ταῦτα ποιεῖς; καὶ τίς σοι ἔδωκεν τὴν,ταύτην;
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Mark 1:22,καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ· ἦν γὰρ διδάσκων αὐτοὺς ὡς,ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς.
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Mark 1:27,καὶ ἐθαμβήθησαν ἅπαντες ὥστε συζητεῖν πρὸς ἑαυτοὺς λέγοντας· τί ἐστιν τοῦτο; διδαχὴ καινὴ κατʼ,"· καὶ τοῖς πνεύμασιν τοῖς ἀκαθάρτοις ἐπιτάσσει, καὶ ὑπακούουσιν αὐτῷ."
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Mark 2:10,ἵνα δὲ εἰδῆτε ὅτι,ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἀφιέναι ἁμαρτίας ἐπὶ τῆς γῆς — λέγει τῷ παραλυτικῷ·
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Mark 3:15,καὶ ἔχειν,ἐκβάλλειν τὰ δαιμόνια ·
ἐξουσίαν,ἐξουσία,—,—,—,—,feminine,accusative,singular,noun,Mark 6:7,Καὶ προσκαλεῖται τοὺς δώδεκα καὶ ἤρξατο αὐτοὺς ἀποστέλλειν δύο δύο καὶ ἐδίδου αὐτοῖς,"τῶν πνευμάτων τῶν ἀκαθάρτων,"
