Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 3:16,"οὐρανοί, καὶ εἶδεν [τὸ] πνεῦμα [τοῦ] θεοῦ καταβαῖνον ὡσεὶ περιστερὰν [καὶ] ἐρχόμενον",αὐτόν·
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 4:4,ὁ δὲ ἀποκριθεὶς εἶπεν· γέγραπται· οὐκ,"ἄρτῳ μόνῳ ζήσεται ὁ ἄνθρωπος, ἀλλʼ ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 9:18,ὅτι ἡ θυγάτηρ μου ἄρτι ἐτελεύτησεν· ἀλλʼ ἐλθὼν ἐπίθες τὴν χεῖρά σου,"αὐτήν, καὶ ζήσεται."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 10:13,"καὶ ἐὰν μὲν ᾖ ἡ οἰκία ἀξία, ἐλθάτω ἡ εἰρήνη ὑμῶν","αὐτήν, ἐὰν δὲ μὴ ᾖ ἀξία, ἡ εἰρήνη ὑμῶν πρὸς ὑμᾶς ἐπιστραφήτω."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 12:18,ἀγαπητός μου εἰς ὃν εὐδόκησεν ἡ ψυχή μου        θήσω τὸ πνεῦμά μου,"αὐτόν,           καὶ κρίσιν τοῖς ἔθνεσιν ἀπαγγελεῖ."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 14:14,Καὶ ἐξελθὼν  εἶδεν πολὺν ὄχλον καὶ ἐσπλαγχνίσθη,αὐτοῖς καὶ ἐθεράπευσεν τοὺς ἀρρώστους αὐτῶν.
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 18:13,"καὶ ἐὰν γένηται εὑρεῖν αὐτό, ἀμὴν λέγω ὑμῖν ὅτι χαίρει",αὐτῷ μᾶλλον ἢ ἐπὶ τοῖς ἐνενήκοντα ἐννέα τοῖς μὴ πεπλανημένοις.
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 18:26,πεσὼν οὖν ὁ δοῦλος  προσεκύνει αὐτῷ λέγων·  μακροθύμησον,"ἐμοί, καὶ πάντα ἀποδώσω σοι."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 18:29,πεσὼν οὖν ὁ σύνδουλος αὐτοῦ  παρεκάλει αὐτὸν λέγων· μακροθύμησον,"ἐμοί, καὶ ἀποδώσω σοι."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 21:7,ἤγαγον τὴν ὄνον καὶ τὸν πῶλον καὶ ἐπέθηκαν,"αὐτῶν τὰ ἱμάτια, καὶ ἐπεκάθισεν ἐπάνω αὐτῶν."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 21:19,καὶ ἰδὼν συκῆν μίαν ἐπὶ τῆς ὁδοῦ ἦλθεν,"αὐτὴν καὶ οὐδὲν εὗρεν ἐν αὐτῇ εἰ μὴ φύλλα μόνον, καὶ λέγει αὐτῇ"
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 27:27,Τότε οἱ στρατιῶται τοῦ ἡγεμόνος παραλαβόντες τὸν Ἰησοῦν εἰς τὸ πραιτώριον συνήγαγον,αὐτὸν ὅλην τὴν σπεῖραν.
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Matthew 27:42,"ἄλλους ἔσωσεν, ἑαυτὸν οὐ δύναται σῶσαι*· βασιλεὺς Ἰσραήλ ἐστιν, καταβάτω νῦν ἀπὸ τοῦ σταυροῦ καὶ πιστεύσομεν",αὐτόν.
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Mark 1:45,"τὸν λόγον, ὥστε μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν, ἀλλʼ ἔξω",ἐρήμοις τόποις ἦν· καὶ ἤρχοντο πρὸς αὐτὸν πάντοθεν.
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Mark 5:21,Καὶ διαπεράσαντος τοῦ Ἰησοῦ [ἐν τῷ πλοίῳ] πάλιν εἰς τὸ πέραν συνήχθη ὄχλος πολὺς,"αὐτόν, καὶ ἦν παρὰ τὴν θάλασσαν."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Mark 6:34,Καὶ ἐξελθὼν εἶδεν πολὺν ὄχλον καὶ ἐσπλαγχνίσθη,"αὐτούς, ὅτι ἦσαν ὡς πρόβατα μὴ ἔχοντα ποιμένα, καὶ ἤρξατο διδάσκειν αὐτοὺς πολλά."
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Mark 8:4,καὶ ἀπεκρίθησαν αὐτῷ οἱ μαθηταὶ αὐτοῦ ὅτι πόθεν τούτους δυνήσεταί τις ὧδε χορτάσαι ἄρτων,ἐρημίας;
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Mark 9:13,"ἀλλὰ λέγω ὑμῖν ὅτι καὶ Ἠλίας ἐλήλυθεν, καὶ ἐποίησαν αὐτῷ ὅσα ἤθελον, καθὼς γέγραπται",αὐτόν.
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Mark 10:11,καὶ λέγει αὐτοῖς· ὃς ἂν ἀπολύσῃ τὴν γυναῖκα αὐτοῦ καὶ γαμήσῃ ἄλλην μοιχᾶται,αὐτήν·
ἐπʼ,ἐπί,—,—,—,—,—,—,—,preposition,Mark 10:16,καὶ ἐναγκαλισάμενος αὐτὰ κατευλόγει τιθεὶς τὰς χεῖρας,αὐτά.
