Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐπαγγελία,ἐπαγγελία,—,—,—,—,feminine,nominative,singular,noun,Acts 2:39,ὑμῖν γάρ ἐστιν ἡ,"καὶ τοῖς τέκνοις ὑμῶν καὶ πᾶσιν τοῖς εἰς μακράν, ὅσους ἂν προσκαλέσηται κύριος ὁ θεὸς ἡμῶν."
ἐπαγγελία,ἐπαγγελία,—,—,—,—,feminine,nominative,singular,noun,Romans 4:13,Οὐ γὰρ διὰ νόμου ἡ,"τῷ Ἀβραὰμ ἢ τῷ σπέρματι αὐτοῦ, τὸ κληρονόμον αὐτὸν εἶναι κόσμου, ἀλλὰ διὰ δικαιοσύνης πίστεως."
ἐπαγγελία,ἐπαγγελία,—,—,—,—,feminine,nominative,singular,noun,Romans 4:14,"εἰ γὰρ οἱ ἐκ νόμου κληρονόμοι, κεκένωται ἡ πίστις καὶ κατήργηται ἡ",·
ἐπαγγελία,ἐπαγγελία,—,—,—,—,feminine,nominative,singular,noun,Galatians 3:22,"ἀλλὰ συνέκλεισεν ἡ γραφὴ τὰ πάντα ὑπὸ ἁμαρτίαν, ἵνα ἡ",ἐκ πίστεως Ἰησοῦ Χριστοῦ δοθῇ τοῖς πιστεύουσιν.
ἐπαγγελία,ἐπαγγελία,—,—,—,—,feminine,nominative,singular,noun,2 Peter 3:4,καὶ λέγοντες· ποῦ ἐστιν ἡ,"τῆς παρουσίας αὐτοῦ; ἀφʼ ἧς γὰρ οἱ πατέρες  ἐκοιμήθησαν, πάντα οὕτως διαμένει ἀπʼ ἀρχῆς κτίσεως."
ἐπαγγελία,ἐπαγγελία,—,—,—,—,feminine,nominative,singular,noun,1 John 2:25,καὶ αὕτη ἐστὶν ἡ,"ἣν αὐτὸς ἐπηγγείλατο ἡμῖν, τὴν ζωὴν τὴν αἰώνιον."
ἐπαγγελίαι,ἐπαγγελία,—,—,—,—,feminine,nominative,plural,noun,Romans 9:4,δόξα καὶ αἱ διαθῆκαι καὶ ἡ νομοθεσία καὶ ἡ λατρεία καὶ αἱ,","
ἐπαγγελίαι,ἐπαγγελία,—,—,—,—,feminine,nominative,plural,noun,2 Corinthians 1:20,ὅσαι γὰρ,"θεοῦ, ἐν αὐτῷ τὸ ναί·  διὸ καὶ διʼ αὐτοῦ τὸ ἀμὴν τῷ θεῷ πρὸς δόξαν  διʼ ἡμῶν."
ἐπαγγελίαι,ἐπαγγελία,—,—,—,—,feminine,nominative,plural,noun,Galatians 3:16,τῷ δὲ Ἀβραὰμ ἐρρέθησαν αἱ,"καὶ τῷ σπέρματι αὐτοῦ. οὐ λέγει· καὶ τοῖς σπέρμασιν, ὡς ἐπὶ πολλῶν ἀλλʼ"
ἐπαγγελίαις,ἐπαγγελία,—,—,—,—,feminine,dative,plural,noun,Hebrews 8:6,"νυνὶ] δὲ διαφορωτέρας τέτυχεν λειτουργίας, ὅσῳ καὶ κρείττονός ἐστιν διαθήκης μεσίτης, ἥτις ἐπὶ κρείττοσιν",νενομοθέτηται.
ἐπαγγελίαν,ἐπαγγελία,—,—,—,—,feminine,accusative,singular,noun,Luke 24:49,καὶ [ἰδοὺ] ἐγὼ ἀποστέλλω τὴν,τοῦ πατρός μου ἐφʼ ὑμᾶς· ὑμεῖς δὲ καθίσατε ἐν τῇ πόλει  ἕως οὗ ἐνδύσησθε ἐξ ὕψους δύναμιν.
ἐπαγγελίαν,ἐπαγγελία,—,—,—,—,feminine,accusative,singular,noun,Acts 1:4,καὶ συναλιζόμενος  παρήγγειλεν αὐτοῖς ἀπὸ Ἱεροσολύμων μὴ χωρίζεσθαι ἀλλὰ περιμένειν τὴν,"τοῦ πατρὸς ἣν ἠκούσατέ  μου,"
ἐπαγγελίαν,ἐπαγγελία,—,—,—,—,feminine,accusative,singular,noun,Acts 2:33,"τῇ δεξιᾷ οὖν τοῦ θεοῦ ὑψωθείς, τήν τε","τοῦ πνεύματος τοῦ ἁγίου λαβὼν παρὰ τοῦ πατρός, ἐξέχεεν τοῦτο ὃ ὑμεῖς [καὶ] βλέπετε καὶ ἀκούετε."
ἐπαγγελίαν,ἐπαγγελία,—,—,—,—,feminine,accusative,singular,noun,Acts 13:23,τούτου ὁ θεὸς ἀπὸ τοῦ σπέρματος κατʼ,"ἤγαγεν τῷ Ἰσραὴλ σωτῆρα Ἰησοῦν,"
ἐπαγγελίαν,ἐπαγγελία,—,—,—,—,feminine,accusative,singular,noun,Acts 13:32,Καὶ ἡμεῖς ὑμᾶς εὐαγγελιζόμεθα τὴν πρὸς τοὺς πατέρας,"γενομένην,"
ἐπαγγελίαν,ἐπαγγελία,—,—,—,—,feminine,accusative,singular,noun,Acts 23:21,"ἕως οὗ ἀνέλωσιν αὐτόν, καὶ νῦν εἰσιν ἕτοιμοι προσδεχόμενοι τὴν ἀπὸ σοῦ",.
