Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἤσθιον,ἐσθίω,imperfect,active,indicative,third person,plural,Luke 6:1,"Ἐγένετο δὲ ἐν σαββάτῳ διαπορεύεσθαι αὐτὸν διὰ σπορίμων, καὶ ἔτιλλον οἱ μαθηταὶ αὐτοῦ καὶ",τοὺς στάχυας ψώχοντες ταῖς χερσίν.
ἤσθιον,ἐσθίω,imperfect,active,indicative,third person,plural,Luke 15:16,καὶ ἐπεθύμει χορτασθῆναι ἐκ τῶν κερατίων ὧν,"οἱ χοῖροι, καὶ οὐδεὶς ἐδίδου αὐτῷ."
ἤσθιον,ἐσθίω,imperfect,active,indicative,third person,plural,Luke 17:27,—,", ἔπινον, ἐγάμουν, ἐγαμίζοντο, ἄχρι ἧς ἡμέρας εἰσῆλθεν Νῶε εἰς τὴν κιβωτὸν καὶ ἦλθεν"
ἤσθιον,ἐσθίω,imperfect,active,indicative,third person,plural,Luke 17:28,Ὁμοίως καθὼς ἐγένετο ἐν ταῖς ἡμέραις Λώτ·,", ἔπινον, ἠγόραζον, ἐπώλουν, ἐφύτευον, ᾠκοδόμουν·"
Ἐσθιόντων,ἐσθίω,present,active,participle,—,plural,Matthew 26:26,—,δὲ αὐτῶν λαβὼν ὁ Ἰησοῦς  ἄρτον καὶ εὐλογήσας ἔκλασεν καὶ δοὺς τοῖς μαθηταῖς
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,Matthew 12:4,πῶς εἰσῆλθεν εἰς τὸν οἶκον τοῦ θεοῦ καὶ τοὺς ἄρτους τῆς προθέσεως,", ὃ οὐκ ἐξὸν ἦν αὐτῷ φαγεῖν οὐδὲ τοῖς μετʼ αὐτοῦ εἰ μὴ τοῖς ἱερεῦσιν μόνοις;"
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,Matthew 14:20,καὶ,"πάντες καὶ ἐχορτάσθησαν, καὶ ἦραν τὸ περισσεῦον τῶν κλασμάτων δώδεκα κοφίνους πλήρεις."
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,Matthew 15:37,καὶ,πάντες καὶ ἐχορτάσθησαν. καὶ τὸ περισσεῦον τῶν κλασμάτων ἦραν ἑπτὰ σπυρίδας πλήρεις.
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,Mark 6:42,καὶ,"πάντες καὶ ἐχορτάσθησαν,"
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,Mark 8:8,καὶ,"καὶ ἐχορτάσθησαν, καὶ ἦραν περισσεύματα κλασμάτων ἑπτὰ σπυρίδας."
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,Luke 9:17,καὶ,"καὶ ἐχορτάσθησαν πάντες, καὶ ἤρθη τὸ περισσεῦσαν αὐτοῖς κλασμάτων κόφινοι δώδεκα."
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,John 6:23,ἄλλα ἦλθεν πλοιάρια ἐκ Τιβεριάδος ἐγγὺς τοῦ τόπου ὅπου,τὸν ἄρτον εὐχαριστήσαντος τοῦ κυρίου.
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,John 6:31,οἱ πατέρες ἡμῶν τὸ μάννα,"ἐν τῇ ἐρήμῳ, καθώς ἐστιν γεγραμμένον· ἄρτον ἐκ τοῦ οὐρανοῦ ἔδωκεν αὐτοῖς φαγεῖν."
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,John 6:49,οἱ πατέρες ὑμῶν,ἐν τῇ ἐρήμῳ τὸ μάννα καὶ ἀπέθανον·
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,John 6:58,"οὗτός ἐστιν ὁ ἄρτος ὁ ἐξ οὐρανοῦ καταβάς, οὐ καθὼς",οἱ πατέρες  καὶ ἀπέθανον· ὁ τρώγων τοῦτον τὸν ἄρτον ζήσει εἰς τὸν αἰῶνα.
ἔφαγον,ἐσθίω,aorist,active,indicative,first person,singular,Acts 10:14,"ὁ δὲ Πέτρος εἶπεν· μηδαμῶς, κύριε, ὅτι οὐδέποτε",πᾶν κοινὸν καὶ ἀκάθαρτον.
ἔφαγον,ἐσθίω,aorist,active,indicative,third person,plural,1 Corinthians 10:3,καὶ πάντες τὸ αὐτὸ πνευματικὸν βρῶμα,""
ἔφαγον,ἐσθίω,aorist,active,indicative,first person,singular,Revelation 10:10,"αὐτό, καὶ ἦν ἐν τῷ στόματί μου ὡς μέλι γλυκὺ καὶ ὅτε","αὐτό, ἐπικράνθη ἡ κοιλία μου."
ἔφαγεν,ἐσθίω,aorist,active,indicative,third person,singular,Mark 2:26,πῶς εἰσῆλθεν εἰς τὸν οἶκον τοῦ θεοῦ ἐπὶ Ἀβιαθὰρ ἀρχιερέως καὶ τοὺς ἄρτους τῆς προθέσεως,", οὓς οὐκ ἔξεστιν φαγεῖν εἰ μὴ τοὺς ἱερεῖς, καὶ ἔδωκεν καὶ τοῖς σὺν αὐτῷ οὖσιν;"
ἔφαγεν,ἐσθίω,aorist,active,indicative,third person,singular,Luke 4:2,ἡμέρας τεσσεράκοντα πειραζόμενος ὑπὸ τοῦ διαβόλου. Καὶ οὐκ,οὐδὲν  ἐν ταῖς ἡμέραις ἐκείναις καὶ συντελεσθεισῶν αὐτῶν ἐπείνασεν.
ἔφαγεν,ἐσθίω,aorist,active,indicative,third person,singular,Luke 6:4,[ὡς] εἰσῆλθεν εἰς τὸν οἶκον τοῦ θεοῦ καὶ τοὺς ἄρτους τῆς προθέσεως λαβὼν,"καὶ ἔδωκεν  τοῖς μετʼ αὐτοῦ, οὓς οὐκ ἔξεστιν φαγεῖν εἰ μὴ μόνους τοὺς ἱερεῖς;"
ἔφαγεν,ἐσθίω,aorist,active,indicative,third person,singular,Luke 24:43,καὶ λαβὼν ἐνώπιον αὐτῶν,.
ἔφαγεν,ἐσθίω,aorist,active,indicative,third person,singular,Acts 9:9,καὶ ἦν ἡμέρας τρεῖς μὴ βλέπων καὶ οὐκ,οὐδὲ ἔπιεν.
ἔσθητε,ἐσθίω,present,active,subjunctive,second person,plural,Luke 22:30,ἵνα,"καὶ πίνητε ἐπὶ τῆς τραπέζης μου ἐν τῇ βασιλείᾳ μου,  καὶ καθήσεσθε ἐπὶ"
ἐφάγομεν,ἐσθίω,aorist,active,indicative,first person,plural,Luke 13:26,τότε ἄρξεσθε λέγειν·,ἐνώπιόν σου καὶ ἐπίομεν καὶ ἐν ταῖς πλατείαις ἡμῶν ἐδίδαξας·
ἐφάγομεν,ἐσθίω,aorist,active,indicative,first person,plural,2 Thessalonians 3:8,οὐδὲ δωρεὰν ἄρτον,"παρά τινος, ἀλλʼ ἐν κόπῳ καὶ μόχθῳ νυκτὸς καὶ ἡμέρας ἐργαζόμενοι πρὸς τὸ μὴ ἐπιβαρῆσαί τινα ὑμῶν·"
ἐφάγετε,ἐσθίω,aorist,active,indicative,second person,plural,John 6:26,"Ἀπεκρίθη αὐτοῖς ὁ Ἰησοῦς καὶ εἶπεν· ἀμὴν ἀμὴν λέγω ὑμῖν, ζητεῖτέ με οὐχ ὅτι εἴδετε σημεῖα, ἀλλʼ ὅτι",ἐκ τῶν ἄρτων καὶ ἐχορτάσθητε.
ἐσθιόντων,ἐσθίω,present,active,participle,—,plural,Matthew 26:21,καὶ,αὐτῶν εἶπεν· ἀμὴν λέγω ὑμῖν ὅτι εἷς ἐξ ὑμῶν παραδώσει με.
ἐσθιόντων,ἐσθίω,present,active,participle,—,plural,Mark 14:18,καὶ ἀνακειμένων αὐτῶν καὶ,ὁ Ἰησοῦς εἶπεν· ἀμὴν λέγω ὑμῖν ὅτι εἷς ἐξ ὑμῶν παραδώσει με ὁ ἐσθίων μετʼ ἐμοῦ.
ἐσθιόντων,ἐσθίω,present,active,participle,—,plural,Mark 14:22,Καὶ,"αὐτῶν λαβὼν  ἄρτον εὐλογήσας ἔκλασεν καὶ ἔδωκεν αὐτοῖς  καὶ εἶπεν· λάβετε , τοῦτό ἐστιν τὸ σῶμά μου."
ἐσθιέτω,ἐσθίω,present,active,imperative,third person,singular,1 Corinthians 11:28,δοκιμαζέτω δὲ ἄνθρωπος ἑαυτὸν καὶ οὕτως ἐκ τοῦ ἄρτου,καὶ ἐκ τοῦ ποτηρίου πινέτω·
ἐσθιέτω,ἐσθίω,present,active,imperative,third person,singular,1 Corinthians 11:34,"εἴ  τις πεινᾷ, ἐν οἴκῳ",", ἵνα μὴ εἰς κρίμα συνέρχησθε. τὰ δὲ λοιπὰ ὡς ἂν ἔλθω διατάξομαι."
ἐσθιέτω,ἐσθίω,present,active,imperative,third person,singular,2 Thessalonians 3:10,"καὶ γὰρ ὅτε ἦμεν πρὸς ὑμᾶς, τοῦτο παρηγγέλλομεν ὑμῖν, ὅτι εἴ τις οὐ θέλει ἐργάζεσθαι μηδὲ",.
ἐσθίῃ,ἐσθίω,present,active,subjunctive,third person,singular,Matthew 24:49,"καὶ ἄρξηται τύπτειν τοὺς συνδούλους αὐτοῦ,","δὲ καὶ πίνῃ μετὰ τῶν μεθυόντων,"
ἐσθίῃ,ἐσθίω,present,active,subjunctive,third person,singular,1 Corinthians 11:27,Ὥστε ὃς ἂν,"τὸν ἄρτον  ἢ πίνῃ τὸ ποτήριον τοῦ κυρίου ἀναξίως, ἔνοχος ἔσται τοῦ σώματος"
ἐσθίωσιν,ἐσθίω,present,active,subjunctive,third person,plural,2 Thessalonians 3:12,"τοῖς δὲ τοιούτοις παραγγέλλομεν καὶ παρακαλοῦμεν ἐν κυρίῳ Ἰησοῦ Χριστῷ, ἵνα μετὰ ἡσυχίας ἐργαζόμενοι τὸν ἑαυτῶν ἄρτον",.
ἐσθίωσιν,ἐσθίω,present,active,subjunctive,third person,plural,Matthew 15:2,διὰ τί οἱ μαθηταί σου παραβαίνουσιν τὴν παράδοσιν τῶν πρεσβυτέρων; οὐ γὰρ νίπτονται τὰς χεῖρας [αὐτῶν] ὅταν ἄρτον,.
ἐσθίων,ἐσθίω,present,active,participle,—,singular,Matthew 11:18,ἦλθεν γὰρ  Ἰωάννης μήτε,"μήτε πίνων, καὶ λέγουσιν· δαιμόνιον ἔχει."
ἐσθίων,ἐσθίω,present,active,participle,—,singular,Luke 7:33,ἐλήλυθεν γὰρ Ἰωάννης ὁ βαπτιστὴς μὴ,"ἄρτον μήτε πίνων οἶνον, καὶ λέγετε· δαιμόνιον ἔχει."
ἐσθίων,ἐσθίω,present,active,participle,—,singular,Matthew 11:19,ἦλθεν ὁ υἱὸς τοῦ ἀνθρώπου,"καὶ πίνων, καὶ λέγουσιν· ἰδοὺ ἄνθρωπος φάγος καὶ οἰνοπότης, τελωνῶν φίλος καὶ ἁμαρτωλῶν"
ἐσθίων,ἐσθίω,present,active,participle,—,singular,Mark 1:6,καὶ ἦν ὁ Ἰωάννης ἐνδεδυμένος τρίχας καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ καὶ,ἀκρίδας καὶ μέλι ἄγριον.
ἐσθίων,ἐσθίω,present,active,participle,—,singular,Mark 14:18,καὶ ἀνακειμένων αὐτῶν καὶ ἐσθιόντων ὁ Ἰησοῦς εἶπεν· ἀμὴν λέγω ὑμῖν ὅτι εἷς ἐξ ὑμῶν παραδώσει με ὁ,μετʼ ἐμοῦ.
ἐσθίων,ἐσθίω,present,active,participle,—,singular,Luke 7:34,ἐλήλυθεν ὁ υἱὸς τοῦ ἀνθρώπου,"καὶ πίνων, καὶ λέγετε· ἰδοὺ ἄνθρωπος φάγος καὶ οἰνοπότης, φίλος τελωνῶν καὶ ἁμαρτωλῶν."
