Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 18:22,λέγει αὐτῷ ὁ Ἰησοῦς· οὐ λέγω σοι ἕως ἑπτάκις ἀλλʼ ἕως ἑβδομηκοντάκις,.
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 22:26,ὁμοίως καὶ ὁ δεύτερος καὶ ὁ τρίτος ἕως τῶν,.
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 8:5,καὶ ἠρώτα αὐτούς· πόσους ἔχετε ἄρτους; οἱ δὲ εἶπαν·,.
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 8:20,"ὅτε τοὺς ἑπτὰ  εἰς τοὺς τετρακισχιλίους, πόσων σπυρίδων πληρώματα κλασμάτων ἤρατε; καὶ λέγουσιν [αὐτῷ]·",.
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 6:3,"ἐπισκέψασθε δέ, ἀδελφοί, ἄνδρας ἐξ ὑμῶν μαρτυρουμένους",", πλήρεις πνεύματος  καὶ σοφίας, οὓς καταστήσομεν ἐπὶ τῆς χρείας ταύτης,"
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 20:6,"ἤλθομεν πρὸς αὐτοὺς εἰς τὴν Τρῳάδα ἄχρι ἡμερῶν πέντε, ὅπου διετρίψαμεν ἡμέρας",.
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 21:4,ἀνευρόντες δὲ τοὺς μαθητὰς ἐπεμείναμεν αὐτοῦ ἡμέρας,", οἵτινες τῷ Παύλῳ ἔλεγον διὰ τοῦ πνεύματος μὴ ἐπιβαίνειν εἰς Ἱεροσόλυμα."
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 21:8,"τῇ δὲ ἐπαύριον ἐξελθόντες ἤλθομεν εἰς Καισάρειαν καὶ εἰσελθόντες εἰς τὸν οἶκον Φιλίππου τοῦ εὐαγγελιστοῦ, ὄντος ἐκ τῶν",", ἐμείναμεν παρʼ αὐτῷ."
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 28:14,οὗ εὑρόντες ἀδελφοὺς παρεκλήθημεν παρʼ αὐτοῖς ἐπιμεῖναι ἡμέρας,· καὶ οὕτως εἰς τὴν Ῥώμην ἤλθαμεν.
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 5:1,Καὶ εἶδον ἐπὶ τὴν δεξιὰν τοῦ καθημένου ἐπὶ τοῦ θρόνου βιβλίον γεγραμμένον ἔσωθεν καὶ ὄπισθεν κατεσφραγισμένον σφραγῖσιν,.
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 17:9,"κεφαλαὶ ἑπτὰ ὄρη εἰσίν, ὅπου ἡ γυνὴ κάθηται ἐπʼ αὐτῶν. καὶ βασιλεῖς",εἰσιν·
ἑπτά,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 17:11,καὶ τὸ θηρίον ὃ ἦν καὶ οὐκ ἔστιν καὶ αὐτὸς  ὄγδοός ἐστιν καὶ ἐκ τῶν,"ἐστιν, καὶ εἰς ἀπώλειαν ὑπάγει."
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 12:45,τότε πορεύεται καὶ παραλαμβάνει μεθʼ ἑαυτοῦ,ἕτερα πνεύματα πονηρότερα ἑαυτοῦ καὶ εἰσελθόντα κατοικεῖ ἐκεῖ· καὶ γίνεται τὰ ἔσχατα τοῦ
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 15:34,καὶ λέγει αὐτοῖς ὁ Ἰησοῦς· πόσους ἄρτους ἔχετε; οἱ δὲ εἶπαν·,καὶ ὀλίγα ἰχθύδια.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 15:36,ἔλαβεν τοὺς,"ἄρτους καὶ τοὺς ἰχθύας καὶ εὐχαριστήσας ἔκλασεν καὶ ἐδίδου τοῖς μαθηταῖς , οἱ δὲ μαθηταὶ τοῖς ὄχλοις."
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 15:37,καὶ ἔφαγον πάντες καὶ ἐχορτάσθησαν. καὶ τὸ περισσεῦον τῶν κλασμάτων ἦραν,σπυρίδας πλήρεις.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 16:10,οὐδὲ τοὺς,ἄρτους τῶν τετρακισχιλίων καὶ πόσας σπυρίδας ἐλάβετε;
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 22:25,ἦσαν δὲ παρʼ ἡμῖν,"ἀδελφοί· καὶ ὁ πρῶτος γήμας ἐτελεύτησεν, καὶ μὴ ἔχων σπέρμα ἀφῆκεν τὴν γυναῖκα αὐτοῦ τῷ ἀδελφῷ αὐτοῦ·"
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 22:28,ἐν τῇ ἀναστάσει οὖν τίνος τῶν,ἔσται γυνή; πάντες γὰρ ἔσχον αὐτήν·
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 8:6,καὶ παραγγέλλει τῷ ὄχλῳ ἀναπεσεῖν ἐπὶ τῆς γῆς· καὶ λαβὼν τοὺς,"ἄρτους εὐχαριστήσας ἔκλασεν καὶ ἐδίδου τοῖς μαθηταῖς αὐτοῦ ἵνα παρατιθῶσιν, καὶ παρέθηκαν τῷ ὄχλῳ."
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 8:8,"καὶ ἔφαγον καὶ ἐχορτάσθησαν, καὶ ἦραν περισσεύματα κλασμάτων",σπυρίδας.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 8:20,ὅτε τοὺς,"εἰς τοὺς τετρακισχιλίους, πόσων σπυρίδων πληρώματα κλασμάτων ἤρατε; καὶ λέγουσιν [αὐτῷ]· ἑπτά."
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 12:20,—,ἀδελφοὶ ἦσαν· καὶ ὁ πρῶτος ἔλαβεν γυναῖκα καὶ ἀποθνῄσκων οὐκ ἀφῆκεν σπέρμα·
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 12:22,καὶ οἱ,οὐκ ἀφῆκαν σπέρμα. ἔσχατον πάντων καὶ ἡ γυνὴ ἀπέθανεν.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 12:23,ἐν τῇ ἀναστάσει [ὅταν ἀναστῶσιν] τίνος αὐτῶν ἔσται γυνή; οἱ γὰρ,ἔσχον αὐτὴν γυναῖκα.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 16:9,"Ἀναστὰς δὲ πρωῒ πρώτῃ σαββάτου ἐφάνη πρῶτον Μαρίᾳ τῇ Μαγδαληνῇ, παρʼ ἧς ἐκβεβλήκει",δαιμόνια.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 2:36,"Καὶ ἦν Ἅννα προφῆτις, θυγάτηρ Φανουήλ, ἐκ φυλῆς Ἀσήρ· αὕτη προβεβηκυῖα ἐν ἡμέραις πολλαῖς, ζήσασα μετὰ ἀνδρὸς ἔτη",ἀπὸ τῆς παρθενίας αὐτῆς
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 8:2,"καὶ γυναῖκές τινες αἳ ἦσαν τεθεραπευμέναι ἀπὸ πνευμάτων πονηρῶν καὶ ἀσθενειῶν, Μαρία ἡ καλουμένη Μαγδαληνή, ἀφʼ ἧς δαιμόνια","ἐξεληλύθει,"
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 11:26,τότε πορεύεται καὶ παραλαμβάνει ἕτερα πνεύματα πονηρότερα ἑαυτοῦ,καὶ εἰσελθόντα κατοικεῖ ἐκεῖ· καὶ γίνεται τὰ ἔσχατα τοῦ ἀνθρώπου ἐκείνου χείρονα τῶν πρώτων.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 20:29,—,οὖν ἀδελφοὶ ἦσαν· καὶ ὁ πρῶτος λαβὼν γυναῖκα ἀπέθανεν ἄτεκνος·
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 20:31,"καὶ ὁ τρίτος ἔλαβεν αὐτήν, ὡσαύτως δὲ καὶ οἱ",οὐ κατέλιπον τέκνα καὶ ἀπέθανον.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 20:33,ἡ γυνὴ οὖν ἐν τῇ ἀναστάσει τίνος αὐτῶν γίνεται γυνή; οἱ γὰρ,ἔσχον αὐτὴν γυναῖκα.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 13:19,καὶ καθελὼν ἔθνη,ἐν γῇ Χανάαν κατεκληρονόμησεν τὴν γῆν αὐτῶν
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 19:14,ἦσαν δέ τινος Σκευᾶ Ἰουδαίου ἀρχιερέως,υἱοὶ τοῦτο ποιοῦντες.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 21:27,Ὡς δὲ ἔμελλον αἱ,"ἡμέραι συντελεῖσθαι, οἱ  ἀπὸ τῆς Ἀσίας Ἰουδαῖοι  θεασάμενοι αὐτὸν ἐν τῷ ἱερῷ συνέχεον"
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Hebrews 11:30,Πίστει τὰ τείχη Ἰεριχὼ ἔπεσαν κυκλωθέντα ἐπὶ,ἡμέρας.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:4,Ἰωάννης ταῖς,ἐκκλησίαις ταῖς ἐν τῇ Ἀσίᾳ· χάρις ὑμῖν καὶ εἰρήνη ἀπὸ  ὁ ὢν καὶ
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:4,ἀπὸ  ὁ ὢν καὶ ὁ ἦν καὶ ὁ ἐρχόμενος καὶ ἀπὸ τῶν,πνευμάτων ἃ ἐνώπιον τοῦ θρόνου αὐτοῦ
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:11,λεγούσης·  ὃ βλέπεις γράψον εἰς βιβλίον καὶ πέμψον ταῖς,"ἐκκλησίαις, εἰς Ἔφεσον καὶ εἰς Σμύρναν καὶ εἰς Πέργαμον καὶ εἰς Θυάτειρα καὶ"
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:12,"Καὶ  ἐπέστρεψα βλέπειν τὴν φωνὴν ἥτις ἐλάλει μετʼ ἐμοῦ, καὶ ἐπιστρέψας εἶδον",λυχνίας χρυσᾶς
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:16,καὶ ἔχων ἐν τῇ δεξιᾷ χειρὶ αὐτοῦ ἀστέρας,καὶ ἐκ τοῦ στόματος αὐτοῦ ῥομφαία δίστομος ὀξεῖα ἐκπορευομένη καὶ ἡ ὄψις αὐτοῦ
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:20,τὸ μυστήριον τῶν,ἀστέρων οὓς εἶδες ἐπὶ τῆς δεξιᾶς μου καὶ τὰς ἑπτὰ λυχνίας τὰς χρυσᾶς
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:20,τὸ μυστήριον τῶν ἑπτὰ ἀστέρων οὓς εἶδες ἐπὶ τῆς δεξιᾶς μου καὶ τὰς,λυχνίας τὰς χρυσᾶς· οἱ ἑπτὰ ἀστέρες ἄγγελοι τῶν ἑπτὰ ἐκκλησιῶν εἰσιν καὶ αἱ
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:20,τὸ μυστήριον τῶν ἑπτὰ ἀστέρων οὓς εἶδες ἐπὶ τῆς δεξιᾶς μου καὶ τὰς ἑπτὰ λυχνίας τὰς χρυσᾶς· οἱ,ἀστέρες ἄγγελοι τῶν ἑπτὰ ἐκκλησιῶν εἰσιν καὶ αἱ λυχνίαι αἱ ἑπτὰ ἑπτὰ ἐκκλησίαι εἰσίν.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:20,μου καὶ τὰς ἑπτὰ λυχνίας τὰς χρυσᾶς· οἱ ἑπτὰ ἀστέρες ἄγγελοι τῶν,ἐκκλησιῶν εἰσιν καὶ αἱ λυχνίαι αἱ ἑπτὰ ἑπτὰ ἐκκλησίαι εἰσίν.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:20,οἱ ἑπτὰ ἀστέρες ἄγγελοι τῶν ἑπτὰ ἐκκλησιῶν εἰσιν καὶ αἱ λυχνίαι αἱ,ἑπτὰ ἐκκλησίαι εἰσίν.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 1:20,ἑπτὰ ἀστέρες ἄγγελοι τῶν ἑπτὰ ἐκκλησιῶν εἰσιν καὶ αἱ λυχνίαι αἱ ἑπτὰ,ἐκκλησίαι εἰσίν.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 2:1,Τῷ ἀγγέλῳ τῆς ἐν Ἐφέσῳ ἐκκλησίας γράψον·  Τάδε λέγει ὁ κρατῶν τοὺς,"ἀστέρας ἐν τῇ δεξιᾷ αὐτοῦ, ὁ περιπατῶν ἐν μέσῳ τῶν ἑπτὰ λυχνιῶν τῶν χρυσῶν·"
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 2:1,"τοὺς ἑπτὰ ἀστέρας ἐν τῇ δεξιᾷ αὐτοῦ, ὁ περιπατῶν ἐν μέσῳ τῶν",λυχνιῶν τῶν χρυσῶν·
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 3:1,Καὶ τῷ ἀγγέλῳ τῆς ἐν Σάρδεσιν ἐκκλησίας γράψον·  Τάδε λέγει ὁ ἔχων τὰ,πνεύματα τοῦ θεοῦ καὶ τοὺς ἑπτὰ ἀστέρας· οἶδά σου τὰ ἔργα ὅτι ὄνομα
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 3:1,γράψον·  Τάδε λέγει ὁ ἔχων τὰ ἑπτὰ πνεύματα τοῦ θεοῦ καὶ τοὺς,"ἀστέρας· οἶδά σου τὰ ἔργα ὅτι ὄνομα ἔχεις ὅτι ζῇς, καὶ νεκρὸς εἶ."
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 4:5,"Καὶ ἐκ τοῦ θρόνου ἐκπορεύονται ἀστραπαὶ καὶ φωναὶ καὶ βρονταί, καὶ","λαμπάδες πυρὸς καιόμεναι ἐνώπιον τοῦ θρόνου, ἅ εἰσιν τὰ ἑπτὰ πνεύματα τοῦ θεοῦ,"
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 4:5,"βρονταί, καὶ ἑπτὰ λαμπάδες πυρὸς καιόμεναι ἐνώπιον τοῦ θρόνου, ἅ εἰσιν τὰ","πνεύματα τοῦ θεοῦ,"
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 5:5,"ἐκ τῆς φυλῆς Ἰούδα, ἡ ῥίζα Δαυίδ, ἀνοῖξαι τὸ βιβλίον καὶ  τὰς",σφραγῖδας αὐτοῦ.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 5:6,ζῴων καὶ ἐν μέσῳ τῶν πρεσβυτέρων ἀρνίον ἑστηκὸς ὡς ἐσφαγμένον ἔχων κέρατα,καὶ ὀφθαλμοὺς ἑπτὰ οἵ εἰσιν τὰ [ἑπτὰ] πνεύματα τοῦ θεοῦ ἀπεσταλμένοι εἰς πᾶσαν τὴν γῆν.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 5:6,μέσῳ τῶν πρεσβυτέρων ἀρνίον ἑστηκὸς ὡς ἐσφαγμένον ἔχων κέρατα ἑπτὰ καὶ ὀφθαλμοὺς,οἵ εἰσιν τὰ [ἑπτὰ] πνεύματα τοῦ θεοῦ ἀπεσταλμένοι εἰς πᾶσαν τὴν γῆν.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 5:6,ἑστηκὸς ὡς ἐσφαγμένον ἔχων κέρατα ἑπτὰ καὶ ὀφθαλμοὺς ἑπτὰ οἵ εἰσιν τὰ [,] πνεύματα τοῦ θεοῦ ἀπεσταλμένοι εἰς πᾶσαν τὴν γῆν.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 6:1,Καὶ εἶδον ὅτε ἤνοιξεν τὸ ἀρνίον μίαν ἐκ τῶν,"σφραγίδων, καὶ ἤκουσα ἑνὸς ἐκ τῶν τεσσάρων ζῴων λέγοντος ὡς φωνὴ βροντῆς· ἔρχου."
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 8:2,Καὶ εἶδον τοὺς,"ἀγγέλους οἳ ἐνώπιον τοῦ θεοῦ ἑστήκασιν, καὶ ἐδόθησαν αὐτοῖς ἑπτὰ σάλπιγγες."
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 8:2,"Καὶ εἶδον τοὺς ἑπτὰ ἀγγέλους οἳ ἐνώπιον τοῦ θεοῦ ἑστήκασιν, καὶ ἐδόθησαν αὐτοῖς",σάλπιγγες.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 8:6,Καὶ οἱ,ἄγγελοι οἱ ἔχοντες τὰς ἑπτὰ σάλπιγγας ἡτοίμασαν αὐτοὺς ἵνα σαλπίσωσιν.  Καὶ
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 8:6,Καὶ οἱ ἑπτὰ ἄγγελοι οἱ ἔχοντες τὰς,σάλπιγγας ἡτοίμασαν αὐτοὺς ἵνα σαλπίσωσιν.  Καὶ
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 10:3,"καὶ ἔκραξεν φωνῇ μεγάλῃ ὥσπερ λέων μυκᾶται. καὶ ὅτε ἔκραξεν, ἐλάλησαν αἱ",βρονταὶ τὰς ἑαυτῶν φωνάς.
ἑπτὰ,ἑπτά,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 10:4,καὶ ὅτε ἐλάλησαν αἱ,"βρονταί, ἤμελλον γράφειν, καὶ ἤκουσα φωνὴν ἐκ τοῦ οὐρανοῦ λέγουσαν· σφράγισον ἃ ἐλάλησαν"
