Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐρήμοις,ἔρημος,—,—,—,—,feminine,dative,plural,adjective,Luke 1:80,"Τὸ δὲ παιδίον ηὔξανεν καὶ ἐκραταιοῦτο πνεύματι, καὶ ἦν ἐν ταῖς",ἕως ἡμέρας ἀναδείξεως αὐτοῦ πρὸς τὸν Ἰσραήλ.
ἐρήμοις,ἔρημος,—,—,—,—,feminine,dative,plural,adjective,Luke 5:16,αὐτὸς δὲ ἦν ὑποχωρῶν ἐν ταῖς,καὶ προσευχόμενος.
ἐρήμοις,ἔρημος,—,—,—,—,masculine,dative,plural,adjective,Mark 1:45,"λόγον, ὥστε μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν, ἀλλʼ ἔξω ἐπʼ",τόποις ἦν· καὶ ἤρχοντο πρὸς αὐτὸν πάντοθεν.
ἐρήμου,ἔρημος,—,—,—,—,feminine,genitive,singular,adjective,John 11:54,"Ὁ οὖν Ἰησοῦς οὐκέτι παρρησίᾳ περιεπάτει ἐν τοῖς Ἰουδαίοις, ἀλλʼ ἀπῆλθεν ἐκεῖθεν εἰς τὴν χώραν  ἐγγὺς τῆς",", εἰς Ἐφραὶμ λεγομένην πόλιν, κἀκεῖ ἔμεινεν μετὰ τῶν μαθητῶν."
ἐρήμου,ἔρημος,—,—,—,—,feminine,genitive,singular,adjective,Galatians 4:27,"γέγραπται γάρ·           εὐφράνθητι, στεῖρα ἡ οὐ τίκτουσα,             ῥῆξον καὶ βόησον, ἡ οὐκ ὠδίνουσα·           ὅτι πολλὰ τὰ τέκνα τῆς",μᾶλλον ἢ τῆς ἐχούσης τὸν ἄνδρα.
ἐρήμους,ἔρημος,—,—,—,—,feminine,accusative,plural,adjective,Luke 8:29,πέδαις φυλασσόμενος καὶ διαρρήσσων τὰ δεσμὰ ἠλαύνετο ὑπὸ τοῦ δαιμονίου εἰς τὰς,.
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Matthew 3:1,Ἐν δὲ ταῖς ἡμέραις ἐκείναις παραγίνεται Ἰωάννης ὁ βαπτιστὴς κηρύσσων ἐν τῇ,τῆς Ἰουδαίας
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Matthew 3:3,οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·        φωνὴ βοῶντος ἐν τῇ,"·        ἑτοιμάσατε τὴν ὁδὸν κυρίου,           εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ."
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Matthew 24:26,ἐὰν οὖν εἴπωσιν ὑμῖν· ἰδοὺ ἐν τῇ,"ἐστίν, μὴ ἐξέλθητε· ἰδοὺ ἐν τοῖς ταμείοις, μὴ πιστεύσητε·"
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Mark 1:3,φωνὴ βοῶντος ἐν τῇ,"·      ἑτοιμάσατε τὴν ὁδὸν κυρίου,      εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ,"
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Mark 1:4,ἐγένετο Ἰωάννης [ὁ] βαπτίζων ἐν τῇ,καὶ κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν.
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Mark 1:13,καὶ ἦν ἐν τῇ,"τεσσεράκοντα ἡμέρας πειραζόμενος ὑπὸ τοῦ σατανᾶ, καὶ ἦν μετὰ τῶν θηρίων, καὶ οἱ ἄγγελοι διηκόνουν αὐτῷ."
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Luke 3:2,"ἐπὶ ἀρχιερέως Ἅννα καὶ Καϊάφα, ἐγένετο ῥῆμα θεοῦ ἐπὶ Ἰωάννην τὸν Ζαχαρίου υἱὸν ἐν τῇ",.
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Luke 3:4,ὡς γέγραπται ἐν βίβλῳ λόγων Ἠσαΐου τοῦ προφήτου·           φωνὴ βοῶντος ἐν τῇ,"·        ἑτοιμάσατε τὴν ὁδὸν κυρίου,           εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ·"
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Luke 4:1,Ἰησοῦς δὲ πλήρης πνεύματος ἁγίου ὑπέστρεψεν ἀπὸ τοῦ Ἰορδάνου καὶ ἤγετο ἐν τῷ πνεύματι ἐν τῇ,⸃
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Luke 15:4,καὶ ἀπολέσας ἐξ αὐτῶν ἓν οὐ καταλείπει τὰ ἐνενήκοντα ἐννέα ἐν τῇ,καὶ πορεύεται ἐπὶ τὸ ἀπολωλὸς ἕως  εὕρῃ αὐτό;
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,John 1:23,ἔφη·        ἐγὼ φωνὴ βοῶντος ἐν τῇ,"·           εὐθύνατε τὴν ὁδὸν κυρίου,  καθὼς εἶπεν Ἠσαΐας ὁ προφήτης."
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,John 3:14,Καὶ καθὼς Μωϋσῆς ὕψωσεν τὸν ὄφιν ἐν τῇ,", οὕτως ὑψωθῆναι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου,"
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,John 6:31,οἱ πατέρες ἡμῶν τὸ μάννα ἔφαγον ἐν τῇ,", καθώς ἐστιν γεγραμμένον· ἄρτον ἐκ τοῦ οὐρανοῦ ἔδωκεν αὐτοῖς φαγεῖν."
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,John 6:49,οἱ πατέρες ὑμῶν ἔφαγον ἐν τῇ,τὸ μάννα καὶ ἀπέθανον·
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Acts 7:30,Καὶ πληρωθέντων ἐτῶν τεσσεράκοντα ὤφθη αὐτῷ ἐν τῇ,τοῦ ὄρους Σινᾶ ἄγγελος  ἐν φλογὶ πυρὸς βάτου.
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Acts 7:36,οὗτος ἐξήγαγεν αὐτοὺς ποιήσας τέρατα καὶ σημεῖα ἐν γῇ Αἰγύπτῳ καὶ ἐν ἐρυθρᾷ θαλάσσῃ καὶ ἐν τῇ,ἔτη τεσσεράκοντα.
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Acts 7:38,οὗτός ἐστιν ὁ γενόμενος ἐν τῇ ἐκκλησίᾳ ἐν τῇ,μετὰ τοῦ ἀγγέλου τοῦ λαλοῦντος αὐτῷ ἐν τῷ ὄρει Σινᾶ καὶ τῶν πατέρων
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Acts 7:42,τῶν προφητῶν·      μὴ σφάγια καὶ θυσίας προσηνέγκατέ μοι        ἔτη τεσσεράκοντα ἐν τῇ,", οἶκος Ἰσραήλ;"
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Acts 7:44,Ἡ σκηνὴ τοῦ μαρτυρίου ἦν τοῖς πατράσιν ἡμῶν ἐν τῇ,καθὼς διετάξατο ὁ λαλῶν τῷ Μωϋσῇ ποιῆσαι αὐτὴν κατὰ τὸν τύπον ὃν ἑωράκει·
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Acts 13:18,καὶ ὡς τεσσερακονταετῆ χρόνον ἐτροποφόρησεν αὐτοὺς ἐν τῇ,*
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,1 Corinthians 10:5,"Ἀλλʼ οὐκ ἐν τοῖς πλείοσιν αὐτῶν εὐδόκησεν ὁ θεός, κατεστρώθησαν γὰρ ἐν τῇ",.
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Hebrews 3:8,μὴ σκληρύνητε τὰς καρδίας ὑμῶν ὡς ἐν τῷ παραπικρασμῷ           κατὰ τὴν ἡμέραν τοῦ πειρασμοῦ ἐν τῇ,","
ἐρήμῳ,ἔρημος,—,—,—,—,feminine,dative,singular,adjective,Hebrews 3:17,"τίσιν δὲ  προσώχθισεν τεσσεράκοντα ἔτη; οὐχὶ τοῖς ἁμαρτήσασιν, ὧν τὰ κῶλα ἔπεσεν ἐν τῇ",;
ἐρήμῳ,ἔρημος,—,—,—,—,masculine,dative,singular,adjective,Luke 9:12,"τὰς κύκλῳ κώμας καὶ  ἀγροὺς καταλύσωσιν καὶ εὕρωσιν ἐπισιτισμόν, ὅτι ὧδε ἐν",τόπῳ ἐσμέν.
ἔρημον,ἔρημος,—,—,—,—,feminine,accusative,singular,adjective,Matthew 4:1,Τότε ὁ Ἰησοῦς ἀνήχθη εἰς τὴν,ὑπὸ τοῦ πνεύματος πειρασθῆναι ὑπὸ τοῦ διαβόλου.
ἔρημον,ἔρημος,—,—,—,—,feminine,accusative,singular,adjective,Matthew 11:7,Τούτων δὲ πορευομένων ἤρξατο ὁ Ἰησοῦς λέγειν τοῖς ὄχλοις περὶ Ἰωάννου· τί ἐξήλθατε εἰς τὴν,θεάσασθαι; κάλαμον ὑπὸ ἀνέμου σαλευόμενον;
ἔρημον,ἔρημος,—,—,—,—,masculine,accusative,singular,adjective,Matthew 14:13,Ἀκούσας δὲ ὁ Ἰησοῦς ἀνεχώρησεν ἐκεῖθεν ἐν πλοίῳ εἰς,τόπον κατʼ ἰδίαν· καὶ ἀκούσαντες οἱ ὄχλοι ἠκολούθησαν αὐτῷ πεζῇ ἀπὸ τῶν πόλεων.
ἔρημον,ἔρημος,—,—,—,—,feminine,accusative,singular,adjective,Mark 1:12,Καὶ εὐθὺς τὸ πνεῦμα αὐτὸν ἐκβάλλει εἰς τὴν,.
ἔρημον,ἔρημος,—,—,—,—,feminine,accusative,singular,adjective,Luke 7:24,Ἀπελθόντων δὲ τῶν ἀγγέλων Ἰωάννου ἤρξατο λέγειν πρὸς τοὺς ὄχλους περὶ Ἰωάννου· τί ἐξήλθατε εἰς τὴν,θεάσασθαι; κάλαμον ὑπὸ ἀνέμου σαλευόμενον;
ἔρημον,ἔρημος,—,—,—,—,feminine,accusative,singular,adjective,Acts 21:38,οὐκ ἄρα σὺ εἶ ὁ Αἰγύπτιος ὁ πρὸ τούτων τῶν ἡμερῶν ἀναστατώσας καὶ ἐξαγαγὼν εἰς τὴν,τοὺς τετρακισχιλίους ἄνδρας τῶν σικαρίων;
ἔρημον,ἔρημος,—,—,—,—,feminine,accusative,singular,adjective,Revelation 12:6,καὶ ἡ γυνὴ ἔφυγεν εἰς τὴν,", ὅπου ἔχει ἐκεῖ τόπον ἡτοιμασμένον ἀπὸ τοῦ θεοῦ, ἵνα ἐκεῖ τρέφωσιν αὐτὴν ἡμέρας χιλίας διακοσίας ἑξήκοντα.  Καὶ"
ἔρημον,ἔρημος,—,—,—,—,feminine,accusative,singular,adjective,Revelation 12:14,"καὶ ἐδόθησαν τῇ γυναικὶ αἱ δύο πτέρυγες τοῦ ἀετοῦ τοῦ μεγάλου, ἵνα πέτηται εἰς τὴν","εἰς τὸν τόπον αὐτῆς, ὅπου τρέφεται ἐκεῖ καιρὸν καὶ καιροὺς καὶ ἥμισυ καιροῦ ἀπὸ προσώπου τοῦ ὄφεως."
ἔρημον,ἔρημος,—,—,—,—,masculine,accusative,singular,adjective,Mark 1:35,Καὶ πρωῒ ἔννυχα λίαν ἀναστὰς ἐξῆλθεν καὶ ἀπῆλθεν εἰς,τόπον κἀκεῖ προσηύχετο.
