Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
Ἦλθον,ἔρχομαι,aorist,active,indicative,third person,plural,John 7:45,—,"οὖν οἱ ὑπηρέται πρὸς τοὺς ἀρχιερεῖς καὶ Φαρισαίους, καὶ εἶπον αὐτοῖς ἐκεῖνοι· διὰ τί οὐκ ἠγάγετε αὐτόν;"
Ἦλθεν,ἔρχομαι,aorist,active,indicative,third person,singular,Luke 22:7,—,"δὲ ἡ ἡμέρα τῶν ἀζύμων, [ἐν] ᾗ ἔδει θύεσθαι τὸ πάσχα·"
Ἦλθεν,ἔρχομαι,aorist,active,indicative,third person,singular,John 4:46,—,"οὖν πάλιν  εἰς τὴν Κανὰ τῆς Γαλιλαίας, ὅπου ἐποίησεν τὸ ὕδωρ οἶνον.  Καὶ"
ἦλθον,ἔρχομαι,aorist,active,indicative,first person,singular,Matthew 5:17,Μὴ νομίσητε ὅτι,καταλῦσαι τὸν νόμον ἢ τοὺς προφήτας· οὐκ ἦλθον καταλῦσαι ἀλλὰ πληρῶσαι.
ἦλθον,ἔρχομαι,aorist,active,indicative,first person,singular,Matthew 5:17,Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον ἢ τοὺς προφήτας· οὐκ,καταλῦσαι ἀλλὰ πληρῶσαι.
ἦλθον,ἔρχομαι,aorist,active,indicative,third person,plural,Matthew 7:25,καὶ κατέβη ἡ βροχὴ καὶ,οἱ ποταμοὶ καὶ ἔπνευσαν οἱ ἄνεμοι καὶ προσέπεσαν τῇ οἰκίᾳ ἐκείνῃ καὶ οὐκ
ἦλθον,ἔρχομαι,aorist,active,indicative,third person,plural,Matthew 7:27,καὶ κατέβη ἡ βροχὴ καὶ,"οἱ ποταμοὶ καὶ ἔπνευσαν οἱ ἄνεμοι καὶ προσέκοψαν τῇ οἰκίᾳ ἐκείνῃ, καὶ ἔπεσεν"
ἦλθον,ἔρχομαι,aorist,active,indicative,first person,singular,Matthew 9:13,πορευθέντες δὲ μάθετε τί ἐστιν· ἔλεος θέλω καὶ οὐ θυσίαν· οὐ γὰρ,καλέσαι δικαίους ἀλλʼ ἁμαρτωλούς.
ἦλθον,ἔρχομαι,aorist,active,indicative,first person,singular,Matthew 10:34,Μὴ νομίσητε ὅτι,βαλεῖν εἰρήνην ἐπὶ τὴν γῆν· οὐκ ἦλθον βαλεῖν εἰρήνην ἀλλὰ μάχαιραν.
ἦλθον,ἔρχομαι,aorist,active,indicative,first person,singular,Matthew 10:34,Μὴ νομίσητε ὅτι ἦλθον βαλεῖν εἰρήνην ἐπὶ τὴν γῆν· οὐκ,βαλεῖν εἰρήνην ἀλλὰ μάχαιραν.
ἦλθον,ἔρχομαι,aorist,active,indicative,first person,singular,Matthew 10:35,—,γὰρ διχάσαι ἄνθρωπον κατὰ τοῦ πατρὸς αὐτοῦ καὶ θυγατέρα κατὰ τῆς μητρὸς αὐτῆς
ἦλθον,ἔρχομαι,aorist,active,indicative,third person,plural,Matthew 14:34,Καὶ διαπεράσαντες,ἐπὶ τὴν γῆν εἰς Γεννησαρέτ.
ἦλθον,ἔρχομαι,aorist,active,indicative,third person,plural,Matthew 21:1,Καὶ ὅτε ἤγγισαν εἰς Ἱεροσόλυμα καὶ,"εἰς Βηθφαγὴ εἰς τὸ ὄρος τῶν ἐλαιῶν, τότε Ἰησοῦς ἀπέστειλεν δύο μαθητὰς"
ἦλθον,ἔρχομαι,aorist,active,indicative,third person,plural,Mark 1:29,Καὶ εὐθὺς ἐκ τῆς συναγωγῆς ἐξελθόντες,εἰς τὴν οἰκίαν Σίμωνος καὶ Ἀνδρέου μετὰ Ἰακώβου καὶ Ἰωάννου.
ἦλθον,ἔρχομαι,aorist,active,indicative,first person,singular,Mark 2:17,καὶ ἀκούσας ὁ Ἰησοῦς λέγει αὐτοῖς [ὅτι] οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ ἀλλʼ οἱ κακῶς ἔχοντες· οὐκ,καλέσαι δικαίους ἀλλʼ ἁμαρτωλούς.
ἦλθον,ἔρχομαι,aorist,active,indicative,third person,plural,Mark 3:8,τοῦ Ἰορδάνου καὶ  περὶ Τύρον καὶ Σιδῶνα πλῆθος πολὺ ἀκούοντες ὅσα ἐποίει,πρὸς αὐτόν.
ἦλθον,ἔρχομαι,aorist,active,indicative,third person,plural,Mark 5:1,Καὶ,εἰς τὸ πέραν τῆς θαλάσσης εἰς τὴν χώραν τῶν Γερασηνῶν.
