Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐσχάταις,ἔσχατος,—,—,—,—,feminine,dative,plural,adjective,Acts 2:17,καὶ ἔσται ἐν ταῖς,"ἡμέραις, λέγει ὁ θεός,      ἐκχεῶ ἀπὸ τοῦ πνεύματός μου ἐπὶ πᾶσαν σάρκα,        καὶ"
ἐσχάταις,ἔσχατος,—,—,—,—,feminine,dative,plural,adjective,2 Timothy 3:1,"Τοῦτο δὲ γίνωσκε, ὅτι ἐν",ἡμέραις ἐνστήσονται καιροὶ χαλεποί·
ἐσχάταις,ἔσχατος,—,—,—,—,feminine,dative,plural,adjective,James 5:3,μαρτύριον ὑμῖν ἔσται καὶ φάγεται τὰς σάρκας ὑμῶν  ὡς πῦρ. ἐθησαυρίσατε ἐν,ἡμέραις.
ἐσχάτας,ἔσχατος,—,—,—,—,feminine,accusative,plural,adjective,Revelation 15:1,"Καὶ εἶδον ἄλλο σημεῖον ἐν τῷ οὐρανῷ μέγα καὶ θαυμαστόν, ἀγγέλους ἑπτὰ ἔχοντας πληγὰς ἑπτὰ τὰς",", ὅτι ἐν αὐταῖς ἐτελέσθη ὁ θυμὸς τοῦ θεοῦ."
ἐσχάτη,ἔσχατος,—,—,—,—,feminine,nominative,singular,adjective,Matthew 27:64,"αὐτὸν καὶ εἴπωσιν τῷ λαῷ· ἠγέρθη ἀπὸ τῶν νεκρῶν, καὶ ἔσται ἡ",πλάνη χείρων τῆς πρώτης.
ἐσχάτη,ἔσχατος,—,—,—,—,feminine,nominative,singular,adjective,1 John 2:18,"Παιδία,","ὥρα ἐστίν, καὶ καθὼς ἠκούσατε ὅτι ἀντίχριστος ἔρχεται, καὶ νῦν ἀντίχριστοι πολλοὶ γεγόνασιν"
ἐσχάτη,ἔσχατος,—,—,—,—,feminine,nominative,singular,adjective,1 John 2:18,"Παιδία, ἐσχάτη ὥρα ἐστίν, καὶ καθὼς ἠκούσατε ὅτι ἀντίχριστος ἔρχεται, καὶ νῦν ἀντίχριστοι πολλοὶ γεγόνασιν, ὅθεν γινώσκομεν ὅτι",ὥρα ἐστίν.
ἐσχάτου,ἔσχατος,—,—,—,—,neuter,genitive,singular,adjective,Acts 13:47,οὕτως γὰρ ἐντέταλται ἡμῖν ὁ κύριος·      τέθεικά σε εἰς φῶς ἐθνῶν        τοῦ εἶναί σε εἰς σωτηρίαν ἕως,τῆς γῆς.
ἐσχάτου,ἔσχατος,—,—,—,—,masculine,genitive,singular,adjective,1 Peter 1:20,"προεγνωσμένου μὲν πρὸ καταβολῆς κόσμου, φανερωθέντος δὲ ἐπʼ",τῶν χρόνων διʼ ὑμᾶς
ἐσχάτου,ἔσχατος,—,—,—,—,masculine,genitive,singular,adjective,Jude 18,ὅτι ἔλεγον ὑμῖν ἐπʼ,χρόνου ἔσονται ἐμπαῖκται κατὰ τὰς ἑαυτῶν ἐπιθυμίας πορευόμενοι τῶν ἀσεβειῶν.
ἐσχάτους,ἔσχατος,—,—,—,—,masculine,accusative,plural,adjective,1 Corinthians 4:9,"δοκῶ γάρ,  ὁ θεὸς ἡμᾶς τοὺς ἀποστόλους","ἀπέδειξεν ὡς ἐπιθανατίους, ὅτι θέατρον ἐγενήθημεν τῷ κόσμῳ καὶ ἀγγέλοις καὶ ἀνθρώποις."
ἐσχάτου,ἔσχατος,—,—,—,—,"neuter, masculine",genitive,singular,adjective,Acts 1:8,ἔν τε Ἰερουσαλὴμ καὶ [ἐν] πάσῃ τῇ Ἰουδαίᾳ καὶ Σαμαρείᾳ καὶ ἕως,τῆς γῆς.
ἐσχάτου,ἔσχατος,—,—,—,—,"neuter, masculine",genitive,singular,adjective,Hebrews 1:2,ἐπʼ,"τῶν ἡμερῶν τούτων ἐλάλησεν ἡμῖν ἐν υἱῷ, ὃν ἔθηκεν κληρονόμον πάντων, διʼ οὗ καὶ ἐποίησεν τοὺς αἰῶνας·"
ἐσχάτων,ἔσχατος,—,—,—,—,masculine,genitive,plural,adjective,Matthew 20:8,αὐτοῦ· κάλεσον τοὺς ἐργάτας καὶ ἀπόδος αὐτοῖς τὸν μισθὸν ἀρξάμενος ἀπὸ τῶν,ἕως τῶν πρώτων.
