Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
Ἔχοντες,ἔχω,present,active,participle,—,plural,2 Corinthians 3:12,—,οὖν τοιαύτην ἐλπίδα πολλῇ παρρησίᾳ χρώμεθα
Ἔχοντες,ἔχω,present,active,participle,—,plural,2 Corinthians 4:13,—,"δὲ τὸ αὐτὸ πνεῦμα τῆς πίστεως κατὰ τὸ γεγραμμένον· ἐπίστευσα, διὸ  ἐλάλησα, καὶ"
Ἔχοντες,ἔχω,present,active,participle,—,plural,Hebrews 4:14,—,"οὖν ἀρχιερέα μέγαν διεληλυθότα τοὺς οὐρανούς, Ἰησοῦν τὸν υἱὸν τοῦ θεοῦ, κρατῶμεν τῆς ὁμολογίας."
Ἔχοντες,ἔχω,present,active,participle,—,plural,Hebrews 10:19,—,"οὖν, ἀδελφοί, παρρησίαν εἰς τὴν εἴσοδον τῶν ἁγίων ἐν τῷ αἵματι Ἰησοῦ,"
Ἔχομεν,ἔχω,present,active,indicative,first person,plural,2 Corinthians 4:7,—,"δὲ τὸν θησαυρὸν τοῦτον ἐν ὀστρακίνοις σκεύεσιν, ἵνα ἡ ὑπερβολὴ τῆς δυνάμεως ᾖ"
ἕξουσιν,ἔχω,future,active,indicative,third person,plural,Mark 16:18,"τι πίωσιν οὐ μὴ αὐτοὺς βλάψῃ, ἐπὶ ἀρρώστους χεῖρας ἐπιθήσουσιν καὶ καλῶς",.
ἕξουσιν,ἔχω,future,active,indicative,third person,plural,1 Corinthians 7:28,"ἐὰν δὲ καὶ γαμήσῃς, οὐχ ἥμαρτες, καὶ ἐὰν γήμῃ ἡ παρθένος, οὐχ ἥμαρτεν· θλῖψιν δὲ τῇ σαρκὶ","οἱ τοιοῦτοι, ἐγὼ δὲ ὑμῶν φείδομαι."
ἕξετε,ἔχω,future,active,indicative,second person,plural,Revelation 2:10,μηδὲν φοβοῦ ἃ μέλλεις πάσχειν. ἰδοὺ  μέλλει βάλλειν ὁ διάβολος ἐξ ὑμῶν εἰς φυλακὴν ἵνα πειρασθῆτε καὶ,"θλῖψιν ἡμερῶν δέκα. γίνου πιστὸς ἄχρι θανάτου, καὶ δώσω σοι τὸν στέφανον τῆς ζωῆς."
ἕξει,ἔχω,future,active,indicative,third person,singular,Matthew 1:23,ἰδοὺ ἡ παρθένος ἐν γαστρὶ,"καὶ τέξεται υἱόν,        καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ,  ὅ ἐστιν μεθερμηνευόμενον μεθʼ ἡμῶν ὁ θεός."
ἕξεις,ἔχω,future,active,indicative,second person,singular,Matthew 19:21,"ἔφη αὐτῷ ὁ Ἰησοῦς· εἰ θέλεις τέλειος εἶναι, ὕπαγε πώλησόν σου τὰ ὑπάρχοντα καὶ δὸς [τοῖς] πτωχοῖς, καὶ","θησαυρὸν ἐν οὐρανοῖς, καὶ δεῦρο ἀκολούθει μοι."
ἕξεις,ἔχω,future,active,indicative,second person,singular,Mark 10:21,"ἕν σε ὑστερεῖ· ὕπαγε, ὅσα ἔχεις πώλησον καὶ δὸς [τοῖς] πτωχοῖς, καὶ","θησαυρὸν ἐν οὐρανῷ, καὶ δεῦρο ἀκολούθει μοι."
ἕξεις,ἔχω,future,active,indicative,second person,singular,Luke 18:22,"ἀκούσας δὲ  ὁ Ἰησοῦς εἶπεν αὐτῷ· ἔτι ἕν σοι λείπει· πάντα ὅσα ἔχεις πώλησον καὶ διάδος πτωχοῖς, καὶ","θησαυρὸν ἐν [τοῖς] οὐρανοῖς, καὶ δεῦρο ἀκολούθει μοι."
ἕξεις,ἔχω,future,active,indicative,second person,singular,Romans 13:3,"τῷ κακῷ. θέλεις δὲ μὴ φοβεῖσθαι τὴν ἐξουσίαν· τὸ ἀγαθὸν ποίει, καὶ",ἔπαινον ἐξ αὐτῆς·
ἕξει,ἔχω,future,active,indicative,third person,singular,Matthew 12:11,ὁ δὲ εἶπεν αὐτοῖς· τίς ἔσται ἐξ ὑμῶν ἄνθρωπος ὃς,"πρόβατον ἓν καὶ ἐὰν ἐμπέσῃ τοῦτο τοῖς σάββασιν εἰς βόθυνον, οὐχὶ κρατήσει αὐτὸ καὶ ἐγερεῖ;"
