Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἑκάστη,ἕκαστος,—,—,—,—,feminine,nominative,singular,adjective,1 Corinthians 7:2,διὰ δὲ τὰς πορνείας ἕκαστος τὴν ἑαυτοῦ γυναῖκα ἐχέτω καὶ,τὸν ἴδιον ἄνδρα ἐχέτω.
ἑκάστην,ἕκαστος,—,—,—,—,feminine,accusative,singular,adjective,Hebrews 3:13,ἀλλὰ παρακαλεῖτε ἑαυτοὺς καθʼ,"ἡμέραν, ἄχρις οὗ τὸ σήμερον καλεῖται, ἵνα μὴ σκληρυνθῇ τις ἐξ ὑμῶν ἀπάτῃ τῆς ἁμαρτίας —"
ἑκάστου,ἕκαστος,—,—,—,—,masculine,genitive,singular,adjective,Acts 17:27,"ζητεῖν τὸν θεόν, εἰ ἄρα γε ψηλαφήσειαν αὐτὸν καὶ εὕροιεν, καί γε οὐ μακρὰν ἀπὸ ἑνὸς",ἡμῶν ὑπάρχοντα.
ἑκάστου,ἕκαστος,—,—,—,—,masculine,genitive,singular,adjective,Acts 21:26,διαγγέλλων τὴν ἐκπλήρωσιν τῶν ἡμερῶν τοῦ ἁγνισμοῦ ἕως οὗ προσηνέχθη ὑπὲρ ἑνὸς,αὐτῶν ἡ προσφορά.
ἑκάστου,ἕκαστος,—,—,—,—,masculine,genitive,singular,adjective,1 Corinthians 3:13,—,"τὸ ἔργον φανερὸν γενήσεται, ἡ γὰρ ἡμέρα δηλώσει, ὅτι ἐν πυρὶ ἀποκαλύπτεται· καὶ"
ἑκάστου,ἕκαστος,—,—,—,—,masculine,genitive,singular,adjective,1 Corinthians 3:13,"ἑκάστου τὸ ἔργον φανερὸν γενήσεται, ἡ γὰρ ἡμέρα δηλώσει, ὅτι ἐν πυρὶ ἀποκαλύπτεται· καὶ",τὸ ἔργον ὁποῖόν ἐστιν τὸ πῦρ [αὐτὸ] δοκιμάσει.
ἑκάστου,ἕκαστος,—,—,—,—,masculine,genitive,singular,adjective,2 Thessalonians 1:3,"ἄξιόν ἐστιν, ὅτι ὑπεραυξάνει ἡ πίστις ὑμῶν καὶ πλεονάζει ἡ ἀγάπη ἑνὸς","πάντων ὑμῶν εἰς ἀλλήλους,"
ἑκάστου,ἕκαστος,—,—,—,—,masculine,genitive,singular,adjective,1 Peter 1:17,καὶ εἰ πατέρα ἐπικαλεῖσθε τὸν ἀπροσωπολήμπτως κρίνοντα κατὰ τὸ,"ἔργον, ἐν φόβῳ  τὸν τῆς παροικίας ὑμῶν χρόνον ἀναστράφητε"
ἑκάστου,ἕκαστος,—,—,—,—,"neuter, masculine",genitive,singular,adjective,Ephesians 4:16,ἐξ οὗ πᾶν τὸ σῶμα συναρμολογούμενον καὶ συμβιβαζόμενον διὰ πάσης ἁφῆς τῆς ἐπιχορηγίας κατʼ ἐνέργειαν ἐν μέτρῳ ἑνὸς,μέρους τὴν αὔξησιν τοῦ σώματος ποιεῖται εἰς οἰκοδομὴν ἑαυτοῦ ἐν ἀγάπῃ.
ἑκάστῳ,ἕκαστος,—,—,—,—,masculine,dative,singular,adjective,Matthew 16:27,"τῇ δόξῃ τοῦ πατρὸς αὐτοῦ μετὰ τῶν ἀγγέλων αὐτοῦ, καὶ τότε ἀποδώσει",κατὰ τὴν πρᾶξιν αὐτοῦ.
