Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,Luke 6:13,Καὶ ὅτε ἐγένετο,", προσεφώνησεν τοὺς μαθητὰς αὐτοῦ, καὶ ἐκλεξάμενος ἀπʼ αὐτῶν δώδεκα, οὓς καὶ ἀποστόλους ὠνόμασεν·"
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,Luke 9:12,Ἡ δὲ,"ἤρξατο κλίνειν· προσελθόντες δὲ οἱ δώδεκα εἶπαν αὐτῷ· ἀπόλυσον τὸν ὄχλον, ἵνα πορευθέντες"
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,Luke 21:34,κραιπάλῃ καὶ μέθῃ καὶ μερίμναις βιωτικαῖς καὶ ἐπιστῇ ἐφʼ ὑμᾶς αἰφνίδιος ἡ,ἐκείνη
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,Luke 22:7,Ἦλθεν δὲ ἡ,"τῶν ἀζύμων, [ἐν] ᾗ ἔδει θύεσθαι τὸ πάσχα·"
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,Luke 22:66,Καὶ ὡς ἐγένετο,", συνήχθη τὸ πρεσβυτέριον τοῦ λαοῦ, ἀρχιερεῖς τε καὶ γραμματεῖς, καὶ ἀπήγαγον αὐτὸν εἰς τὸ συνέδριον αὐτῶν"
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,Luke 23:54,καὶ,ἦν παρασκευῆς καὶ σάββατον ἐπέφωσκεν.
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,Luke 24:29,"καὶ παρεβιάσαντο αὐτὸν λέγοντες· μεῖνον μεθʼ ἡμῶν, ὅτι πρὸς ἑσπέραν ἐστὶν καὶ κέκλικεν ἤδη ἡ",. καὶ εἰσῆλθεν τοῦ μεῖναι σὺν αὐτοῖς.
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,John 9:4,ἡμᾶς δεῖ ἐργάζεσθαι τὰ ἔργα τοῦ πέμψαντός με ἕως,ἐστίν· ἔρχεται νὺξ ὅτε οὐδεὶς δύναται ἐργάζεσθαι.
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,John 19:31,"ἐπὶ τοῦ σταυροῦ τὰ σώματα ἐν τῷ σαββάτῳ, ἦν γὰρ μεγάλη ἡ","ἐκείνου τοῦ σαββάτου, ἠρώτησαν τὸν Πιλᾶτον ἵνα κατεαγῶσιν αὐτῶν τὰ σκέλη καὶ ἀρθῶσιν."
ἡμέρα,ἡμέρα,—,—,—,—,feminine,nominative,singular,noun,Acts 27:33,Ἄχρι δὲ οὗ,"ἤμελλεν γίνεσθαι, παρεκάλει ὁ Παῦλος ἅπαντας μεταλαβεῖν τροφῆς λέγων· τεσσαρεσκαιδεκάτην σήμερον ἡμέραν προσδοκῶντες ἄσιτοι διατελεῖτε μηθὲν προσλαβόμενοι."
