Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 1:20,ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος,ἰδοὺ,"ἄγγελος κυρίου κατʼ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 1:23,—,ἰδοὺ,"ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν,        καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ",ἰδού,Louw Nida 91.10,ειδος,"interjection, verb",—
NA28,Matthew 2:1,"Τοῦ δὲ Ἰησοῦ γεννηθέντος ἐν Βηθλέεμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως,",ἰδοὺ,μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 2:9,Οἱ δὲ ἀκούσαντες τοῦ βασιλέως ἐπορεύθησαν καὶ,ἰδοὺ,"ὁ ἀστήρ, ὃν εἶδον ἐν τῇ ἀνατολῇ, προῆγεν αὐτούς, ἕως ἐλθὼν ἐστάθη ἐπάνω οὗ ἦν τὸ παιδίον.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 2:13,Ἀναχωρησάντων δὲ αὐτῶν,ἰδοὺ,ἄγγελος κυρίου φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ λέγων· ἐγερθεὶς παράλαβε τὸ παιδίον καὶ,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 2:19,Τελευτήσαντος δὲ τοῦ Ἡρῴδου,ἰδοὺ,ἄγγελος κυρίου φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ ἐν Αἰγύπτῳ,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 3:16,βαπτισθεὶς δὲ ὁ Ἰησοῦς εὐθὺς ἀνέβη ἀπὸ τοῦ ὕδατος· καὶ,ἰδοὺ,"ἠνεῴχθησαν [αὐτῷ] οἱ οὐρανοί, καὶ εἶδεν [τὸ] πνεῦμα [τοῦ] θεοῦ καταβαῖνον ὡσεὶ περιστερὰν [καὶ] ἐρχόμενον ἐπʼ αὐτόν·",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 3:17,καὶ,ἰδοὺ,"φωνὴ ἐκ τῶν οὐρανῶν λέγουσα·  οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 4:11,"Τότε ἀφίησιν αὐτὸν ὁ διάβολος, καὶ",ἰδοὺ,ἄγγελοι προσῆλθον καὶ διηκόνουν αὐτῷ.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 7:4,"ἢ πῶς ἐρεῖς τῷ ἀδελφῷ σου· ἄφες ἐκβάλω τὸ κάρφος ἐκ τοῦ ὀφθαλμοῦ σου, καὶ",ἰδοὺ,ἡ δοκὸς ἐν τῷ ὀφθαλμῷ σοῦ;,ἰδού,Louw Nida 91.10,ειδος,"interjection, verb",—
NA28,Matthew 8:2,καὶ,ἰδοὺ,"λεπρὸς προσελθὼν προσεκύνει αὐτῷ λέγων· κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 8:24,καὶ,ἰδοὺ,"σεισμὸς μέγας ἐγένετο ἐν τῇ θαλάσσῃ, ὥστε τὸ πλοῖον καλύπτεσθαι ὑπὸ τῶν κυμάτων, αὐτὸς δὲ ἐκάθευδεν.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 8:29,καὶ,ἰδοὺ,"ἔκραξαν λέγοντες· τί ἡμῖν καὶ σοί,  υἱὲ τοῦ θεοῦ; ἦλθες ὧδε πρὸ καιροῦ βασανίσαι ἡμᾶς;",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 8:32,καὶ εἶπεν αὐτοῖς· ὑπάγετε. οἱ δὲ ἐξελθόντες ἀπῆλθον εἰς τοὺς χοίρους· καὶ,ἰδοὺ,ὥρμησεν πᾶσα ἡ ἀγέλη  κατὰ τοῦ κρημνοῦ εἰς τὴν θάλασσαν καὶ ἀπέθανον ἐν τοῖς ὕδασιν.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 8:34,καὶ,ἰδοὺ,πᾶσα ἡ πόλις ἐξῆλθεν εἰς ὑπάντησιν τῷ Ἰησοῦ καὶ ἰδόντες αὐτὸν παρεκάλεσαν ὅπως,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 9:2,καὶ,ἰδοὺ,προσέφερον αὐτῷ παραλυτικὸν ἐπὶ κλίνης βεβλημένον. καὶ ἰδὼν ὁ Ἰησοῦς τὴν πίστιν αὐτῶν,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 9:3,Καὶ,ἰδού,τινες τῶν γραμματέων εἶπαν ἐν ἑαυτοῖς· οὗτος βλασφημεῖ.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 9:10,"καὶ ἐγένετο αὐτοῦ ἀνακειμένου ἐν τῇ οἰκίᾳ, καὶ",ἰδοὺ,πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ ἐλθόντες συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 9:18,"Ταῦτα αὐτοῦ λαλοῦντος αὐτοῖς,",ἰδοὺ,ἄρχων εἷς ἐλθὼν προσεκύνει αὐτῷ λέγων ὅτι ἡ θυγάτηρ μου ἄρτι ἐτελεύτησεν· ἀλλʼ,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 9:20,Καὶ,ἰδοὺ,γυνὴ αἱμορροοῦσα δώδεκα ἔτη  προσελθοῦσα ὄπισθεν ἥψατο τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ·,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 9:32,Αὐτῶν δὲ ἐξερχομένων,ἰδοὺ,προσήνεγκαν αὐτῷ ἄνθρωπον κωφὸν δαιμονιζόμενον.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 10:16,—,Ἰδοὺ,ἐγὼ ἀποστέλλω ὑμᾶς ὡς πρόβατα ἐν μέσῳ λύκων· γίνεσθε οὖν φρόνιμοι ὡς οἱ,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 11:8,ἀλλὰ τί ἐξήλθατε ἰδεῖν; ἄνθρωπον ἐν μαλακοῖς  ἠμφιεσμένον;,ἰδοὺ,οἱ τὰ μαλακὰ φοροῦντες ἐν τοῖς οἴκοις τῶν βασιλέων εἰσίν.,ἰδού,Louw Nida 91.10,ειδος,"interjection, verb",—
NA28,Matthew 11:10,οὗτός  ἐστιν περὶ οὗ γέγραπται·,ἰδοὺ,"ἐγὼ ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου,        ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν σου.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
