Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 1:22,τοῦτο δὲ ὅλον γέγονεν,ἵνα,πληρωθῇ τὸ ῥηθὲν ὑπὸ  κυρίου διὰ  τοῦ προφήτου λέγοντος·,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 2:15,καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου·,ἵνα,πληρωθῇ τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος·        ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου.,ἵνα,Louw Nida 89.49,ινα,conjunction,—
NA28,Matthew 4:3,"καὶ προσελθὼν ὁ πειράζων εἶπεν αὐτῷ·  εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ",ἵνα,οἱ λίθοι οὗτοι ἄρτοι γένωνται.,ἵνα,Louw Nida 89.49,ινα,conjunction,—
NA28,Matthew 4:14,—,ἵνα,πληρωθῇ τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 5:29,"Εἰ δὲ ὁ ὀφθαλμός σου ὁ δεξιὸς σκανδαλίζει σε, ἔξελε αὐτὸν καὶ βάλε ἀπὸ σοῦ· συμφέρει γάρ σοι",ἵνα,ἀπόληται ἓν τῶν μελῶν σου καὶ μὴ ὅλον τὸ σῶμά σου βληθῇ εἰς γέενναν.,ἵνα,Louw Nida 91.15,ινα,conjunction,—
NA28,Matthew 5:30,"καὶ εἰ ἡ δεξιά σου χεὶρ σκανδαλίζει σε, ἔκκοψον αὐτὴν καὶ βάλε ἀπὸ σοῦ· συμφέρει γάρ σοι",ἵνα,ἀπόληται ἓν τῶν μελῶν σου καὶ μὴ ὅλον τὸ σῶμά σου εἰς γέενναν ἀπέλθῃ.,ἵνα,Louw Nida 89.49,ινα,conjunction,—
NA28,Matthew 7:1,"Μὴ κρίνετε,",ἵνα,μὴ κριθῆτε·,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 7:12,Πάντα οὖν ὅσα ἐὰν θέλητε,ἵνα,"ποιῶσιν ὑμῖν οἱ ἄνθρωποι, οὕτως καὶ ὑμεῖς ποιεῖτε αὐτοῖς· οὗτος γάρ ἐστιν ὁ νόμος καὶ οἱ προφῆται.",ἵνα,Louw Nida 89.49,ινα,conjunction,—
NA28,Matthew 8:8,"καὶ ἀποκριθεὶς ὁ ἑκατόνταρχος ἔφη· κύριε, οὐκ εἰμὶ ἱκανὸς",ἵνα,"μου ὑπὸ τὴν στέγην εἰσέλθῃς, ἀλλὰ μόνον εἰπὲ λόγῳ, καὶ ἰαθήσεται ὁ παῖς μου.",ἵνα,Louw Nida 89.49,ινα,conjunction,—
NA28,Matthew 9:6,—,ἵνα,δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 10:25,ἀρκετὸν τῷ μαθητῇ,ἵνα,γένηται ὡς ὁ διδάσκαλος αὐτοῦ καὶ ὁ δοῦλος ὡς ὁ κύριος αὐτοῦ. εἰ,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 12:10,καὶ ἰδοὺ ἄνθρωπος  χεῖρα ἔχων ξηράν. καὶ ἐπηρώτησαν αὐτὸν λέγοντες· εἰ ἔξεστιν τοῖς σάββασιν θεραπεῦσαι;,ἵνα,κατηγορήσωσιν αὐτοῦ.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 12:16,καὶ ἐπετίμησεν αὐτοῖς,ἵνα,"μὴ φανερὸν αὐτὸν ποιήσωσιν,",ἵνα,Louw Nida 90.22,ινα,conjunction,—
NA28,Matthew 12:17,—,ἵνα,πληρωθῇ τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 14:15,"ἔρημός ἐστιν ὁ τόπος καὶ ἡ ὥρα ἤδη παρῆλθεν· ἀπόλυσον  τοὺς ὄχλους,",ἵνα,ἀπελθόντες εἰς τὰς  κώμας ἀγοράσωσιν ἑαυτοῖς βρώματα.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 14:36,καὶ παρεκάλουν αὐτὸν,ἵνα,μόνον ἅψωνται τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ· καὶ ὅσοι ἥψαντο διεσώθησαν.,ἵνα,Louw Nida 90.22,ινα,conjunction,—
NA28,Matthew 16:20,Τότε διεστείλατο τοῖς μαθηταῖς,ἵνα,μηδενὶ εἴπωσιν ὅτι αὐτός ἐστιν  ὁ χριστός.,ἵνα,Louw Nida 90.22,ινα,conjunction,—
NA28,Matthew 17:27,—,ἵνα,"δὲ μὴ σκανδαλίσωμεν αὐτούς, πορευθεὶς εἰς  θάλασσαν βάλε ἄγκιστρον καὶ τὸν ἀναβάντα πρῶτον",ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 18:6,"Ὃς δʼ ἂν σκανδαλίσῃ ἕνα τῶν μικρῶν τούτων τῶν πιστευόντων εἰς ἐμέ, συμφέρει αὐτῷ",ἵνα,κρεμασθῇ μύλος ὀνικὸς περὶ τὸν τράχηλον αὐτοῦ καὶ καταποντισθῇ ἐν τῷ πελάγει τῆς θαλάσσης.,ἵνα,Louw Nida 90.22,ινα,conjunction,—
NA28,Matthew 18:14,οὕτως οὐκ ἔστιν θέλημα ἔμπροσθεν τοῦ πατρὸς ὑμῶν τοῦ ἐν οὐρανοῖς,ἵνα,ἀπόληται ἓν τῶν μικρῶν τούτων.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 18:16,"ἐὰν δὲ μὴ ἀκούσῃ, παράλαβε μετὰ σοῦ ἔτι ἕνα ἢ δύο,",ἵνα,ἐπὶ στόματος δύο μαρτύρων ἢ τριῶν σταθῇ πᾶν ῥῆμα·,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 19:13,Τότε προσηνέχθησαν αὐτῷ παιδία,ἵνα,τὰς χεῖρας ἐπιθῇ αὐτοῖς καὶ προσεύξηται· οἱ δὲ μαθηταὶ ἐπετίμησαν αὐτοῖς.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 19:16,"Καὶ ἰδοὺ εἷς προσελθὼν αὐτῷ εἶπεν·  διδάσκαλε , τί ἀγαθὸν ποιήσω",ἵνα,σχῶ ζωὴν αἰώνιον;,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 20:21,ὁ δὲ εἶπεν αὐτῇ· τί θέλεις; λέγει αὐτῷ· εἰπὲ,ἵνα,καθίσωσιν οὗτοι οἱ δύο υἱοί μου εἷς ἐκ δεξιῶν σου καὶ εἷς ἐξ,ἵνα,Louw Nida 90.22,ινα,conjunction,—
NA28,Matthew 20:31,ὁ δὲ ὄχλος ἐπετίμησεν αὐτοῖς,ἵνα,"σιωπήσωσιν· οἱ δὲ μεῖζον ἔκραξαν λέγοντες· ἐλέησον ἡμᾶς, κύριε, υἱὸς Δαυίδ.",ἵνα,Louw Nida 90.22,ινα,conjunction,—
NA28,Matthew 20:33,"λέγουσιν αὐτῷ· κύριε,",ἵνα,ἀνοιγῶσιν οἱ ὀφθαλμοὶ ἡμῶν.,ἵνα,Louw Nida 90.22,ινα,conjunction,—
NA28,Matthew 21:4,τοῦτο δὲ  γέγονεν,ἵνα,πληρωθῇ τὸ ῥηθὲν διὰ τοῦ προφήτου λέγοντος·,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 23:26,"Φαρισαῖε τυφλέ, καθάρισον πρῶτον τὸ ἐντὸς τοῦ ποτηρίου ,",ἵνα,γένηται καὶ τὸ ἐκτὸς αὐτοῦ καθαρόν.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 24:20,προσεύχεσθε δὲ,ἵνα,μὴ γένηται ἡ φυγὴ ὑμῶν χειμῶνος μηδὲ σαββάτῳ.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 26:4,καὶ συνεβουλεύσαντο,ἵνα,τὸν Ἰησοῦν δόλῳ κρατήσωσιν καὶ ἀποκτείνωσιν·,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 26:5,"ἔλεγον δέ· μὴ ἐν τῇ ἑορτῇ,",ἵνα,μὴ θόρυβος γένηται ἐν τῷ λαῷ.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 26:16,καὶ ἀπὸ τότε ἐζήτει εὐκαιρίαν,ἵνα,αὐτὸν παραδῷ.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 26:41,"γρηγορεῖτε καὶ προσεύχεσθε,",ἵνα,μὴ εἰσέλθητε εἰς πειρασμόν· τὸ μὲν πνεῦμα πρόθυμον ἡ δὲ σὰρξ ἀσθενής.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 26:56,τοῦτο δὲ ὅλον γέγονεν,ἵνα,πληρωθῶσιν αἱ γραφαὶ τῶν προφητῶν. Τότε οἱ μαθηταὶ  πάντες ἀφέντες αὐτὸν ἔφυγον.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 26:63,ὁ δὲ Ἰησοῦς ἐσιώπα. καὶ  ὁ ἀρχιερεὺς εἶπεν αὐτῷ· ἐξορκίζω σε κατὰ τοῦ θεοῦ τοῦ ζῶντος,ἵνα,ἡμῖν εἴπῃς εἰ σὺ εἶ ὁ χριστὸς ὁ υἱὸς τοῦ θεοῦ .,ἵνα,Louw Nida 90.22,ινα,conjunction,—
NA28,Matthew 27:20,Οἱ δὲ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι ἔπεισαν τοὺς ὄχλους,ἵνα,"αἰτήσωνται τὸν Βαραββᾶν, τὸν δὲ Ἰησοῦν ἀπολέσωσιν.",ἵνα,Louw Nida 89.49,ινα,conjunction,—
NA28,Matthew 27:26,"τότε ἀπέλυσεν αὐτοῖς τὸν Βαραββᾶν, τὸν δὲ Ἰησοῦν φραγελλώσας παρέδωκεν",ἵνα,σταυρωθῇ.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 27:32,"Ἐξερχόμενοι δὲ εὗρον ἄνθρωπον Κυρηναῖον  ὀνόματι Σίμωνα, τοῦτον ἠγγάρευσαν",ἵνα,ἄρῃ τὸν σταυρὸν αὐτοῦ.,ἵνα,Louw Nida 89.59,ινα,conjunction,—
NA28,Matthew 28:10,τότε λέγει αὐταῖς ὁ Ἰησοῦς· μὴ φοβεῖσθε· ὑπάγετε ἀπαγγείλατε τοῖς ἀδελφοῖς μου,ἵνα,"ἀπέλθωσιν εἰς τὴν Γαλιλαίαν, κἀκεῖ με ὄψονται.",ἵνα,Louw Nida 90.22,ινα,conjunction,—
