Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὁδοί,ὁδός,—,—,—,—,feminine,nominative,plural,noun,Revelation 15:3,"τὰ ἔργα σου,           κύριε ὁ θεὸς ὁ παντοκράτωρ        δίκαιαι καὶ ἀληθιναὶ αἱ","σου,           ὁ βασιλεὺς τῶν ἐθνῶν·"
ὁδούς,ὁδός,—,—,—,—,feminine,accusative,plural,noun,1 Corinthians 4:17,"Διὰ τοῦτο  ἔπεμψα ὑμῖν Τιμόθεον, ὅς ἐστίν μου τέκνον ἀγαπητὸν καὶ πιστὸν ἐν κυρίῳ, ὃς ὑμᾶς ἀναμνήσει τὰς","μου τὰς ἐν Χριστῷ [Ἰησοῦ], καθὼς πανταχοῦ ἐν πάσῃ ἐκκλησίᾳ διδάσκω."
ὁδούς,ὁδός,—,—,—,—,feminine,accusative,plural,noun,Hebrews 3:10,"τεσσεράκοντα ἔτη·        διὸ προσώχθισα τῇ γενεᾷ ταύτῃ           καὶ εἶπον· ἀεὶ πλανῶνται τῇ καρδίᾳ,        αὐτοὶ δὲ οὐκ ἔγνωσαν τὰς","μου,"
ὁδοὶ,ὁδός,—,—,—,—,feminine,nominative,plural,noun,Romans 11:33,Ὦ βάθος πλούτου           καὶ σοφίας καὶ γνώσεως θεοῦ·        ὡς ἀνεξεραύνητα τὰ κρίματα αὐτοῦ           καὶ ἀνεξιχνίαστοι αἱ,αὐτοῦ.
ὁδοὺς,ὁδός,—,—,—,—,feminine,accusative,plural,noun,Matthew 22:10,καὶ ἐξελθόντες οἱ δοῦλοι ἐκεῖνοι εἰς τὰς,"συνήγαγον πάντας οὓς εὗρον, πονηρούς τε καὶ ἀγαθούς· καὶ ἐπλήσθη ὁ γάμος  ἀνακειμένων."
ὁδοὺς,ὁδός,—,—,—,—,feminine,accusative,plural,noun,Luke 1:76,"Καὶ σὺ δέ, παιδίον, προφήτης ὑψίστου κληθήσῃ·           προπορεύσῃ γὰρ ἐνώπιον κυρίου ἑτοιμάσαι","αὐτοῦ,"
ὁδοὺς,ὁδός,—,—,—,—,feminine,accusative,plural,noun,Luke 3:5,"βουνὸς ταπεινωθήσεται,        καὶ ἔσται τὰ σκολιὰ εἰς εὐθεῖαν           καὶ αἱ τραχεῖαι εἰς",λείας·
ὁδοὺς,ὁδός,—,—,—,—,feminine,accusative,plural,noun,Luke 14:23,καὶ εἶπεν ὁ κύριος πρὸς τὸν δοῦλον· ἔξελθε εἰς τὰς,"καὶ φραγμοὺς καὶ ἀνάγκασον εἰσελθεῖν, ἵνα γεμισθῇ μου ὁ οἶκος·"
ὁδοὺς,ὁδός,—,—,—,—,feminine,accusative,plural,noun,Acts 2:28,ἐγνώρισάς μοι,"ζωῆς,      πληρώσεις με εὐφροσύνης μετὰ τοῦ προσώπου σου."
ὁδοὺς,ὁδός,—,—,—,—,feminine,accusative,plural,noun,Acts 13:10,"εἶπεν· ὦ πλήρης παντὸς δόλου καὶ πάσης ῥᾳδιουργίας, υἱὲ διαβόλου, ἐχθρὲ πάσης δικαιοσύνης, οὐ παύσῃ διαστρέφων τὰς",[τοῦ] κυρίου τὰς  εὐθείας;
ὁδοῖς,ὁδός,—,—,—,—,feminine,dative,plural,noun,Acts 14:16,ὃς ἐν ταῖς παρῳχημέναις γενεαῖς εἴασεν πάντα τὰ ἔθνη πορεύεσθαι ταῖς,αὐτῶν·
ὁδοῖς,ὁδός,—,—,—,—,feminine,dative,plural,noun,Romans 3:16,σύντριμμα καὶ ταλαιπωρία ἐν ταῖς,"αὐτῶν,"
ὁδοῖς,ὁδός,—,—,—,—,feminine,dative,plural,noun,James 1:8,"ἀνὴρ δίψυχος, ἀκατάστατος ἐν πάσαις ταῖς",αὐτοῦ.
ὁδοῦ,ὁδός,—,—,—,—,feminine,genitive,singular,noun,Matthew 2:12,"Καὶ χρηματισθέντες κατʼ ὄναρ μὴ ἀνακάμψαι πρὸς Ἡρῴδην, διʼ ἄλλης",ἀνεχώρησαν εἰς τὴν χώραν αὐτῶν.
ὁδοῦ,ὁδός,—,—,—,—,feminine,genitive,singular,noun,Matthew 8:28,"τῶν μνημείων ἐξερχόμενοι, χαλεποὶ λίαν, ὥστε μὴ ἰσχύειν τινὰ παρελθεῖν διὰ τῆς",ἐκείνης.
ὁδοῦ,ὁδός,—,—,—,—,feminine,genitive,singular,noun,Matthew 21:19,καὶ ἰδὼν συκῆν μίαν ἐπὶ τῆς,"ἦλθεν ἐπʼ αὐτὴν καὶ οὐδὲν εὗρεν ἐν αὐτῇ εἰ μὴ φύλλα μόνον, καὶ"
