Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὀνομάτων,ὄνομα,—,—,—,—,neuter,genitive,plural,noun,Acts 1:15,Καὶ ἐν ταῖς ἡμέραις ταύταις ἀναστὰς Πέτρος ἐν μέσῳ τῶν ἀδελφῶν εἶπεν· ἦν τε ὄχλος,ἐπὶ τὸ αὐτὸ ὡσεὶ ἑκατὸν εἴκοσι·
ὀνομάτων,ὄνομα,—,—,—,—,neuter,genitive,plural,noun,Acts 18:15,εἰ δὲ ζητήματά ἐστιν περὶ λόγου καὶ,"καὶ νόμου τοῦ καθʼ ὑμᾶς, ὄψεσθε αὐτοί· κριτὴς  ἐγὼ τούτων οὐ βούλομαι εἶναι."
ὀνόματά,ὄνομα,—,—,—,—,neuter,nominative,plural,noun,Matthew 10:2,Τῶν δὲ δώδεκα ἀποστόλων τὰ,"ἐστιν ταῦτα· πρῶτος Σίμων ὁ λεγόμενος Πέτρος καὶ Ἀνδρέας ὁ ἀδελφὸς αὐτοῦ, καὶ"
ὀνόματί,ὄνομα,—,—,—,—,neuter,dative,singular,noun,Matthew 18:5,καὶ ὃς ἐὰν δέξηται ἓν παιδίον τοιοῦτο ἐπὶ τῷ,"μου, ἐμὲ δέχεται."
ὀνόματί,ὄνομα,—,—,—,—,neuter,dative,singular,noun,Matthew 24:5,πολλοὶ γὰρ ἐλεύσονται ἐπὶ τῷ,"μου λέγοντες· ἐγώ εἰμι ὁ χριστός, καὶ πολλοὺς πλανήσουσιν."
ὀνόματί,ὄνομα,—,—,—,—,neuter,dative,singular,noun,Mark 9:37,ὃς ἂν ἓν τῶν τοιούτων παιδίων δέξηται ἐπὶ τῷ,"μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ δέχηται, οὐκ ἐμὲ δέχεται ἀλλὰ τὸν ἀποστείλαντά με."
ὀνόματί,ὄνομα,—,—,—,—,neuter,dative,singular,noun,Mark 9:38,"Ἔφη αὐτῷ ὁ Ἰωάννης·  διδάσκαλε, εἴδομέν τινα ἐν τῷ","σου ἐκβάλλοντα δαιμόνια καὶ ἐκωλύομεν αὐτόν, ὅτι οὐκ ἠκολούθει ἡμῖν."
ὀνόματί,ὄνομα,—,—,—,—,neuter,dative,singular,noun,Mark 9:39,ὁ δὲ Ἰησοῦς εἶπεν· μὴ κωλύετε αὐτόν. οὐδεὶς γάρ ἐστιν ὃς ποιήσει δύναμιν ἐπὶ τῷ,μου καὶ δυνήσεται ταχὺ κακολογῆσαί με·
ὀνόματί,ὄνομα,—,—,—,—,neuter,dative,singular,noun,Mark 13:6,πολλοὶ  ἐλεύσονται ἐπὶ τῷ,"μου λέγοντες ὅτι ἐγώ εἰμι, καὶ πολλοὺς πλανήσουσιν."
ὀνόματί,ὄνομα,—,—,—,—,neuter,dative,singular,noun,Mark 16:17,σημεῖα δὲ τοῖς πιστεύσασιν ταῦτα παρακολουθήσει·  ἐν τῷ,"μου δαιμόνια ἐκβαλοῦσιν, γλώσσαις λαλήσουσιν καιναῖς,"
