Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 2:16,Τότε Ἡρῴδης ἰδὼν,ὅτι,"ἐνεπαίχθη ὑπὸ τῶν μάγων ἐθυμώθη λίαν, καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς",ὅτι,Louw Nida 90.21,οτι,conjunction,—
NA28,Matthew 2:18,"φωνὴ ἐν Ῥαμὰ ἠκούσθη,            κλαυθμὸς καὶ ὀδυρμὸς πολύς        Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς,           καὶ οὐκ ἤθελεν παρακληθῆναι,",ὅτι,οὐκ εἰσίν.,ὅτι,Louw Nida 89.33,οτι,conjunction,—
NA28,Matthew 2:22,Ἀκούσας δὲ,ὅτι,Ἀρχέλαος βασιλεύει τῆς Ἰουδαίας ἀντὶ τοῦ πατρὸς αὐτοῦ Ἡρῴδου ἐφοβήθη ἐκεῖ ἀπελθεῖν· χρηματισθεὶς,ὅτι,Louw Nida 90.21,οτι,conjunction,—
NA28,Matthew 2:23,καὶ ἐλθὼν κατῴκησεν εἰς πόλιν λεγομένην Ναζαρέτ· ὅπως πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν,ὅτι,Ναζωραῖος κληθήσεται.,ὅτι,Louw Nida 90.21,οτι,conjunction,—
NA28,Matthew 3:9,καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· πατέρα ἔχομεν τὸν Ἀβραάμ. λέγω γὰρ ὑμῖν,ὅτι,δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.,ὅτι,Louw Nida 90.21,οτι,conjunction,—
NA28,Matthew 4:6,"καὶ λέγει αὐτῷ· εἰ υἱὸς εἶ τοῦ θεοῦ, βάλε σεαυτὸν  κάτω· γέγραπται γὰρ",ὅτι,"τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ        καὶ ἐπὶ χειρῶν ἀροῦσίν σε,        μήποτε προσκόψῃς",ὅτι,Louw Nida 90.21,οτι,conjunction,—
NA28,Matthew 4:12,Ἀκούσας δὲ,ὅτι,Ἰωάννης παρεδόθη ἀνεχώρησεν εἰς τὴν Γαλιλαίαν.,ὅτι,Louw Nida 90.21,οτι,conjunction,—
NA28,Matthew 5:3,"Μακάριοι οἱ πτωχοὶ τῷ πνεύματι,",ὅτι,αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.,ὅτι,Louw Nida 89.33,οτι,conjunction,—
NA28,Matthew 5:4,"μακάριοι οἱ πενθοῦντες ,",ὅτι,αὐτοὶ παρακληθήσονται.,ὅτι,Louw Nida 89.33,οτι,conjunction,—
NA28,Matthew 5:5,"μακάριοι οἱ πραεῖς,",ὅτι,αὐτοὶ κληρονομήσουσιν τὴν γῆν.,ὅτι,Louw Nida 89.33,οτι,conjunction,—
NA28,Matthew 5:6,"μακάριοι οἱ πεινῶντες καὶ διψῶντες τὴν δικαιοσύνην,",ὅτι,αὐτοὶ χορτασθήσονται.,ὅτι,Louw Nida 89.33,οτι,conjunction,—
