Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,Matthew 13:44,"ἐν τῷ ἀγρῷ, ὃν εὑρὼν ἄνθρωπος ἔκρυψεν, καὶ ἀπὸ τῆς χαρᾶς αὐτοῦ",καὶ πωλεῖ πάντα ὅσα ἔχει καὶ ἀγοράζει τὸν ἀγρὸν ἐκεῖνον.
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,Matthew 26:24,ὁ μὲν υἱὸς τοῦ ἀνθρώπου,"καθὼς γέγραπται περὶ αὐτοῦ, οὐαὶ δὲ τῷ ἀνθρώπῳ ἐκείνῳ διʼ οὗ ὁ υἱὸς"
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,Mark 14:21,ὅτι ὁ μὲν υἱὸς τοῦ ἀνθρώπου,"καθὼς γέγραπται περὶ αὐτοῦ, οὐαὶ δὲ τῷ ἀνθρώπῳ ἐκείνῳ διʼ οὗ ὁ υἱὸς"
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,John 3:8,"τὸ πνεῦμα ὅπου θέλει πνεῖ καὶ τὴν φωνὴν αὐτοῦ ἀκούεις, ἀλλʼ οὐκ οἶδας πόθεν ἔρχεται καὶ ποῦ",· οὕτως ἐστὶν πᾶς ὁ γεγεννημένος ἐκ  τοῦ πνεύματος.
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,John 11:31,"ἰδόντες τὴν Μαριὰμ ὅτι ταχέως ἀνέστη καὶ ἐξῆλθεν, ἠκολούθησαν αὐτῇ δόξαντες ὅτι",εἰς τὸ μνημεῖον ἵνα κλαύσῃ ἐκεῖ.
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,John 12:35,σκοτία ὑμᾶς καταλάβῃ· καὶ ὁ περιπατῶν ἐν τῇ σκοτίᾳ οὐκ οἶδεν ποῦ,.
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,John 13:3,εἰς τὰς χεῖρας  καὶ ὅτι ἀπὸ θεοῦ ἐξῆλθεν καὶ πρὸς τὸν θεὸν,","
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,1 John 2:11,τῇ σκοτίᾳ ἐστὶν καὶ ἐν τῇ σκοτίᾳ περιπατεῖ καὶ οὐκ οἶδεν ποῦ,", ὅτι ἡ σκοτία ἐτύφλωσεν τοὺς ὀφθαλμοὺς αὐτοῦ."
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,Revelation 13:10,"εἴ τις εἰς αἰχμαλωσίαν, εἰς αἰχμαλωσίαν",·        εἴ τις ἐν μαχαίρῃ ἀποκτανθῆναι αὐτὸν ἐν μαχαίρῃ ἀποκτανθῆναι.  Ὧδέ ἐστιν ἡ ὑπομονὴ
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,Revelation 17:8,Τὸ θηρίον ὃ εἶδες ἦν καὶ οὐκ ἔστιν καὶ μέλλει ἀναβαίνειν ἐκ τῆς ἀβύσσου καὶ εἰς ἀπώλειαν,", καὶ θαυμασθήσονται οἱ κατοικοῦντες ἐπὶ τῆς γῆς, ὧν οὐ γέγραπται τὸ ὄνομα ἐπὶ"
ὑπάγει,ὑπάγω,present,active,indicative,third person,—,—,singular,verb,Revelation 17:11,"καὶ αὐτὸς  ὄγδοός ἐστιν καὶ ἐκ τῶν ἑπτά ἐστιν, καὶ εἰς ἀπώλειαν",.
ὑπάγειν,ὑπάγω,present,active,infinitive,—,—,—,—,verb,Luke 8:42,ὅτι θυγάτηρ μονογενὴς ἦν αὐτῷ ὡς ἐτῶν δώδεκα καὶ αὐτὴ ἀπέθνῃσκεν. Ἐν δὲ τῷ,αὐτὸν οἱ ὄχλοι συνέπνιγον αὐτόν.
ὑπάγειν,ὑπάγω,present,active,infinitive,—,—,—,—,verb,Luke 17:14,καὶ ἰδὼν εἶπεν αὐτοῖς·  πορευθέντες ἐπιδείξατε ἑαυτοὺς τοῖς ἱερεῦσιν. καὶ ἐγένετο ἐν τῷ,αὐτοὺς ἐκαθαρίσθησαν.
ὑπάγειν,ὑπάγω,present,active,infinitive,—,—,—,—,verb,John 6:67,εἶπεν οὖν ὁ Ἰησοῦς τοῖς δώδεκα· μὴ καὶ ὑμεῖς θέλετε,;
ὑπάγειν,ὑπάγω,present,active,infinitive,—,—,—,—,verb,John 11:44,αὐτοῦ σουδαρίῳ περιεδέδετο. λέγει αὐτοῖς ὁ Ἰησοῦς·  λύσατε αὐτὸν καὶ ἄφετε αὐτὸν,.
ὑπάγειν,ὑπάγω,present,active,infinitive,—,—,—,—,verb,John 18:8,"ἀπεκρίθη Ἰησοῦς· εἶπον ὑμῖν ὅτι ἐγώ εἰμι. εἰ οὖν ἐμὲ ζητεῖτε, ἄφετε τούτους",·
ὑπάγεις,ὑπάγω,present,active,indicative,second person,—,—,singular,verb,Luke 12:58,ὡς γὰρ,"μετὰ τοῦ ἀντιδίκου σου ἐπʼ ἄρχοντα, ἐν τῇ ὁδῷ δὸς ἐργασίαν ἀπηλλάχθαι ἀπʼ"
ὑπάγεις,ὑπάγω,present,active,indicative,second person,—,—,singular,verb,John 11:8,"λέγουσιν αὐτῷ οἱ μαθηταί· ῥαββί, νῦν ἐζήτουν σε λιθάσαι οἱ Ἰουδαῖοι, καὶ πάλιν",ἐκεῖ;
