Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Matthew 5:44,ἐγὼ δὲ λέγω ὑμῖν· ἀγαπᾶτε τοὺς ἐχθροὺς ὑμῶν  καὶ προσεύχεσθε,"τῶν διωκόντων ὑμᾶς,"
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Matthew 10:24,Οὐκ ἔστιν μαθητὴς,τὸν διδάσκαλον  οὐδὲ δοῦλος ὑπὲρ τὸν κύριον αὐτοῦ.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Matthew 10:24,Οὐκ ἔστιν μαθητὴς ὑπὲρ τὸν διδάσκαλον  οὐδὲ δοῦλος,τὸν κύριον αὐτοῦ.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Matthew 10:37,Ὁ φιλῶν πατέρα ἢ μητέρα,"ἐμὲ οὐκ ἔστιν μου ἄξιος, καὶ ὁ φιλῶν υἱὸν ἢ θυγατέρα ὑπὲρ ἐμὲ οὐκ ἔστιν μου ἄξιος·"
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Matthew 10:37,"Ὁ φιλῶν πατέρα ἢ μητέρα ὑπὲρ ἐμὲ οὐκ ἔστιν μου ἄξιος, καὶ ὁ φιλῶν υἱὸν ἢ θυγατέρα",ἐμὲ οὐκ ἔστιν μου ἄξιος·
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Mark 9:40,"ὃς γὰρ οὐκ ἔστιν καθʼ ἡμῶν,",ἡμῶν ἐστιν.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Mark 14:24,καὶ εἶπεν αὐτοῖς· τοῦτό ἐστιν τὸ αἷμά μου τῆς διαθήκης τὸ ἐκχυννόμενον,πολλῶν .
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Luke 6:40,οὐκ ἔστιν μαθητὴς,τὸν διδάσκαλον· κατηρτισμένος δὲ πᾶς ἔσται ὡς ὁ διδάσκαλος αὐτοῦ.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Luke 9:50,"εἶπεν δὲ πρὸς αὐτὸν ὁ Ἰησοῦς· μὴ κωλύετε· ὃς γὰρ οὐκ ἔστιν καθʼ ὑμῶν,",ὑμῶν ἐστιν.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Luke 16:8,καὶ ἐπῄνεσεν ὁ κύριος τὸν οἰκονόμον τῆς ἀδικίας ὅτι φρονίμως ἐποίησεν· ὅτι οἱ υἱοὶ τοῦ αἰῶνος τούτου φρονιμώτεροι,τοὺς υἱοὺς τοῦ φωτὸς εἰς τὴν γενεὰν τὴν ἑαυτῶν εἰσιν.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Luke 22:19,Καὶ λαβὼν ἄρτον εὐχαριστήσας ἔκλασεν καὶ ἔδωκεν αὐτοῖς λέγων· τοῦτό ἐστιν τὸ σῶμά μου τὸ,ὑμῶν διδόμενον· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,Luke 22:20,λέγων· τοῦτο τὸ ποτήριον ἡ καινὴ διαθήκη ἐν τῷ αἵματί μου τὸ,ὑμῶν ἐκχυννόμενον.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,John 1:30,οὗτός ἐστιν,"οὗ ἐγὼ εἶπον· ὀπίσω μου ἔρχεται ἀνὴρ ὃς ἔμπροσθέν μου γέγονεν, ὅτι πρῶτός μου ἦν."
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,John 6:51,"αἰῶνα, καὶ ὁ ἄρτος δὲ ὃν ἐγὼ δώσω ἡ σάρξ μού ἐστιν",τῆς τοῦ κόσμου ζωῆς.
ὑπὲρ,ὑπέρ,—,—,—,—,—,—,—,preposition,John 10:11,Ἐγώ εἰμι ὁ ποιμὴν ὁ καλός. ὁ ποιμὴν ὁ καλὸς τὴν ψυχὴν αὐτοῦ τίθησιν,τῶν προβάτων·
