Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὑπέταξας,ὑποτάσσω,aorist,active,indicative,second person,—,—,singular,verb,Hebrews 2:8,πάντα,ὑποκάτω τῶν ποδῶν αὐτοῦ.  ἐν τῷ γὰρ ὑποτάξαι [αὐτῷ] τὰ πάντα οὐδὲν ἀφῆκεν
ὑπέταξεν,ὑποτάσσω,aorist,active,indicative,third person,—,—,singular,verb,1 Corinthians 15:27,πάντα γὰρ,"ὑπὸ τοὺς πόδας αὐτοῦ. ὅταν δὲ εἴπῃ ὅτι πάντα ὑποτέτακται, δῆλον ὅτι ἐκτὸς"
ὑπέταξεν,ὑποτάσσω,aorist,active,indicative,third person,—,—,singular,verb,Ephesians 1:22,καὶ πάντα,"ὑπὸ τοὺς πόδας αὐτοῦ καὶ αὐτὸν ἔδωκεν κεφαλὴν ὑπὲρ πάντα τῇ ἐκκλησίᾳ,"
ὑπέταξεν,ὑποτάσσω,aorist,active,indicative,third person,—,—,singular,verb,Hebrews 2:5,Οὐ γὰρ ἀγγέλοις,"τὴν οἰκουμένην τὴν μέλλουσαν, περὶ ἧς λαλοῦμεν."
ὑπετάγη,ὑποτάσσω,aorist,passive,indicative,third person,—,—,singular,verb,Romans 8:20,τῇ γὰρ ματαιότητι ἡ κτίσις,", οὐχ ἑκοῦσα ἀλλὰ διὰ τὸν ὑποτάξαντα, ἐφʼ ἑλπίδι"
ὑπετάγησαν,ὑποτάσσω,aorist,passive,indicative,third person,—,—,plural,verb,Romans 10:3,"ἀγνοοῦντες γὰρ τὴν τοῦ θεοῦ δικαιοσύνην καὶ τὴν ἰδίαν [δικαιοσύνην] ζητοῦντες στῆσαι, τῇ δικαιοσύνῃ τοῦ θεοῦ οὐχ",.
ὑποτάγητε,ὑποτάσσω,aorist,passive,imperative,second person,—,—,plural,verb,James 4:7,—,"οὖν τῷ θεῷ, ἀντίστητε δὲ τῷ διαβόλῳ, καὶ φεύξεται ἀφʼ ὑμῶν·"
ὑποτάγητε,ὑποτάσσω,aorist,passive,imperative,second person,—,—,plural,verb,1 Peter 5:5,"ὁμοίως, νεώτεροι,","πρεσβυτέροις· πάντες δὲ ἀλλήλοις τὴν ταπεινοφροσύνην ἐγκομβώσασθε, ὅτι ὁ θεὸς ὑπερηφάνοις ἀντιτάσσεται, ταπεινοῖς δὲ δίδωσιν χάριν."
ὑποτάξαι,ὑποτάσσω,aorist,active,infinitive,—,—,—,—,verb,Philippians 3:21,τῷ σώματι τῆς δόξης αὐτοῦ κατὰ τὴν ἐνέργειαν τοῦ δύνασθαι αὐτὸν καὶ,αὐτῷ τὰ πάντα.
ὑποτάξαι,ὑποτάσσω,aorist,active,infinitive,—,—,—,—,verb,Hebrews 2:8,πάντα ὑπέταξας ὑποκάτω τῶν ποδῶν αὐτοῦ.  ἐν τῷ γὰρ,[αὐτῷ] τὰ πάντα οὐδὲν ἀφῆκεν αὐτῷ ἀνυπότακτον. Νῦν δὲ οὔπω ὁρῶμεν αὐτῷ τὰ πάντα ὑποτεταγμένα·
ὑποτάξαντα,ὑποτάσσω,aorist,active,participle,—,masculine,accusative,singular,verb,Romans 8:20,"τῇ γὰρ ματαιότητι ἡ κτίσις ὑπετάγη, οὐχ ἑκοῦσα ἀλλὰ διὰ τὸν",", ἐφʼ ἑλπίδι"
