Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Matthew 3:6,καὶ ἐβαπτίζοντο ἐν τῷ Ἰορδάνῃ ποταμῷ,αὐτοῦ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Matthew 3:13,Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι,αὐτοῦ.
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Matthew 8:9,"καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ἐξουσίαν , ἔχων","ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· ἔρχου, καὶ ἔρχεται"
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Matthew 17:12,ἐν αὐτῷ ὅσα ἠθέλησαν· οὕτως καὶ ὁ υἱὸς τοῦ ἀνθρώπου μέλλει πάσχειν,αὐτῶν.
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Mark 1:5,"καὶ ἐξεπορεύετο πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα καὶ οἱ Ἱεροσολυμῖται πάντες, καὶ ἐβαπτίζοντο",αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Mark 5:4,διὰ τὸ αὐτὸν πολλάκις πέδαις καὶ ἁλύσεσιν δεδέσθαι καὶ διεσπάσθαι,"αὐτοῦ τὰς ἁλύσεις καὶ τὰς πέδας συντετρῖφθαι , καὶ οὐδεὶς ἴσχυεν αὐτὸν δαμάσαι·"
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Mark 16:11,κἀκεῖνοι ἀκούσαντες ὅτι ζῇ καὶ ἐθεάθη,αὐτῆς ἠπίστησαν.
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Luke 3:7,Ἔλεγεν οὖν τοῖς ἐκπορευομένοις ὄχλοις βαπτισθῆναι,"αὐτοῦ· γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;"
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Luke 3:19,"Ὁ δὲ Ἡρῴδης ὁ τετραάρχης, ἐλεγχόμενος","αὐτοῦ περὶ Ἡρῳδιάδος τῆς γυναικὸς  τοῦ ἀδελφοῦ αὐτοῦ καὶ περὶ πάντων ὧν ἐποίησεν πονηρῶν ὁ Ἡρῴδης,"
ὑπʼ,ὑπό,—,—,—,—,—,—,—,preposition,Luke 7:8,καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ἐξουσίαν τασσόμενος ἔχων,"ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· ἔρχου, καὶ ἔρχεται"
