Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 1:24,ἐγερθεὶς δὲ ὁ Ἰωσὴφ ἀπὸ τοῦ ὕπνου ἐποίησεν,"προσέταξεν αὐτῷ ὁ ἄγγελος κυρίου καὶ παρέλαβεν τὴν γυναῖκα αὐτοῦ,"
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 5:48,ἔσεσθε οὖν ὑμεῖς τέλειοι,ὁ πατὴρ ὑμῶν ὁ οὐράνιος τέλειός ἐστιν.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 6:12,"καὶ ἄφες ἡμῖν τὰ ὀφειλήματα ἡμῶν,",καὶ ἡμεῖς ἀφήκαμεν τοῖς ὀφειλέταις ἡμῶν·
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 6:16,"Ὅταν δὲ νηστεύητε, μὴ γίνεσθε","οἱ ὑποκριταὶ σκυθρωποί, ἀφανίζουσιν γὰρ τὰ πρόσωπα αὐτῶν ὅπως φανῶσιν τοῖς ἀνθρώποις νηστεύοντες"
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 6:29,λέγω δὲ ὑμῖν ὅτι οὐδὲ Σολομὼν ἐν πάσῃ τῇ δόξῃ αὐτοῦ περιεβάλετο,ἓν τούτων.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 7:29,ἦν γὰρ διδάσκων αὐτοὺς,ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς αὐτῶν.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 7:29,ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ,οἱ γραμματεῖς αὐτῶν.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 8:13,"καὶ εἶπεν ὁ Ἰησοῦς τῷ ἑκατοντάρχῃ· ὕπαγε,",ἐπίστευσας γενηθήτω σοι. καὶ ἰάθη ὁ παῖς [αὐτοῦ] ἐν τῇ ὥρᾳ ἐκείνῃ.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 10:16,Ἰδοὺ ἐγὼ ἀποστέλλω ὑμᾶς,πρόβατα ἐν μέσῳ λύκων· γίνεσθε οὖν φρόνιμοι ὡς οἱ ὄφεις καὶ ἀκέραιοι ὡς αἱ περιστεραί.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 10:16,Ἰδοὺ ἐγὼ ἀποστέλλω ὑμᾶς ὡς πρόβατα ἐν μέσῳ λύκων· γίνεσθε οὖν φρόνιμοι,οἱ ὄφεις καὶ ἀκέραιοι ὡς αἱ περιστεραί.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 10:16,Ἰδοὺ ἐγὼ ἀποστέλλω ὑμᾶς ὡς πρόβατα ἐν μέσῳ λύκων· γίνεσθε οὖν φρόνιμοι ὡς οἱ ὄφεις καὶ ἀκέραιοι,αἱ περιστεραί.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 12:13,τότε λέγει τῷ ἀνθρώπῳ· ἔκτεινόν σου τὴν χεῖρα. καὶ ἐξέτεινεν καὶ ἀπεκατεστάθη ὑγιὴς,ἡ ἄλλη.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 13:43,τότε οἱ δίκαιοι ἐκλάμψουσιν,ὁ ἥλιος ἐν τῇ βασιλείᾳ τοῦ πατρὸς αὐτῶν. ὁ ἔχων ὦτα  ἀκουέτω.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 15:28,"τότε ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν αὐτῇ· ὦ γύναι, μεγάλη σου ἡ πίστις· γενηθήτω σοι",θέλεις. καὶ ἰάθη ἡ θυγάτηρ αὐτῆς ἀπὸ τῆς ὥρας ἐκείνης.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 18:33,"οὐκ ἔδει καὶ σὲ ἐλεῆσαι τὸν σύνδουλόν σου,",κἀγὼ σὲ ἠλέησα;
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 19:19,"τίμα τὸν πατέρα καὶ τὴν μητέρα, καὶ ἀγαπήσεις τὸν πλησίον σου",σεαυτόν.
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 20:14,ἆρον τὸ σὸν καὶ ὕπαγε. θέλω δὲ τούτῳ τῷ ἐσχάτῳ δοῦναι,καὶ σοί·
ὡς,ὡς,—,—,—,—,—,—,—,conjunction,Matthew 22:39,δευτέρα δὲ ὁμοία αὐτῇ· ἀγαπήσεις τὸν πλησίον σου,σεαυτόν.
