Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 8:24,"καὶ ἰδοὺ σεισμὸς μέγας ἐγένετο ἐν τῇ θαλάσσῃ,",ὥστε,"τὸ πλοῖον καλύπτεσθαι ὑπὸ τῶν κυμάτων, αὐτὸς δὲ ἐκάθευδεν.",ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 8:28,"τῶν Γαδαρηνῶν ὑπήντησαν αὐτῷ δύο δαιμονιζόμενοι ἐκ τῶν μνημείων ἐξερχόμενοι, χαλεποὶ λίαν,",ὥστε,μὴ ἰσχύειν τινὰ παρελθεῖν διὰ τῆς ὁδοῦ ἐκείνης.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 10:1,Καὶ προσκαλεσάμενος τοὺς δώδεκα μαθητὰς αὐτοῦ ἔδωκεν αὐτοῖς ἐξουσίαν  πνευμάτων ἀκαθάρτων,ὥστε,ἐκβάλλειν αὐτὰ καὶ θεραπεύειν πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.,ὥστε,Louw Nida 89.61,"ως, τε",conjunction,—
NA28,Matthew 12:12,πόσῳ οὖν  διαφέρει ἄνθρωπος προβάτου.,ὥστε,ἔξεστιν τοῖς σάββασιν καλῶς ποιεῖν.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 12:22,"Τότε προσηνέχθη αὐτῷ δαιμονιζόμενος τυφλὸς καὶ κωφός, καὶ ἐθεράπευσεν αὐτόν,",ὥστε,τὸν κωφὸν λαλεῖν καὶ βλέπειν.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 13:2,"καὶ συνήχθησαν πρὸς αὐτὸν ὄχλοι πολλοί,",ὥστε,"αὐτὸν εἰς  πλοῖον ἐμβάντα καθῆσθαι, καὶ πᾶς ὁ ὄχλος ἐπὶ τὸν αἰγιαλὸν εἱστήκει.",ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 13:32,"ὃ μικρότερον μέν ἐστιν πάντων τῶν σπερμάτων, ὅταν δὲ αὐξηθῇ μεῖζον τῶν λαχάνων ἐστὶν καὶ γίνεται δένδρον,",ὥστε,ἐλθεῖν τὰ πετεινὰ τοῦ οὐρανοῦ καὶ κατασκηνοῦν ἐν τοῖς κλάδοις αὐτοῦ.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 13:54,"καὶ ἐλθὼν εἰς τὴν πατρίδα αὐτοῦ ἐδίδασκεν αὐτοὺς ἐν τῇ συναγωγῇ αὐτῶν,",ὥστε,ἐκπλήσσεσθαι αὐτοὺς καὶ λέγειν· πόθεν τούτῳ  ἡ σοφία αὕτη καὶ αἱ δυνάμεις;,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 15:31,—,ὥστε,"τὸν ὄχλον θαυμάσαι βλέποντας κωφοὺς λαλοῦντας, κυλλοὺς ὑγιεῖς καὶ χωλοὺς περιπατοῦντας καὶ τυφλοὺς",ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 15:33,καὶ λέγουσιν αὐτῷ οἱ μαθηταί · πόθεν  ἡμῖν ἐν ἐρημίᾳ ἄρτοι τοσοῦτοι,ὥστε,χορτάσαι ὄχλον τοσοῦτον;,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 19:6,—,ὥστε,οὐκέτι εἰσὶν δύο ἀλλὰ σὰρξ μία. ὃ οὖν ὁ θεὸς συνέζευξεν  ἄνθρωπος μὴ χωριζέτω.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 23:31,—,ὥστε,μαρτυρεῖτε ἑαυτοῖς ὅτι υἱοί ἐστε τῶν φονευσάντων τοὺς προφήτας.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 24:24,ἐγερθήσονται γὰρ ψευδόχριστοι καὶ ψευδοπροφῆται καὶ δώσουσιν σημεῖα μεγάλα καὶ τέρατα,ὥστε,"πλανῆσαι, εἰ δυνατόν, καὶ τοὺς ἐκλεκτούς.",ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Matthew 27:1,Πρωΐας δὲ γενομένης συμβούλιον ἔλαβον πάντες οἱ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι τοῦ λαοῦ κατὰ τοῦ Ἰησοῦ,ὥστε,θανατῶσαι αὐτόν·,ὥστε,Louw Nida 89.61,"ως, τε",conjunction,—
NA28,Matthew 27:14,"καὶ οὐκ ἀπεκρίθη αὐτῷ πρὸς οὐδὲ ἓν ῥῆμα,",ὥστε,θαυμάζειν τὸν ἡγεμόνα λίαν.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Mark 1:27,καὶ ἐθαμβήθησαν ἅπαντες,ὥστε,συζητεῖν πρὸς ἑαυτοὺς λέγοντας· τί ἐστιν τοῦτο; διδαχὴ καινὴ κατʼ ἐξουσίαν· καὶ τοῖς,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Mark 1:45,"Ὁ δὲ ἐξελθὼν ἤρξατο κηρύσσειν πολλὰ καὶ διαφημίζειν τὸν λόγον,",ὥστε,"μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν, ἀλλʼ ἔξω ἐπʼ ἐρήμοις τόποις ἦν",ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Mark 2:2,καὶ  συνήχθησαν πολλοὶ,ὥστε,"μηκέτι χωρεῖν μηδὲ τὰ πρὸς τὴν θύραν, καὶ ἐλάλει αὐτοῖς τὸν λόγον.",ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Mark 2:12,"καὶ ἠγέρθη καὶ εὐθὺς ἄρας τὸν κράβαττον ἐξῆλθεν ἔμπροσθεν πάντων,",ὥστε,ἐξίστασθαι πάντας καὶ δοξάζειν τὸν θεὸν λέγοντας ὅτι οὕτως οὐδέποτε εἴδομεν.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Mark 2:28,—,ὥστε,κύριός ἐστιν ὁ υἱὸς τοῦ ἀνθρώπου καὶ τοῦ σαββάτου.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Mark 3:10,"πολλοὺς γὰρ ἐθεράπευσεν,",ὥστε,ἐπιπίπτειν αὐτῷ ἵνα αὐτοῦ ἅψωνται ὅσοι εἶχον μάστιγας.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
NA28,Mark 3:20,"Καὶ ἔρχεται εἰς οἶκον· καὶ συνέρχεται πάλιν [ὁ] ὄχλος,",ὥστε,μὴ δύνασθαι αὐτοὺς μηδὲ ἄρτον φαγεῖν.,ὥστε,Louw Nida 89.52,"ως, τε",conjunction,—
