Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 8:29,"καὶ ἰδοὺ ἔκραξαν λέγοντες· τί ἡμῖν καὶ σοί,  υἱὲ τοῦ θεοῦ; ἦλθες",πρὸ καιροῦ βασανίσαι ἡμᾶς;
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 12:6,λέγω δὲ ὑμῖν ὅτι τοῦ ἱεροῦ μεῖζόν ἐστιν,.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 12:41,"κατακρινοῦσιν αὐτήν, ὅτι μετενόησαν εἰς τὸ κήρυγμα Ἰωνᾶ, καὶ ἰδοὺ πλεῖον Ἰωνᾶ",.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 12:42,"τῶν περάτων τῆς γῆς ἀκοῦσαι τὴν σοφίαν Σολομῶνος, καὶ ἰδοὺ πλεῖον Σολομῶνος",.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 14:8,"ἡ δὲ προβιβασθεῖσα ὑπὸ τῆς μητρὸς αὐτῆς · δός μοι, φησίν,",ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 14:17,οἱ δὲ λέγουσιν αὐτῷ· οὐκ ἔχομεν,εἰ μὴ πέντε ἄρτους καὶ δύο ἰχθύας.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 14:18,ὁ δὲ εἶπεν· φέρετέ μοι,αὐτούς.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 16:28,Ἀμὴν λέγω ὑμῖν ὅτι εἰσίν τινες τῶν,ἑστώτων οἵτινες οὐ μὴ γεύσωνται θανάτου ἕως ἂν ἴδωσιν τὸν υἱὸν τοῦ ἀνθρώπου
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 17:4,"ἀποκριθεὶς δὲ ὁ Πέτρος εἶπεν τῷ Ἰησοῦ· κύριε, καλόν ἐστιν ἡμᾶς","εἶναι· εἰ θέλεις, ποιήσω ὧδε τρεῖς σκηνάς, σοὶ μίαν καὶ Μωϋσεῖ μίαν καὶ Ἠλίᾳ μίαν."
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 17:4,"ἀποκριθεὶς δὲ ὁ Πέτρος εἶπεν τῷ Ἰησοῦ· κύριε, καλόν ἐστιν ἡμᾶς ὧδε εἶναι· εἰ θέλεις, ποιήσω","τρεῖς σκηνάς, σοὶ μίαν καὶ Μωϋσεῖ μίαν καὶ Ἠλίᾳ μίαν."
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 17:17,ἕως πότε μεθʼ ὑμῶν ἔσομαι; ἕως πότε ἀνέξομαι ὑμῶν; φέρετέ μοι αὐτὸν,.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 20:6,περὶ δὲ τὴν ἑνδεκάτην  ἐξελθὼν εὗρεν ἄλλους ἑστῶτας  καὶ λέγει αὐτοῖς· τί,ἑστήκατε ὅλην τὴν ἡμέραν ἀργοί;
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 22:12,"καὶ λέγει αὐτῷ· ἑταῖρε, πῶς εἰσῆλθες",μὴ ἔχων ἔνδυμα γάμου; ὁ δὲ ἐφιμώθη.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 24:2,"ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· οὐ βλέπετε ταῦτα πάντα; ἀμὴν λέγω ὑμῖν, οὐ μὴ ἀφεθῇ",λίθος ἐπὶ λίθον ὃς οὐ καταλυθήσεται.
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 24:23,Τότε ἐάν τις ὑμῖν εἴπῃ· ἰδοὺ,"ὁ χριστός, ἤ· ὧδε, μὴ πιστεύσητε·"
ὧδε,ὧδε,—,—,—,—,—,—,—,adverb,Matthew 24:23,"Τότε ἐάν τις ὑμῖν εἴπῃ· ἰδοὺ ὧδε ὁ χριστός, ἤ·",", μὴ πιστεύσητε·"
