Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἔβαλον,βάλλω,aorist,active,indicative,third person,plural,Matthew 13:48,"ἣν ὅτε ἐπληρώθη ἀναβιβάσαντες ἐπὶ τὸν αἰγιαλὸν καὶ καθίσαντες συνέλεξαν τὰ καλὰ εἰς ἄγγη, τὰ δὲ σαπρὰ ἔξω",.
ἔβαλον,βάλλω,aorist,active,indicative,third person,plural,John 19:24,ἡ λέγουσα]·        διεμερίσαντο τὰ ἱμάτιά μου ἑαυτοῖς           καὶ ἐπὶ τὸν ἱματισμόν μου,κλῆρον.  Οἱ μὲν οὖν στρατιῶται ταῦτα ἐποίησαν.
ἔβαλον,βάλλω,aorist,active,indicative,third person,plural,Mark 12:44,πάντες γὰρ ἐκ τοῦ περισσεύοντος αὐτοῖς,", αὕτη δὲ ἐκ τῆς ὑστερήσεως αὐτῆς πάντα ὅσα εἶχεν ἔβαλεν ὅλον τὸν βίον αὐτῆς."
ἔβαλον,βάλλω,aorist,active,indicative,third person,plural,Luke 21:4,πάντες γὰρ οὗτοι ἐκ τοῦ περισσεύοντος αὐτοῖς,"εἰς τὰ δῶρα, αὕτη δὲ ἐκ τοῦ ὑστερήματος αὐτῆς πάντα τὸν βίον ὃν εἶχεν ἔβαλεν."
ἔβαλον,βάλλω,aorist,active,indicative,third person,plural,Luke 23:34,"⟦ὁ δὲ Ἰησοῦς ἔλεγεν· πάτερ, ἄφες αὐτοῖς, οὐ γὰρ οἴδασιν τί ποιοῦσιν.⟧ διαμεριζόμενοι δὲ τὰ ἱμάτια αὐτοῦ",κλήρους.
ἔβαλον,βάλλω,aorist,active,indicative,third person,plural,John 21:6,"ὁ δὲ εἶπεν αὐτοῖς· βάλετε εἰς τὰ δεξιὰ μέρη τοῦ πλοίου τὸ δίκτυον, καὶ εὑρήσετε.","οὖν, καὶ οὐκέτι αὐτὸ ἑλκύσαι ἴσχυον ἀπὸ τοῦ πλήθους τῶν ἰχθύων."
ἔβαλον,βάλλω,aorist,active,indicative,third person,plural,Acts 16:23,πολλάς τε ἐπιθέντες αὐτοῖς πληγὰς,εἰς φυλακὴν παραγγείλαντες τῷ δεσμοφύλακι ἀσφαλῶς τηρεῖν αὐτούς.
ἔβαλον,βάλλω,aorist,active,indicative,third person,plural,Revelation 18:19,καὶ,χοῦν ἐπὶ τὰς κεφαλὰς αὐτῶν καὶ ἔκραζον κλαίοντες καὶ πενθοῦντες λέγοντες·      οὐαὶ οὐαί
ἔβαλλον,βάλλω,imperfect,active,indicative,third person,plural,Mark 12:41,Καὶ καθίσας κατέναντι τοῦ γαζοφυλακίου ἐθεώρει πῶς ὁ ὄχλος βάλλει χαλκὸν εἰς τὸ γαζοφυλάκιον. καὶ πολλοὶ πλούσιοι,πολλά·
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,John 21:7,"ἀκούσας ὅτι ὁ κύριός ἐστιν τὸν ἐπενδύτην διεζώσατο, ἦν γὰρ γυμνός, καὶ","ἑαυτὸν εἰς τὴν θάλασσαν,"
