Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐβαπτίζοντο,βαπτίζω,imperfect,passive,indicative,third person,—,—,plural,Matthew 3:6,καὶ,ἐν τῷ Ἰορδάνῃ ποταμῷ ὑπʼ αὐτοῦ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.
βαπτίζω,βαπτίζω,present,active,indicative,first person,—,—,singular,Matthew 3:11,Ἐγὼ μὲν ὑμᾶς,"ἐν ὕδατι εἰς μετάνοιαν, ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ"
βαπτίσει,βαπτίζω,future,active,indicative,third person,—,—,singular,Matthew 3:11,"ἰσχυρότερός μού ἐστιν, οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι· αὐτὸς ὑμᾶς",ἐν πνεύματι ἁγίῳ καὶ πυρί·
βαπτισθῆναι,βαπτίζω,aorist,passive,infinitive,—,—,—,—,Matthew 3:13,Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ,ὑπʼ αὐτοῦ.
βαπτισθῆναι,βαπτίζω,aorist,passive,infinitive,—,—,—,—,Matthew 3:14,ὁ δὲ Ἰωάννης διεκώλυεν αὐτὸν λέγων· ἐγὼ χρείαν ἔχω ὑπὸ σοῦ,", καὶ σὺ ἔρχῃ πρός με;"
βαπτισθεὶς,βαπτίζω,aorist,passive,participle,—,masculine,nominative,singular,Matthew 3:16,—,δὲ ὁ Ἰησοῦς εὐθὺς ἀνέβη ἀπὸ τοῦ ὕδατος· καὶ ἰδοὺ ἠνεῴχθησαν [αὐτῷ] οἱ
βαπτίζοντες,βαπτίζω,present,active,participle,—,masculine,nominative,plural,Matthew 28:19,"πορευθέντες οὖν μαθητεύσατε πάντα τὰ ἔθνη,","αὐτοὺς εἰς τὸ ὄνομα τοῦ πατρὸς καὶ τοῦ υἱοῦ καὶ τοῦ ἁγίου πνεύματος,"
βαπτίζων,βαπτίζω,present,active,participle,—,masculine,nominative,singular,Mark 1:4,ἐγένετο Ἰωάννης [ὁ],ἐν τῇ ἐρήμῳ καὶ κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν.
ἐβαπτίζοντο,βαπτίζω,imperfect,passive,indicative,third person,—,—,plural,Mark 1:5,"καὶ ἐξεπορεύετο πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα καὶ οἱ Ἱεροσολυμῖται πάντες, καὶ",ὑπʼ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.
ἐβάπτισα,βαπτίζω,aorist,active,indicative,first person,—,—,singular,Mark 1:8,ἐγὼ,"ὑμᾶς  ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ἐν πνεύματι ἁγίῳ."
βαπτίσει,βαπτίζω,future,active,indicative,third person,—,—,singular,Mark 1:8,"ἐγὼ ἐβάπτισα ὑμᾶς  ὕδατι, αὐτὸς δὲ",ὑμᾶς ἐν πνεύματι ἁγίῳ.
ἐβαπτίσθη,βαπτίζω,aorist,passive,indicative,third person,—,—,singular,Mark 1:9,Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ,εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου.
