Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Matthew 6:10,ἐλθέτω ἡ,"σου·        γενηθήτω τὸ θέλημά σου,        ὡς ἐν οὐρανῷ καὶ ἐπὶ  γῆς·"
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Matthew 12:25,Εἰδὼς δὲ τὰς ἐνθυμήσεις αὐτῶν εἶπεν αὐτοῖς· πᾶσα,μερισθεῖσα καθʼ ἑαυτῆς ἐρημοῦται καὶ πᾶσα πόλις ἢ οἰκία μερισθεῖσα καθʼ ἑαυτῆς οὐ σταθήσεται.
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Matthew 12:26,"καὶ εἰ ὁ σατανᾶς τὸν σατανᾶν ἐκβάλλει, ἐφʼ ἑαυτὸν ἐμερίσθη· πῶς οὖν σταθήσεται ἡ",αὐτοῦ;
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Matthew 24:7,ἐγερθήσεται γὰρ ἔθνος ἐπὶ ἔθνος καὶ,ἐπὶ βασιλείαν καὶ ἔσονται λιμοὶ καὶ σεισμοὶ κατὰ τόπους·
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Mark 3:24,καὶ ἐὰν,"ἐφʼ ἑαυτὴν μερισθῇ, οὐ δύναται σταθῆναι ἡ βασιλεία ἐκείνη·"
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Mark 3:24,"καὶ ἐὰν βασιλεία ἐφʼ ἑαυτὴν μερισθῇ, οὐ δύναται σταθῆναι ἡ",ἐκείνη·
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Mark 11:10,εὐλογημένη ἡ ἐρχομένη,τοῦ πατρὸς ἡμῶν Δαυίδ·        ὡσαννὰ ἐν τοῖς ὑψίστοις.
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Mark 13:8,ἐγερθήσεται γὰρ ἔθνος ἐπʼ ἔθνος καὶ,"ἐπὶ βασιλείαν,  ἔσονται σεισμοὶ κατὰ τόπους, ἔσονται λιμοί · ἀρχὴ ὠδίνων ταῦτα."
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Luke 11:2,"εἶπεν δὲ αὐτοῖς· ὅταν προσεύχησθε  λέγετε·        Πάτερ,        ἁγιασθήτω τὸ ὄνομά σου·        ἐλθέτω ἡ",σου·
βασιλεία,βασιλεία,—,—,—,—,feminine,nominative,singular,noun,Luke 11:17,αὐτὸς δὲ εἰδὼς αὐτῶν τὰ διανοήματα εἶπεν αὐτοῖς· πᾶσα,ἐφʼ ἑαυτὴν διαμερισθεῖσα ἐρημοῦται καὶ οἶκος ἐπὶ οἶκον πίπτει.
