Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἔβλεψα,βλέπω,aorist,active,indicative,first person,singular,Revelation 22:8,Κἀγὼ Ἰωάννης ὁ ἀκούων καὶ βλέπων ταῦτα. καὶ ὅτε ἤκουσα καὶ,", ἔπεσα προσκυνῆσαι ἔμπροσθεν τῶν ποδῶν τοῦ ἀγγέλου τοῦ δεικνύοντός μοι ταῦτα."
ἔβλεπον,βλέπω,imperfect,active,indicative,third person,plural,John 13:22,—,εἰς ἀλλήλους οἱ μαθηταὶ  ἀπορούμενοι περὶ τίνος λέγει.
ἔβλεπεν,βλέπω,imperfect,active,indicative,third person,singular,Acts 9:8,"ἠγέρθη δὲ Σαῦλος ἀπὸ τῆς γῆς, ἀνεῳγμένων δὲ τῶν ὀφθαλμῶν αὐτοῦ οὐδὲν",· χειραγωγοῦντες δὲ αὐτὸν εἰσήγαγον εἰς Δαμασκόν.
βλεπόντων,βλέπω,present,active,participle,—,plural,Acts 1:9,Καὶ ταῦτα εἰπὼν,αὐτῶν ἐπήρθη καὶ νεφέλη ὑπέλαβεν αὐτὸν ἀπὸ τῶν ὀφθαλμῶν αὐτῶν.
βλεπόντων,βλέπω,present,active,participle,—,plural,Revelation 17:8,"οὐ γέγραπται τὸ ὄνομα ἐπὶ τὸ βιβλίον τῆς ζωῆς ἀπὸ καταβολῆς κόσμου,",τὸ θηρίον ὅτι ἦν καὶ οὐκ ἔστιν καὶ παρέσται.
βλεπόμενον,βλέπω,present,passive,participle,—,singular,Hebrews 11:3,"Πίστει νοοῦμεν κατηρτίσθαι τοὺς αἰῶνας ῥήματι θεοῦ, εἰς τὸ μὴ ἐκ φαινομένων τὸ",γεγονέναι.
βλεπόμενα,βλέπω,present,passive,participle,—,plural,2 Corinthians 4:18,μὴ σκοπούντων ἡμῶν τὰ,"ἀλλὰ τὰ μὴ βλεπόμενα· τὰ γὰρ βλεπόμενα πρόσκαιρα, τὰ δὲ μὴ βλεπόμενα αἰώνια."
βλεπόμενα,βλέπω,present,passive,participle,—,plural,2 Corinthians 4:18,μὴ σκοπούντων ἡμῶν τὰ βλεπόμενα ἀλλὰ τὰ μὴ,"· τὰ γὰρ βλεπόμενα πρόσκαιρα, τὰ δὲ μὴ βλεπόμενα αἰώνια."
βλεπόμενα,βλέπω,present,passive,participle,—,plural,2 Corinthians 4:18,μὴ σκοπούντων ἡμῶν τὰ βλεπόμενα ἀλλὰ τὰ μὴ βλεπόμενα· τὰ γὰρ,"πρόσκαιρα, τὰ δὲ μὴ βλεπόμενα αἰώνια."
βλεπόμενα,βλέπω,present,passive,participle,—,plural,2 Corinthians 4:18,"μὴ σκοπούντων ἡμῶν τὰ βλεπόμενα ἀλλὰ τὰ μὴ βλεπόμενα· τὰ γὰρ βλεπόμενα πρόσκαιρα, τὰ δὲ μὴ",αἰώνια.
