Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
Ἐγένοντο,γίνομαι,aorist,middle,indicative,third person,plural,2 Peter 2:1,—,"δὲ καὶ ψευδοπροφῆται ἐν τῷ λαῷ, ὡς καὶ ἐν ὑμῖν ἔσονται ψευδοδιδάσκαλοι οἵτινες"
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 1:5,—,ἐν ταῖς ἡμέραις Ἡρῴδου  βασιλέως τῆς Ἰουδαίας ἱερεύς τις ὀνόματι Ζαχαρίας ἐξ ἐφημερίας
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 1:8,—,"δὲ ἐν τῷ ἱερατεύειν αὐτὸν ἐν τῇ τάξει τῆς ἐφημερίας αὐτοῦ ἔναντι τοῦ θεοῦ,"
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 2:1,—,δὲ ἐν ταῖς ἡμέραις ἐκείναις ἐξῆλθεν δόγμα παρὰ Καίσαρος Αὐγούστου ἀπογράφεσθαι πᾶσαν τὴν οἰκουμένην.
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 2:6,—,"δὲ ἐν τῷ εἶναι αὐτοὺς ἐκεῖ ἐπλήσθησαν αἱ ἡμέραι τοῦ τεκεῖν αὐτήν,"
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 3:21,—,δὲ ἐν τῷ βαπτισθῆναι ἅπαντα τὸν λαὸν καὶ Ἰησοῦ βαπτισθέντος καὶ προσευχομένου ἀνεῳχθῆναι τὸν οὐρανὸν
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 5:1,—,δὲ ἐν τῷ τὸν ὄχλον ἐπικεῖσθαι αὐτῷ καὶ ἀκούειν τὸν λόγον τοῦ θεοῦ
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 6:1,—,"δὲ ἐν σαββάτῳ διαπορεύεσθαι αὐτὸν διὰ σπορίμων, καὶ ἔτιλλον οἱ μαθηταὶ αὐτοῦ καὶ"
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 6:6,—,δὲ ἐν ἑτέρῳ σαββάτῳ εἰσελθεῖν αὐτὸν εἰς τὴν συναγωγὴν καὶ διδάσκειν. καὶ ἦν
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 6:12,—,"δὲ ἐν ταῖς ἡμέραις ταύταις ἐξελθεῖν αὐτὸν εἰς τὸ ὄρος προσεύξασθαι, καὶ ἦν"
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 8:22,—,δὲ ἐν μιᾷ τῶν ἡμερῶν καὶ αὐτὸς ἐνέβη εἰς πλοῖον καὶ οἱ μαθηταὶ
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 9:28,—,δὲ μετὰ τοὺς λόγους τούτους ὡσεὶ ἡμέραι ὀκτὼ [καὶ] παραλαβὼν Πέτρον καὶ Ἰωάννην
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 9:37,—,δὲ τῇ ἑξῆς ἡμέρᾳ κατελθόντων αὐτῶν ἀπὸ τοῦ ὄρους συνήντησεν αὐτῷ ὄχλος πολύς.
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 9:51,—,δὲ ἐν τῷ συμπληροῦσθαι τὰς ἡμέρας τῆς ἀναλήμψεως αὐτοῦ καὶ αὐτὸς τὸ πρόσωπον
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 11:27,—,δὲ ἐν τῷ λέγειν αὐτὸν ταῦτα ἐπάρασά τις φωνὴν γυνὴ ἐκ τοῦ ὄχλου
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 18:35,—,δὲ ἐν τῷ ἐγγίζειν αὐτὸν εἰς Ἰεριχὼ τυφλός τις ἐκάθητο παρὰ τὴν ὁδὸν ἐπαιτῶν.
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Luke 22:24,—,"δὲ καὶ φιλονεικία ἐν αὐτοῖς, τὸ τίς αὐτῶν δοκεῖ εἶναι μείζων."
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,John 1:6,—,"ἄνθρωπος, ἀπεσταλμένος παρὰ θεοῦ,  ὄνομα αὐτῷ Ἰωάννης·"
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,John 3:25,—,οὖν ζήτησις ἐκ τῶν μαθητῶν Ἰωάννου μετὰ Ἰουδαίου περὶ καθαρισμοῦ.
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,John 10:22,—,"τότε τὰ ἐγκαίνια ἐν τοῖς Ἱεροσολύμοις, χειμὼν ἦν,"
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Acts 4:5,—,"δὲ ἐπὶ τὴν αὔριον συναχθῆναι αὐτῶν τοὺς ἄρχοντας καὶ τοὺς πρεσβυτέρους καὶ τοὺς γραμματεῖς ἐν Ἰερουσαλήμ,"
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Acts 5:7,—,δὲ ὡς ὡρῶν τριῶν διάστημα καὶ ἡ γυνὴ αὐτοῦ μὴ εἰδυῖα τὸ γεγονὸς εἰσῆλθεν.
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Acts 8:1,Σαῦλος δὲ ἦν συνευδοκῶν τῇ ἀναιρέσει αὐτοῦ.,δὲ ἐν ἐκείνῃ τῇ ἡμέρᾳ διωγμὸς μέγας  ἐπὶ τὴν ἐκκλησίαν τὴν ἐν Ἱεροσολύμοις
Ἐγένετο,γίνομαι,aorist,middle,indicative,third person,singular,Acts 9:19,καὶ λαβὼν τροφὴν ἐνίσχυσεν.,δὲ μετὰ τῶν ἐν Δαμασκῷ μαθητῶν ἡμέρας τινὰς
