Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
γραφάς,γραφή,—,—,—,—,feminine,accusative,plural,noun,Luke 24:32,"ἐν ἡμῖν] ὡς ἐλάλει ἡμῖν ἐν τῇ ὁδῷ,  ὡς διήνοιγεν ἡμῖν τὰς",;
γραφάς,γραφή,—,—,—,—,feminine,accusative,plural,noun,Luke 24:45,τότε διήνοιξεν αὐτῶν τὸν νοῦν τοῦ συνιέναι τὰς,·
γραφάς,γραφή,—,—,—,—,feminine,accusative,plural,noun,John 5:39,ἐραυνᾶτε τὰς,", ὅτι ὑμεῖς δοκεῖτε ἐν αὐταῖς ζωὴν αἰώνιον ἔχειν· καὶ ἐκεῖναί εἰσιν αἱ μαρτυροῦσαι περὶ ἐμοῦ·"
γραφή,γραφή,—,—,—,—,feminine,nominative,singular,noun,John 7:38,"ὁ πιστεύων εἰς ἐμέ, καθὼς εἶπεν ἡ",", ποταμοὶ ἐκ τῆς κοιλίας αὐτοῦ ῥεύσουσιν ὕδατος ζῶντος."
γραφή,γραφή,—,—,—,—,feminine,nominative,singular,noun,John 10:35,"εἰ ἐκείνους εἶπεν θεοὺς πρὸς οὓς ὁ λόγος τοῦ θεοῦ ἐγένετο, καὶ οὐ δύναται λυθῆναι ἡ",","
γραφή,γραφή,—,—,—,—,feminine,nominative,singular,noun,John 19:28,"Μετὰ τοῦτο εἰδὼς ὁ Ἰησοῦς ὅτι ἤδη πάντα τετέλεσται, ἵνα τελειωθῇ ἡ",", λέγει· διψῶ."
γραφή,γραφή,—,—,—,—,feminine,nominative,singular,noun,Romans 10:11,λέγει γὰρ ἡ,· πᾶς ὁ πιστεύων ἐπʼ αὐτῷ οὐ καταισχυνθήσεται.
γραφή,γραφή,—,—,—,—,feminine,nominative,singular,noun,Romans 11:2,οὐκ ἀπώσατο ὁ θεὸς τὸν λαὸν αὐτοῦ ὃν προέγνω. ἢ οὐκ οἴδατε ἐν Ἠλίᾳ τί λέγει ἡ,", ὡς ἐντυγχάνει τῷ θεῷ κατὰ τοῦ Ἰσραήλ;"
γραφή,γραφή,—,—,—,—,feminine,nominative,singular,noun,Galatians 4:30,ἀλλὰ τί λέγει ἡ,; ἔκβαλε τὴν παιδίσκην καὶ τὸν υἱὸν αὐτῆς· οὐ γὰρ μὴ κληρονομήσει ὁ υἱὸς
γραφή,γραφή,—,—,—,—,feminine,nominative,singular,noun,1 Timothy 5:18,λέγει γὰρ ἡ,"· βοῦν ἀλοῶντα οὐ φιμώσεις, καί· ἄξιος ὁ ἐργάτης τοῦ μισθοῦ αὐτοῦ."
