Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐδεξάμεθα,δέχομαι,aorist,middle,indicative,first person,plural,Acts 28:21,οἱ δὲ πρὸς αὐτὸν εἶπαν· ἡμεῖς οὔτε γράμματα περὶ σοῦ,ἀπὸ τῆς Ἰουδαίας οὔτε παραγενόμενός τις τῶν ἀδελφῶν ἀπήγγειλεν ἢ ἐλάλησέν τι περὶ σοῦ πονηρόν.
ἐδέξατο,δέχομαι,aorist,middle,indicative,third person,singular,Luke 2:28,καὶ αὐτὸς,αὐτὸ εἰς τὰς ἀγκάλας  καὶ εὐλόγησεν τὸν θεὸν καὶ εἶπεν·
ἐδέξατο,δέχομαι,aorist,middle,indicative,third person,singular,Acts 7:38,"τοῦ λαλοῦντος αὐτῷ ἐν τῷ ὄρει Σινᾶ καὶ τῶν πατέρων ἡμῶν, ὃς","λόγια ζῶντα δοῦναι ἡμῖν,"
ἐδέξατο,δέχομαι,aorist,middle,indicative,third person,singular,2 Corinthians 8:17,ὅτι τὴν μὲν παράκλησιν,", σπουδαιότερος δὲ ὑπάρχων αὐθαίρετος ἐξῆλθεν πρὸς ὑμᾶς."
ἐδέξασθε,δέχομαι,aorist,middle,indicative,second person,plural,2 Corinthians 7:15,"καὶ τὰ σπλάγχνα αὐτοῦ περισσοτέρως εἰς ὑμᾶς ἐστιν ἀναμιμνῃσκομένου τὴν πάντων ὑμῶν ὑπακοήν, ὡς μετὰ φόβου καὶ τρόμου",αὐτόν.
ἐδέξασθε,δέχομαι,aorist,middle,indicative,second person,plural,2 Corinthians 11:4,"ἢ πνεῦμα ἕτερον λαμβάνετε ὃ οὐκ ἐλάβετε, ἢ εὐαγγέλιον ἕτερον ὃ οὐκ",", καλῶς ἀνέχεσθε."
ἐδέξασθε,δέχομαι,aorist,middle,indicative,second person,plural,1 Thessalonians 2:13,"Καὶ διὰ τοῦτο καὶ ἡμεῖς εὐχαριστοῦμεν τῷ θεῷ ἀδιαλείπτως, ὅτι παραλαβόντες λόγον ἀκοῆς παρʼ ἡμῶν τοῦ θεοῦ","οὐ λόγον ἀνθρώπων ἀλλὰ καθώς ἐστιν ἀληθῶς λόγον θεοῦ, ὃς καὶ ἐνεργεῖται ἐν ὑμῖν τοῖς πιστεύουσιν."
ἐδέξασθέ,δέχομαι,aorist,middle,indicative,second person,plural,Galatians 4:14,"καὶ τὸν πειρασμὸν ὑμῶν ἐν τῇ σαρκί μου οὐκ ἐξουθενήσατε οὐδὲ ἐξεπτύσατε, ἀλλʼ ὡς ἄγγελον θεοῦ","με, ὡς Χριστὸν Ἰησοῦν."
ἐδέξαντο,δέχομαι,aorist,middle,indicative,third person,plural,Luke 9:53,καὶ οὐκ,"αὐτόν, ὅτι τὸ πρόσωπον αὐτοῦ ἦν πορευόμενον εἰς Ἰερουσαλήμ."
ἐδέξαντο,δέχομαι,aorist,middle,indicative,third person,plural,John 4:45,"ὅτε οὖν ἦλθεν εἰς τὴν Γαλιλαίαν,","αὐτὸν οἱ Γαλιλαῖοι πάντα ἑωρακότες ὅσα ἐποίησεν ἐν Ἱεροσολύμοις ἐν τῇ ἑορτῇ, καὶ"
