Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
δέδοται,δίδωμι,perfect,passive,indicative,third person,—,—,singular,verb,Matthew 13:11,ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· ὅτι ὑμῖν,"γνῶναι τὰ μυστήρια τῆς βασιλείας τῶν οὐρανῶν, ἐκείνοις δὲ οὐ δέδοται."
δέδοται,δίδωμι,perfect,passive,indicative,third person,—,—,singular,verb,Matthew 13:11,"ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· ὅτι ὑμῖν δέδοται γνῶναι τὰ μυστήρια τῆς βασιλείας τῶν οὐρανῶν, ἐκείνοις δὲ οὐ",.
δέδοται,δίδωμι,perfect,passive,indicative,third person,—,—,singular,verb,Matthew 19:11,ὁ δὲ εἶπεν αὐτοῖς· οὐ πάντες χωροῦσιν τὸν λόγον [τοῦτον] ἀλλʼ οἷς,.
δέδοται,δίδωμι,perfect,passive,indicative,third person,—,—,singular,verb,Mark 4:11,καὶ ἔλεγεν αὐτοῖς· ὑμῖν τὸ μυστήριον,"τῆς βασιλείας τοῦ θεοῦ· ἐκείνοις δὲ τοῖς ἔξω ἐν παραβολαῖς τὰ πάντα γίνεται,"
δέδοται,δίδωμι,perfect,passive,indicative,third person,—,—,singular,verb,Luke 8:10,ὁ δὲ εἶπεν· ὑμῖν,"γνῶναι τὰ μυστήρια τῆς βασιλείας τοῦ θεοῦ,  τοῖς δὲ λοιποῖς ἐν παραβολαῖς, ἵνα"
δέδοται,δίδωμι,perfect,passive,indicative,third person,—,—,singular,verb,1 Corinthians 11:15,γυνὴ δὲ ἐὰν κομᾷ δόξα αὐτῇ ἐστιν; ὅτι ἡ κόμη ἀντὶ περιβολαίου,[αὐτῇ].
δέδωκάς,δίδωμι,perfect,active,indicative,second person,—,—,singular,verb,John 17:4,ἐγώ σε ἐδόξασα ἐπὶ τῆς γῆς τὸ ἔργον τελειώσας ὃ,μοι ἵνα ποιήσω·
δέδωκάς,δίδωμι,perfect,active,indicative,second person,—,—,singular,verb,John 17:7,νῦν ἔγνωκαν ὅτι πάντα ὅσα,μοι παρὰ σοῦ εἰσιν·
δέδωκάς,δίδωμι,perfect,active,indicative,second person,—,—,singular,verb,John 17:9,"Ἐγὼ περὶ αὐτῶν ἐρωτῶ, οὐ περὶ τοῦ κόσμου ἐρωτῶ ἀλλὰ περὶ ὧν","μοι, ὅτι σοί εἰσιν,"
δέδωκάς,δίδωμι,perfect,active,indicative,second person,—,—,singular,verb,John 17:11,"πρὸς σὲ ἔρχομαι. πάτερ ἅγιε, τήρησον αὐτοὺς ἐν τῷ ὀνόματί σου ᾧ","μοι, ἵνα ὦσιν ἓν καθὼς  ἡμεῖς."
δέδωκάς,δίδωμι,perfect,active,indicative,second person,—,—,singular,verb,John 17:12,ὅτε ἤμην μετʼ αὐτῶν  ἐγὼ ἐτήρουν αὐτοὺς ἐν τῷ ὀνόματί σου ᾧ,"μοι, καὶ ἐφύλαξα, καὶ οὐδεὶς ἐξ αὐτῶν ἀπώλετο εἰ μὴ ὁ υἱὸς τῆς"
δέδωκάς,δίδωμι,perfect,active,indicative,second person,—,—,singular,verb,John 17:22,κἀγὼ τὴν δόξαν ἣν,"μοι δέδωκα αὐτοῖς, ἵνα ὦσιν ἓν καθὼς ἡμεῖς ἕν·"
