Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,1 Corinthians 15:53,—,γὰρ τὸ φθαρτὸν τοῦτο ἐνδύσασθαι ἀφθαρσίαν καὶ τὸ θνητὸν τοῦτο ἐνδύσασθαι ἀθανασίαν.
δέον,δεῖ,present,active,participle,—,neuter,nominative,singular,verb,Acts 19:36,ἀναντιρρήτων οὖν ὄντων τούτων,ἐστὶν ὑμᾶς κατεσταλμένους ὑπάρχειν καὶ μηδὲν προπετὲς πράσσειν.
δέον,δεῖ,present,active,participle,—,neuter,nominative,singular,verb,1 Peter 1:6,"ἐν ᾧ ἀγαλλιᾶσθε, ὀλίγον ἄρτι, εἰ","ἐστίν, λυπηθέντας ἐν ποικίλοις πειρασμοῖς,"
δέοντα,δεῖ,present,active,participle,—,neuter,accusative,plural,verb,1 Timothy 5:13,"οὐ μόνον δὲ ἀργαὶ ἀλλὰ καὶ φλύαροι καὶ περίεργοι, λαλοῦσαι τὰ μὴ",.
δέῃ,δεῖ,present,active,subjunctive,third person,—,—,singular,verb,Matthew 26:35,λέγει αὐτῷ ὁ Πέτρος· κἂν,"με σὺν σοὶ ἀποθανεῖν, οὐ μή σε ἀπαρνήσομαι. ὁμοίως καὶ πάντες οἱ μαθηταὶ εἶπαν."
δέῃ,δεῖ,present,active,subjunctive,third person,—,—,singular,verb,Mark 14:31,ὁ δὲ ἐκπερισσῶς ἐλάλει· ἐὰν,"με συναποθανεῖν σοι, οὐ μή σε ἀπαρνήσομαι. ὡσαύτως δὲ καὶ πάντες ἔλεγον."
δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,Matthew 16:21,Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς δεικνύειν τοῖς μαθηταῖς αὐτοῦ ὅτι,αὐτὸν εἰς Ἱεροσόλυμα ἀπελθεῖν καὶ πολλὰ παθεῖν ἀπὸ τῶν πρεσβυτέρων καὶ ἀρχιερέων καὶ
δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,Matthew 17:10,Καὶ ἐπηρώτησαν αὐτὸν οἱ μαθηταὶ  λέγοντες· τί οὖν οἱ γραμματεῖς λέγουσιν ὅτι Ἠλίαν,ἐλθεῖν πρῶτον;
δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,Matthew 24:6,μελλήσετε δὲ ἀκούειν πολέμους καὶ ἀκοὰς πολέμων· ὁρᾶτε μὴ θροεῖσθε·,"γὰρ  γενέσθαι, ἀλλʼ οὔπω ἐστὶν τὸ τέλος."
δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,Matthew 26:54,πῶς οὖν πληρωθῶσιν αἱ γραφαὶ ὅτι οὕτως,γενέσθαι;
δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,Mark 8:31,Καὶ ἤρξατο διδάσκειν αὐτοὺς ὅτι,τὸν υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ὑπὸ τῶν πρεσβυτέρων καὶ τῶν
δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,Mark 9:11,Καὶ ἐπηρώτων αὐτὸν λέγοντες· ὅτι λέγουσιν οἱ γραμματεῖς ὅτι Ἠλίαν,ἐλθεῖν πρῶτον;
δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,Mark 13:7,"ὅταν δὲ ἀκούσητε πολέμους καὶ ἀκοὰς πολέμων, μὴ θροεῖσθε·","γενέσθαι, ἀλλʼ οὔπω τὸ τέλος."
δεῖ,δεῖ,present,active,indicative,third person,—,—,singular,verb,Mark 13:10,καὶ εἰς πάντα τὰ ἔθνη πρῶτον,κηρυχθῆναι τὸ εὐαγγέλιον.
