Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Matthew 8:19,καὶ προσελθὼν εἷς γραμματεὺς εἶπεν αὐτῷ·,", ἀκολουθήσω σοι ὅπου ἐὰν ἀπέρχῃ."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Matthew 12:38,Τότε ἀπεκρίθησαν αὐτῷ τινες τῶν γραμματέων καὶ Φαρισαίων λέγοντες·,", θέλομεν ἀπὸ σοῦ σημεῖον ἰδεῖν."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Matthew 19:16,Καὶ ἰδοὺ εἷς προσελθὼν αὐτῷ εἶπεν·,", τί ἀγαθὸν ποιήσω ἵνα σχῶ ζωὴν αἰώνιον;"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Matthew 22:16,καὶ ἀποστέλλουσιν αὐτῷ τοὺς μαθητὰς αὐτῶν μετὰ τῶν Ἡρῳδιανῶν λέγοντες·,", οἴδαμεν ὅτι ἀληθὴς εἶ καὶ τὴν ὁδὸν τοῦ θεοῦ ἐν ἀληθείᾳ διδάσκεις καὶ"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Matthew 22:24,λέγοντες·,", Μωϋσῆς εἶπεν· ἐάν τις ἀποθάνῃ μὴ ἔχων τέκνα, ἐπιγαμβρεύσει ὁ ἀδελφὸς αὐτοῦ τὴν"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Matthew 22:36,—,", ποία ἐντολὴ μεγάλη ἐν τῷ νόμῳ;"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 4:38,καὶ αὐτὸς ἦν ἐν τῇ πρύμνῃ ἐπὶ τὸ προσκεφάλαιον καθεύδων. καὶ ἐγείρουσιν αὐτὸν καὶ λέγουσιν αὐτῷ·,", οὐ μέλει σοι ὅτι ἀπολλύμεθα;"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 9:17,Καὶ ἀπεκρίθη αὐτῷ εἷς ἐκ τοῦ ὄχλου·,", ἤνεγκα τὸν υἱόν μου πρὸς σέ, ἔχοντα πνεῦμα ἄλαλον·"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 9:38,Ἔφη αὐτῷ ὁ Ἰωάννης·,", εἴδομέν τινα ἐν τῷ ὀνόματί σου ἐκβάλλοντα δαιμόνια καὶ ἐκωλύομεν αὐτόν, ὅτι οὐκ ἠκολούθει ἡμῖν."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 10:17,Καὶ ἐκπορευομένου αὐτοῦ εἰς ὁδὸν προσδραμὼν εἷς καὶ γονυπετήσας αὐτὸν ἐπηρώτα αὐτόν·,"ἀγαθέ, τί ποιήσω ἵνα ζωὴν αἰώνιον κληρονομήσω;"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 10:20,ὁ δὲ ἔφη αὐτῷ·,", ταῦτα πάντα ἐφυλαξάμην ἐκ νεότητός μου."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 10:35,Καὶ προσπορεύονται αὐτῷ Ἰάκωβος καὶ Ἰωάννης οἱ υἱοὶ Ζεβεδαίου λέγοντες αὐτῷ·,", θέλομεν ἵνα ὃ ἐὰν αἰτήσωμέν σε ποιήσῃς ἡμῖν."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 12:14,καὶ ἐλθόντες λέγουσιν αὐτῷ·,", οἴδαμεν ὅτι ἀληθὴς εἶ καὶ οὐ μέλει σοι περὶ οὐδενός· οὐ γὰρ βλέπεις"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 12:19,—,", Μωϋσῆς ἔγραψεν ἡμῖν ὅτι ἐάν τινος ἀδελφὸς ἀποθάνῃ καὶ καταλίπῃ γυναῖκα καὶ μὴ"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 12:32,"Καὶ εἶπεν αὐτῷ ὁ γραμματεύς· καλῶς,",", ἐπʼ ἀληθείας εἶπες ὅτι εἷς ἐστιν καὶ οὐκ ἔστιν ἄλλος πλὴν αὐτοῦ·"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Mark 13:1,Καὶ ἐκπορευομένου αὐτοῦ ἐκ τοῦ ἱεροῦ λέγει αὐτῷ εἷς  τῶν μαθητῶν αὐτοῦ·,", ἴδε ποταποὶ λίθοι καὶ ποταπαὶ οἰκοδομαί."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 3:12,ἦλθον δὲ καὶ τελῶναι  βαπτισθῆναι καὶ εἶπαν πρὸς αὐτόν·,", τί ποιήσωμεν;"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 7:40,"Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· Σίμων, ἔχω σοί τι εἰπεῖν. ὁ δέ·",", εἰπέ, φησίν."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 9:38,καὶ ἰδοὺ ἀνὴρ ἀπὸ τοῦ ὄχλου ἐβόησεν λέγων·,", δέομαί σου ἐπιβλέψαι ἐπὶ τὸν υἱόν μου, ὅτι μονογενής μοί ἐστιν,"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 10:25,Καὶ ἰδοὺ νομικός τις ἀνέστη ἐκπειράζων αὐτὸν λέγων·,", τί ποιήσας ζωὴν αἰώνιον κληρονομήσω;"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 11:45,Ἀποκριθεὶς δέ τις τῶν νομικῶν λέγει αὐτῷ·,", ταῦτα λέγων καὶ ἡμᾶς ὑβρίζεις."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 12:13,Εἶπεν δέ τις ἐκ τοῦ ὄχλου αὐτῷ·,", εἰπὲ τῷ ἀδελφῷ μου μερίσασθαι μετʼ ἐμοῦ τὴν κληρονομίαν."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 18:18,Καὶ ἐπηρώτησέν τις αὐτὸν ἄρχων λέγων·,"ἀγαθέ, τί ποιήσας ζωὴν αἰώνιον κληρονομήσω;"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 19:39,καί τινες τῶν Φαρισαίων ἀπὸ τοῦ ὄχλου εἶπαν πρὸς αὐτόν·,", ἐπιτίμησον τοῖς μαθηταῖς σου."
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 20:21,καὶ ἐπηρώτησαν αὐτὸν λέγοντες·,", οἴδαμεν ὅτι ὀρθῶς λέγεις καὶ διδάσκεις καὶ οὐ λαμβάνεις πρόσωπον, ἀλλʼ ἐπʼ ἀληθείας"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 20:28,λέγοντες·,", Μωϋσῆς ἔγραψεν ἡμῖν, ἐάν τινος ἀδελφὸς ἀποθάνῃ ἔχων γυναῖκα, καὶ οὗτος ἄτεκνος ᾖ"
διδάσκαλε,διδάσκαλος,—,—,—,—,masculine,vocative,singular,noun,Luke 20:39,Ἀποκριθέντες δέ τινες τῶν γραμματέων εἶπαν·,", καλῶς εἶπας."
