Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 27:8,—,διὸ,ἐκλήθη ὁ ἀγρὸς ἐκεῖνος ἀγρὸς αἵματος ἕως τῆς σήμερον.,διό,Louw Nida 89.47,δια,conjunction,—
NA28,Luke 1:35,καὶ ἀποκριθεὶς ὁ ἄγγελος εἶπεν αὐτῇ·      πνεῦμα ἅγιον ἐπελεύσεται ἐπὶ σὲ        καὶ δύναμις ὑψίστου ἐπισκιάσει σοι·,διὸ,καὶ τὸ γεννώμενον  ἅγιον κληθήσεται           υἱὸς θεοῦ.,διό,Louw Nida 89.47,δια,conjunction,—
NA28,Luke 7:7,—,διὸ,"οὐδὲ ἐμαυτὸν ἠξίωσα πρὸς σὲ ἐλθεῖν· ἀλλʼ εἰπὲ λόγῳ, καὶ ἰαθήτω ὁ παῖς μου.",διό,Louw Nida 89.47,δια,conjunction,—
NA28,Acts 10:29,—,διὸ,καὶ ἀναντιρρήτως ἦλθον μεταπεμφθείς. πυνθάνομαι οὖν τίνι λόγῳ μετεπέμψασθέ με;,διό,Louw Nida 89.47,δια,conjunction,—
NA28,Acts 15:19,—,διὸ,"ἐγὼ κρίνω μὴ παρενοχλεῖν τοῖς ἀπὸ τῶν ἐθνῶν ἐπιστρέφουσιν ἐπὶ τὸν θεόν,",διό,Louw Nida 89.47,δια,conjunction,—
NA28,Acts 20:31,—,διὸ,γρηγορεῖτε μνημονεύοντες ὅτι τριετίαν νύκτα καὶ ἡμέραν οὐκ ἐπαυσάμην μετὰ δακρύων νουθετῶν ἕνα ἕκαστον.,διό,Louw Nida 89.47,δια,conjunction,—
NA28,Acts 24:26,ἅμα καὶ ἐλπίζων ὅτι χρήματα δοθήσεται αὐτῷ ὑπὸ τοῦ Παύλου·,διὸ,καὶ πυκνότερον αὐτὸν μεταπεμπόμενος ὡμίλει αὐτῷ.,διό,Louw Nida 89.47,δια,conjunction,—
NA28,Acts 25:26,"περὶ οὗ ἀσφαλές τι γράψαι τῷ κυρίῳ οὐκ ἔχω,",διὸ,"προήγαγον αὐτὸν ἐφʼ ὑμῶν καὶ μάλιστα ἐπὶ σοῦ, βασιλεῦ Ἀγρίππα, ὅπως τῆς ἀνακρίσεως γενομένης σχῶ τί γράψω·",διό,Louw Nida 89.47,δια,conjunction,—
NA28,Acts 26:3,"μάλιστα γνώστην ὄντα σε πάντων τῶν κατὰ Ἰουδαίους ἐθῶν τε καὶ ζητημάτων,",διὸ,δέομαι  μακροθύμως ἀκοῦσαί μου.,διό,Louw Nida 89.47,δια,conjunction,—
NA28,Acts 27:25,—,διὸ,"εὐθυμεῖτε, ἄνδρες· πιστεύω γὰρ τῷ θεῷ ὅτι οὕτως ἔσται καθʼ ὃν τρόπον λελάληταί μοι.",διό,Louw Nida 89.47,δια,conjunction,—
NA28,Acts 27:34,—,διὸ,"παρακαλῶ ὑμᾶς μεταλαβεῖν τροφῆς· τοῦτο γὰρ πρὸς τῆς ὑμετέρας σωτηρίας ὑπάρχει, οὐδενὸς γὰρ",διό,Louw Nida 89.47,δια,conjunction,—
