Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Matthew 17:25,λέγει· ναί. καὶ ἐλθόντα εἰς τὴν οἰκίαν προέφθασεν αὐτὸν ὁ Ἰησοῦς λέγων· τί σοι,", Σίμων; οἱ βασιλεῖς τῆς γῆς ἀπὸ τίνων λαμβάνουσιν τέλη ἢ κῆνσον; ἀπὸ τῶν"
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Matthew 18:12,Τί ὑμῖν,"; ἐὰν γένηταί τινι ἀνθρώπῳ ἑκατὸν πρόβατα καὶ πλανηθῇ ἓν ἐξ αὐτῶν, οὐχὶ ἀφήσει"
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Matthew 21:28,Τί δὲ ὑμῖν,"; ἄνθρωπος  εἶχεν τέκνα δύο. καὶ προσελθὼν τῷ πρώτῳ εἶπεν· τέκνον, ὕπαγε σήμερον ἐργάζου ἐν τῷ ἀμπελῶνι."
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Matthew 22:17,εἰπὲ οὖν ἡμῖν τί σοι,·  ἔξεστιν δοῦναι κῆνσον Καίσαρι ἢ οὔ;
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Matthew 22:42,λέγων· τί ὑμῖν,περὶ τοῦ χριστοῦ; τίνος υἱός ἐστιν; λέγουσιν αὐτῷ· τοῦ Δαυίδ.
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Matthew 26:66,τί ὑμῖν,; οἱ δὲ ἀποκριθέντες εἶπαν· ἔνοχος θανάτου ἐστίν.
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Luke 8:18,"Βλέπετε οὖν πῶς ἀκούετε· ὃς ἂν γὰρ ἔχῃ, δοθήσεται αὐτῷ· καὶ ὃς ἂν μὴ ἔχῃ, καὶ ὃ",ἔχειν ἀρθήσεται ἀπʼ αὐτοῦ.
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Luke 10:36,τίς τούτων τῶν τριῶν πλησίον,σοι γεγονέναι τοῦ ἐμπεσόντος εἰς τοὺς λῃστάς;
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,Luke 22:24,"Ἐγένετο δὲ καὶ φιλονεικία ἐν αὐτοῖς, τὸ τίς αὐτῶν",εἶναι μείζων.
δοκεῖ,δοκέω,present,active,indicative,third person,—,—,singular,verb,John 11:56,ἐζήτουν οὖν τὸν Ἰησοῦν καὶ ἔλεγον μετʼ ἀλλήλων ἐν τῷ ἱερῷ ἑστηκότες· τί,ὑμῖν; ὅτι οὐ μὴ ἔλθῃ εἰς τὴν ἑορτήν;
