Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Δόξαν,δόξα,—,—,—,—,feminine,accusative,singular,noun,John 5:41,—,"παρὰ ἀνθρώπων οὐ λαμβάνω,"
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Luke 2:9,καὶ  ἄγγελος κυρίου ἐπέστη αὐτοῖς καὶ,"κυρίου περιέλαμψεν αὐτούς, καὶ ἐφοβήθησαν φόβον μέγαν."
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Luke 2:14,—,ἐν ὑψίστοις θεῷ           καὶ ἐπὶ γῆς εἰρήνη           ἐν ἀνθρώποις εὐδοκίας.
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Luke 14:10,"ἔλθῃ ὁ κεκληκώς σε ἐρεῖ σοι· φίλε, προσανάβηθι ἀνώτερον· τότε ἔσται σοι",ἐνώπιον πάντων τῶν συνανακειμένων σοι.
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Luke 19:38,"λέγοντες·        εὐλογημένος ὁ ἐρχόμενος,           ὁ βασιλεὺς ἐν ὀνόματι κυρίου·        ἐν οὐρανῷ εἰρήνη           καὶ",ἐν ὑψίστοις.
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,John 8:54,"ἀπεκρίθη  Ἰησοῦς· ἐὰν ἐγὼ δοξάσω ἐμαυτόν, ἡ","μου οὐδέν ἐστιν· ἔστιν ὁ πατήρ μου ὁ δοξάζων με, ὃν ὑμεῖς λέγετε ὅτι θεὸς ἡμῶν ἐστιν,"
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Romans 2:10,—,"δὲ καὶ τιμὴ καὶ εἰρήνη παντὶ τῷ ἐργαζομένῳ τὸ ἀγαθόν, Ἰουδαίῳ τε πρῶτον καὶ Ἕλληνι·"
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Romans 9:4,"οἵτινές εἰσιν Ἰσραηλῖται, ὧν ἡ υἱοθεσία καὶ ἡ","καὶ αἱ διαθῆκαι καὶ ἡ νομοθεσία καὶ ἡ λατρεία καὶ αἱ ἐπαγγελίαι,"
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Romans 11:36,ὅτι ἐξ αὐτοῦ καὶ διʼ αὐτοῦ καὶ εἰς αὐτὸν τὰ πάντα·           αὐτῷ ἡ,"εἰς τοὺς αἰῶνας, ἀμήν."
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Romans 16:27,"μόνῳ σοφῷ θεῷ, διὰ Ἰησοῦ Χριστοῦ, ᾧ ἡ","εἰς τοὺς αἰῶνας, ἀμήν."
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 11:7,Ἀνὴρ μὲν γὰρ οὐκ ὀφείλει κατακαλύπτεσθαι τὴν κεφαλὴν εἰκὼν καὶ,θεοῦ ὑπάρχων· ἡ γυνὴ δὲ δόξα ἀνδρός ἐστιν.
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 11:7,Ἀνὴρ μὲν γὰρ οὐκ ὀφείλει κατακαλύπτεσθαι τὴν κεφαλὴν εἰκὼν καὶ δόξα θεοῦ ὑπάρχων· ἡ γυνὴ δὲ,ἀνδρός ἐστιν.
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 11:15,γυνὴ δὲ ἐὰν κομᾷ,αὐτῇ ἐστιν; ὅτι ἡ κόμη ἀντὶ περιβολαίου δέδοται [αὐτῇ].
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 15:40,"καὶ σώματα ἐπουράνια, καὶ σώματα ἐπίγεια· ἀλλʼ ἑτέρα μὲν ἡ τῶν ἐπουρανίων",", ἑτέρα δὲ ἡ τῶν ἐπιγείων."
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 15:41,ἄλλη,"ἡλίου, καὶ ἄλλη δόξα σελήνης, καὶ ἄλλη δόξα ἀστέρων· ἀστὴρ γὰρ ἀστέρος διαφέρει ἐν δόξῃ."
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 15:41,"ἄλλη δόξα ἡλίου, καὶ ἄλλη","σελήνης, καὶ ἄλλη δόξα ἀστέρων· ἀστὴρ γὰρ ἀστέρος διαφέρει ἐν δόξῃ."
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 15:41,"ἄλλη δόξα ἡλίου, καὶ ἄλλη δόξα σελήνης, καὶ ἄλλη",ἀστέρων· ἀστὴρ γὰρ ἀστέρος διαφέρει ἐν δόξῃ.
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,2 Corinthians 3:9,εἰ γὰρ τῇ διακονίᾳ τῆς κατακρίσεως,", πολλῷ μᾶλλον περισσεύει ἡ διακονία τῆς δικαιοσύνης  δόξῃ."
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,2 Corinthians 8:23,"εἴτε ὑπὲρ Τίτου, κοινωνὸς ἐμὸς καὶ εἰς ὑμᾶς συνεργός· εἴτε ἀδελφοὶ ἡμῶν, ἀπόστολοι ἐκκλησιῶν,",Χριστοῦ.
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Galatians 1:5,ᾧ ἡ,"εἰς τοὺς αἰῶνας τῶν αἰώνων, ἀμήν."
δόξα,δόξα,—,—,—,—,feminine,nominative,singular,noun,Ephesians 3:13,"διὸ αἰτοῦμαι μὴ ἐγκακεῖν ἐν ταῖς θλίψεσίν μου ὑπὲρ ὑμῶν, ἥτις ἐστὶν",ὑμῶν.
