Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
δυνάμεθά,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,2 Corinthians 13:8,οὐ γὰρ,τι κατὰ τῆς ἀληθείας ἀλλʼ ὑπὲρ τῆς ἀληθείας.
δυνάμεθα,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,Matthew 20:22,τί αἰτεῖσθε. δύνασθε πιεῖν τὸ ποτήριον ὃ ἐγὼ μέλλω πίνειν; λέγουσιν αὐτῷ·,.
δυνάμεθα,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,Mark 10:39,οἱ δὲ εἶπαν αὐτῷ·,. ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· τὸ ποτήριον ὃ ἐγὼ πίνω πίεσθε καὶ τὸ
δυνάμεθα,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,John 14:5,"Λέγει αὐτῷ Θωμᾶς·  κύριε, οὐκ οἴδαμεν ποῦ ὑπάγεις·  πῶς",τὴν ὁδὸν εἰδέναι;
δυνάμεθα,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,Acts 4:16,γνωστὸν σημεῖον γέγονεν διʼ αὐτῶν πᾶσιν τοῖς κατοικοῦσιν  Ἰερουσαλὴμ φανερὸν καὶ οὐ,ἀρνεῖσθαι·
δυνάμεθα,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,Acts 4:20,οὐ,γὰρ ἡμεῖς ἃ εἴδαμεν καὶ ἠκούσαμεν μὴ λαλεῖν.
δυνάμεθα,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,Acts 17:19,ἐπιλαβόμενοί τε αὐτοῦ ἐπὶ τὸν Ἄρειον πάγον ἤγαγον λέγοντες·,γνῶναι τίς ἡ καινὴ αὕτη ἡ ὑπὸ σοῦ λαλουμένη διδαχή;
δυνάμεθα,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,1 Thessalonians 3:9,τίνα γὰρ εὐχαριστίαν,"τῷ θεῷ ἀνταποδοῦναι περὶ ὑμῶν ἐπὶ πάσῃ τῇ χαρᾷ ᾗ χαίρομεν διʼ ὑμᾶς ἔμπροσθεν τοῦ θεοῦ ἡμῶν,"
δυνάμεθα,δύναμαι,present,either middle or passive,indicative,first person,—,—,plural,verb,1 Timothy 6:7,"οὐδὲν γὰρ εἰσηνέγκαμεν εἰς τὸν κόσμον,      ὅτι οὐδὲ ἐξενεγκεῖν τι",·
δυνάμενά,δύναμαι,present,either middle or passive,participle,—,neuter,accusative,plural,verb,2 Timothy 3:15,"καὶ ὅτι ἀπὸ βρέφους [τὰ] ἱερὰ γράμματα οἶδας, τὰ",σε σοφίσαι εἰς σωτηρίαν διὰ πίστεως τῆς ἐν Χριστῷ Ἰησοῦ.
δυνάμενα,δύναμαι,present,either middle or passive,participle,—,neuter,accusative,plural,verb,2 Timothy 3:7,πάντοτε μανθάνοντα καὶ μηδέποτε εἰς ἐπίγνωσιν ἀληθείας ἐλθεῖν,.
δυνάμεναι,δύναμαι,present,either middle or passive,participle,—,feminine,nominative,plural,verb,Hebrews 9:9,"ἥτις  παραβολὴ εἰς τὸν καιρὸν τὸν ἐνεστηκότα, καθʼ ἣν δῶρά τε καὶ θυσίαι προσφέρονται μὴ","κατὰ συνείδησιν τελειῶσαι τὸν λατρεύοντα,"
δυνάμενοι,δύναμαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Mark 2:4,καὶ μὴ,"προσενέγκαι αὐτῷ διὰ τὸν ὄχλον ἀπεστέγασαν τὴν στέγην ὅπου ἦν , καὶ ἐξορύξαντες χαλῶσιν"
