Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 10:11,—,"ἣν δʼ ἂν πόλιν ἢ κώμην εἰσέλθητε, ἐξετάσατε τίς ἐν αὐτῇ ἄξιός ἐστιν"
Εἰς,εἰς,—,—,—,—,—,—,—,preposition,2 Thessalonians 1:11,—,"ὃ καὶ προσευχόμεθα πάντοτε περὶ ὑμῶν, ἵνα ὑμᾶς ἀξιώσῃ τῆς κλήσεως ὁ θεὸς"
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:1,"Τοῦ δὲ Ἰησοῦ γεννηθέντος ἐν Βηθλέεμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδοὺ μάγοι ἀπὸ ἀνατολῶν παρεγένοντο",Ἱεροσόλυμα
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:8,καὶ πέμψας αὐτοὺς,"Βηθλέεμ εἶπεν· πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου· ἐπὰν δὲ εὕρητε, ἀπαγγείλατέ μοι"
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:11,καὶ ἐλθόντες,"τὴν οἰκίαν εἶδον τὸ παιδίον μετὰ Μαρίας τῆς μητρὸς αὐτοῦ, καὶ πεσόντες προσεκύνησαν"
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:12,"Καὶ χρηματισθέντες κατʼ ὄναρ μὴ ἀνακάμψαι πρὸς Ἡρῴδην, διʼ ἄλλης ὁδοῦ ἀνεχώρησαν",τὴν χώραν αὐτῶν.
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:13,Ἰωσὴφ λέγων· ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε,Αἴγυπτον καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι· μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό.
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:14,ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ νυκτὸς καὶ ἀνεχώρησεν,"Αἴγυπτον,"
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:20,λέγων· ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου,γῆν Ἰσραήλ· τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου.
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:21,ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ εἰσῆλθεν,γῆν Ἰσραήλ.
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:22,τοῦ πατρὸς αὐτοῦ Ἡρῴδου ἐφοβήθη ἐκεῖ ἀπελθεῖν· χρηματισθεὶς δὲ κατʼ ὄναρ ἀνεχώρησεν,"τὰ μέρη τῆς Γαλιλαίας,"
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 2:23,καὶ ἐλθὼν κατῴκησεν,πόλιν λεγομένην Ναζαρέτ· ὅπως πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν ὅτι Ναζωραῖος κληθήσεται.
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 3:10,τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ,πῦρ βάλλεται.
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 3:11,Ἐγὼ μὲν ὑμᾶς βαπτίζω ἐν ὕδατι,"μετάνοιαν, ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ οὐκ εἰμὶ ἱκανὸς"
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 3:12,οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ,"τὴν ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ."
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 4:1,Τότε ὁ Ἰησοῦς ἀνήχθη,τὴν ἔρημον ὑπὸ τοῦ πνεύματος πειρασθῆναι ὑπὸ τοῦ διαβόλου.
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 4:5,Τότε παραλαμβάνει αὐτὸν ὁ διάβολος,τὴν ἁγίαν πόλιν καὶ ἔστησεν αὐτὸν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ
εἰς,εἰς,—,—,—,—,—,—,—,preposition,Matthew 4:8,Πάλιν παραλαμβάνει αὐτὸν ὁ διάβολος,ὄρος ὑψηλὸν λίαν καὶ δείκνυσιν αὐτῷ πάσας τὰς βασιλείας τοῦ κόσμου καὶ τὴν δόξαν αὐτῶν
