Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Matthew 4:23,Καὶ περιῆγεν ἐν ὅλῃ τῇ Γαλιλαίᾳ διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ,τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Matthew 9:35,Καὶ περιῆγεν ὁ Ἰησοῦς τὰς πόλεις πάσας καὶ τὰς κώμας διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ,τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,nominative,singular,Matthew 24:14,καὶ κηρυχθήσεται τοῦτο τὸ,"τῆς βασιλείας ἐν ὅλῃ τῇ οἰκουμένῃ εἰς μαρτύριον πᾶσιν τοῖς ἔθνεσιν, καὶ τότε ἥξει τὸ τέλος."
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,nominative,singular,Matthew 26:13,"ἀμὴν λέγω ὑμῖν, ὅπου ἐὰν κηρυχθῇ τὸ","τοῦτο ἐν ὅλῳ τῷ κόσμῳ, λαληθήσεται καὶ ὃ ἐποίησεν αὕτη εἰς μνημόσυνον αὐτῆς."
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,Mark 1:1,Ἀρχὴ τοῦ,Ἰησοῦ Χριστοῦ [υἱοῦ θεοῦ].
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Mark 1:14,Μετὰ δὲ τὸ παραδοθῆναι τὸν Ἰωάννην ἦλθεν ὁ Ἰησοῦς εἰς τὴν Γαλιλαίαν κηρύσσων τὸ,τοῦ θεοῦ
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,Mark 1:15,καὶ λέγων ὅτι πεπλήρωται ὁ καιρὸς καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε καὶ πιστεύετε ἐν τῷ,.
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,Mark 8:35,αὐτήν· ὃς δʼ ἂν ἀπολέσει τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ καὶ τοῦ,σώσει αὐτήν.
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,Mark 10:29,μητέρα ἢ πατέρα  ἢ τέκνα ἢ ἀγροὺς ἕνεκεν ἐμοῦ καὶ ἕνεκεν τοῦ,","
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,"accusative, nominative",singular,Mark 13:10,καὶ εἰς πάντα τὰ ἔθνη πρῶτον δεῖ κηρυχθῆναι τὸ,.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,nominative,singular,Mark 14:9,"ἀμὴν δὲ λέγω ὑμῖν, ὅπου ἐὰν κηρυχθῇ τὸ","εἰς ὅλον τὸν κόσμον, καὶ ὃ ἐποίησεν αὕτη λαληθήσεται εἰς μνημόσυνον αὐτῆς."
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Mark 16:15,καὶ εἶπεν αὐτοῖς· πορευθέντες εἰς τὸν κόσμον ἅπαντα κηρύξατε τὸ,πάσῃ τῇ κτίσει.
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,Acts 15:7,ὁ θεὸς διὰ τοῦ στόματός μου ἀκοῦσαι τὰ ἔθνη τὸν λόγον τοῦ,καὶ πιστεῦσαι.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Acts 20:24,"μου  καὶ τὴν διακονίαν ἣν ἔλαβον παρὰ τοῦ κυρίου Ἰησοῦ, διαμαρτύρασθαι  τὸ",τῆς χάριτος τοῦ θεοῦ.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Romans 1:1,"Παῦλος δοῦλος Χριστοῦ Ἰησοῦ, κλητὸς ἀπόστολος ἀφωρισμένος εἰς","θεοῦ,"
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,Romans 1:9,"μάρτυς γάρ μού ἐστιν ὁ θεός, ᾧ λατρεύω ἐν τῷ πνεύματί μου ἐν τῷ","τοῦ υἱοῦ αὐτοῦ, ὡς ἀδιαλείπτως μνείαν ὑμῶν ποιοῦμαι"
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Romans 1:16,Οὐ γὰρ ἐπαισχύνομαι τὸ,", δύναμις γὰρ θεοῦ ἐστιν εἰς σωτηρίαν παντὶ τῷ πιστεύοντι, Ἰουδαίῳ τε πρῶτον καὶ Ἕλληνι."
εὐαγγέλιόν,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Romans 2:16,ἐν ἡμέρᾳ ὅτε κρίνει ὁ θεὸς τὰ κρυπτὰ τῶν ἀνθρώπων κατὰ τὸ,μου διὰ Χριστοῦ Ἰησοῦ.
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,Romans 10:16,Ἀλλʼ οὐ πάντες ὑπήκουσαν τῷ,". Ἠσαΐας γὰρ λέγει· κύριε, τίς ἐπίστευσεν τῇ ἀκοῇ ἡμῶν;"
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Romans 11:28,κατὰ μὲν τὸ,"ἐχθροὶ διʼ ὑμᾶς, κατὰ δὲ τὴν ἐκλογὴν ἀγαπητοὶ διὰ τοὺς πατέρας·"
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Romans 15:16,"εἰς τὸ εἶναί με λειτουργὸν Χριστοῦ Ἰησοῦ εἰς τὰ ἔθνη, ἱερουργοῦντα τὸ","τοῦ θεοῦ, ἵνα γένηται ἡ προσφορὰ τῶν ἐθνῶν εὐπρόσδεκτος, ἡγιασμένη ἐν πνεύματι ἁγίῳ."
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Romans 15:19,θεοῦ]· ὥστε με ἀπὸ Ἰερουσαλὴμ καὶ κύκλῳ μέχρι τοῦ Ἰλλυρικοῦ πεπληρωκέναι τὸ,"τοῦ Χριστοῦ,"
