Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
εὐαγγελίζεσθαι,εὐαγγελίζω,present,middle,infinitive,—,—,—,—,verb,Romans 15:20,οὕτως δὲ φιλοτιμούμενον,"οὐχ ὅπου ὠνομάσθη Χριστός, ἵνα μὴ ἐπʼ ἀλλότριον θεμέλιον οἰκοδομῶ,"
εὐαγγελίζεσθαι,εὐαγγελίζω,present,middle,infinitive,—,—,—,—,verb,1 Corinthians 1:17,οὐ γὰρ ἀπέστειλέν με  Χριστὸς βαπτίζειν ἀλλʼ,", οὐκ ἐν σοφίᾳ λόγου, ἵνα μὴ κενωθῇ ὁ σταυρὸς τοῦ Χριστοῦ."
εὐαγγελίζεται,εὐαγγελίζω,present,passive,indicative,third person,—,—,singular,verb,Luke 16:16,Ὁ νόμος καὶ οἱ προφῆται μέχρι Ἰωάννου· ἀπὸ τότε ἡ βασιλεία τοῦ θεοῦ,καὶ πᾶς εἰς αὐτὴν βιάζεται.
εὐαγγελίζεται,εὐαγγελίζω,present,middle,indicative,third person,—,—,singular,verb,Galatians 1:9,ὡς προειρήκαμεν καὶ ἄρτι πάλιν λέγω· εἴ τις ὑμᾶς,"παρʼ ὃ παρελάβετε, ἀνάθεμα ἔστω."
εὐαγγελίζεται,εὐαγγελίζω,present,middle,indicative,third person,—,—,singular,verb,Galatians 1:23,μόνον δὲ ἀκούοντες ἦσαν ὅτι ὁ διώκων ἡμᾶς ποτε νῦν,"τὴν πίστιν ἥν ποτε ἐπόρθει,"
εὐαγγελίζηται,εὐαγγελίζω,present,middle,subjunctive,third person,—,—,singular,verb,Galatians 1:8,ἀλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος ἐξ οὐρανοῦ,"[ὑμῖν] παρʼ ὃ εὐηγγελισάμεθα ὑμῖν, ἀνάθεμα ἔστω."
εὐαγγελίζομαι,εὐαγγελίζω,present,middle,indicative,first person,—,—,singular,verb,Luke 2:10,"καὶ εἶπεν αὐτοῖς ὁ ἄγγελος· μὴ φοβεῖσθε, ἰδοὺ γὰρ","ὑμῖν χαρὰν μεγάλην ἥτις ἔσται  παντὶ τῷ λαῷ,"
εὐαγγελίζονται,εὐαγγελίζω,present,passive,indicative,third person,—,—,plural,verb,Matthew 11:5,"τυφλοὶ ἀναβλέπουσιν καὶ χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται καὶ κωφοὶ ἀκούουσιν, καὶ νεκροὶ ἐγείρονται καὶ πτωχοὶ",·
εὐαγγελίζονται,εὐαγγελίζω,present,passive,indicative,third person,—,—,plural,verb,Luke 7:22,"τυφλοὶ ἀναβλέπουσιν,  χωλοὶ περιπατοῦσιν,        λεπροὶ καθαρίζονται καὶ κωφοὶ ἀκούουσιν,        νεκροὶ ἐγείρονται, πτωχοὶ",·
εὐαγγελίζωμαι,εὐαγγελίζω,present,middle,subjunctive,first person,—,—,singular,verb,1 Corinthians 9:16,ἐὰν γὰρ,", οὐκ ἔστιν μοι καύχημα· ἀνάγκη γάρ μοι ἐπίκειται· οὐαὶ γάρ μοί ἐστιν ἐὰν μὴ εὐαγγελίσωμαι."
εὐαγγελίζωμαι,εὐαγγελίζω,present,middle,subjunctive,first person,—,—,singular,verb,Galatians 1:16,"ἀποκαλύψαι τὸν υἱὸν αὐτοῦ ἐν ἐμοί, ἵνα","αὐτὸν ἐν τοῖς ἔθνεσιν, εὐθέως οὐ προσανεθέμην σαρκὶ καὶ αἵματι"
εὐαγγελίσαι,εὐαγγελίζω,aorist,active,infinitive,—,—,—,—,verb,Revelation 14:6,"Καὶ εἶδον ἄλλον ἄγγελον πετόμενον ἐν μεσουρανήματι, ἔχοντα εὐαγγέλιον αἰώνιον","ἐπὶ τοὺς καθημένους ἐπὶ τῆς γῆς καὶ ἐπὶ πᾶν ἔθνος καὶ φυλὴν καὶ γλῶσσαν καὶ λαόν,"
εὐαγγελίσασθαί,εὐαγγελίζω,aorist,middle,infinitive,—,—,—,—,verb,Luke 1:19,Γαβριὴλ ὁ παρεστηκὼς ἐνώπιον τοῦ θεοῦ καὶ ἀπεστάλην λαλῆσαι πρὸς σὲ καὶ,σοι ταῦτα·
εὐαγγελίσασθαί,εὐαγγελίζω,aorist,middle,infinitive,—,—,—,—,verb,Luke 4:43,ὁ δὲ εἶπεν πρὸς αὐτοὺς ὅτι καὶ ταῖς ἑτέραις πόλεσιν,"με δεῖ τὴν βασιλείαν τοῦ θεοῦ, ὅτι ἐπὶ τοῦτο ἀπεστάλην."
εὐαγγελίσασθαι,εὐαγγελίζω,aorist,middle,infinitive,—,—,—,—,verb,Luke 4:18,πνεῦμα κυρίου ἐπʼ ἐμὲ           οὗ εἵνεκεν ἔχρισέν με,"πτωχοῖς,           ἀπέσταλκέν με,        κηρύξαι αἰχμαλώτοις ἄφεσιν           καὶ τυφλοῖς ἀνάβλεψιν,        ἀποστεῖλαι τεθραυσμένους ἐν ἀφέσει,"
εὐαγγελίσασθαι,εὐαγγελίζω,aorist,middle,infinitive,—,—,—,—,verb,Acts 16:10,"ὡς δὲ τὸ ὅραμα εἶδεν, εὐθέως ἐζητήσαμεν ἐξελθεῖν εἰς Μακεδονίαν συμβιβάζοντες ὅτι προσκέκληται ἡμᾶς ὁ θεὸς",αὐτούς.
εὐαγγελίσασθαι,εὐαγγελίζω,aorist,middle,infinitive,—,—,—,—,verb,Romans 1:15,οὕτως τὸ κατʼ ἐμὲ πρόθυμον καὶ  ὑμῖν τοῖς ἐν Ῥώμῃ,.
εὐαγγελίσασθαι,εὐαγγελίζω,aorist,middle,infinitive,—,—,—,—,verb,2 Corinthians 10:16,εἰς τὰ ὑπερέκεινα ὑμῶν,", οὐκ ἐν ἀλλοτρίῳ κανόνι εἰς τὰ ἕτοιμα καυχήσασθαι."
εὐαγγελίσασθαι,εὐαγγελίζω,aorist,middle,infinitive,—,—,—,—,verb,Ephesians 3:8,"Ἐμοὶ τῷ ἐλαχιστοτέρῳ πάντων ἁγίων ἐδόθη ἡ χάρις αὕτη,  τοῖς ἔθνεσιν",τὸ ἀνεξιχνίαστον πλοῦτος τοῦ Χριστοῦ
εὐαγγελίσωμαι,εὐαγγελίζω,aorist,middle,subjunctive,first person,—,—,singular,verb,1 Corinthians 9:16,"ἐὰν γὰρ εὐαγγελίζωμαι, οὐκ ἔστιν μοι καύχημα· ἀνάγκη γάρ μοι ἐπίκειται· οὐαὶ γάρ μοί ἐστιν ἐὰν μὴ",.
εὐαγγελιζομένου,εὐαγγελίζω,present,middle,participle,—,masculine,genitive,singular,verb,Luke 20:1,Καὶ ἐγένετο ἐν μιᾷ τῶν ἡμερῶν  διδάσκοντος αὐτοῦ τὸν λαὸν ἐν τῷ ἱερῷ καὶ,ἐπέστησαν οἱ ἀρχιερεῖς καὶ οἱ γραμματεῖς σὺν τοῖς πρεσβυτέροις
εὐαγγελιζομένων,εὐαγγελίζω,present,middle,participle,—,masculine,genitive,plural,verb,Romans 10:15,πῶς δὲ κηρύξωσιν ἐὰν μὴ ἀποσταλῶσιν; καθὼς γέγραπται· ὡς ὡραῖοι οἱ πόδες  τῶν,[τὰ] ἀγαθά.
εὐαγγελιζομένῳ,εὐαγγελίζω,present,middle,participle,—,masculine,dative,singular,verb,Acts 8:12,ὅτε δὲ ἐπίστευσαν τῷ Φιλίππῳ,"περὶ τῆς βασιλείας τοῦ θεοῦ καὶ τοῦ ὀνόματος Ἰησοῦ Χριστοῦ, ἐβαπτίζοντο ἄνδρες τε καὶ γυναῖκες."
εὐαγγελιζόμεθα,εὐαγγελίζω,present,middle,indicative,first person,—,—,plural,verb,Acts 13:32,Καὶ ἡμεῖς ὑμᾶς,"τὴν πρὸς τοὺς πατέρας  ἐπαγγελίαν γενομένην,"
εὐαγγελιζόμενοι,εὐαγγελίζω,present,middle,participle,—,masculine,nominative,plural,verb,Luke 9:6,ἐξερχόμενοι δὲ διήρχοντο κατὰ τὰς κώμας,καὶ θεραπεύοντες πανταχοῦ.
εὐαγγελιζόμενοι,εὐαγγελίζω,present,middle,participle,—,masculine,nominative,plural,verb,Acts 5:42,πᾶσάν τε ἡμέραν ἐν τῷ ἱερῷ καὶ κατʼ οἶκον οὐκ ἐπαύοντο διδάσκοντες καὶ,τὸν χριστὸν Ἰησοῦν.
εὐαγγελιζόμενοι,εὐαγγελίζω,present,middle,participle,—,masculine,nominative,plural,verb,Acts 8:4,Οἱ μὲν οὖν διασπαρέντες διῆλθον,τὸν λόγον.
