Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Ζῶν,ζάω,present,active,participle,—,masculine,nominative,singular,verb,Hebrews 4:12,—,γὰρ ὁ λόγος τοῦ θεοῦ καὶ ἐνεργὴς καὶ τομώτερος ὑπὲρ πᾶσαν μάχαιραν δίστομον
ζήσασα,ζάω,aorist,active,participle,—,feminine,nominative,singular,verb,Luke 2:36,"Καὶ ἦν Ἅννα προφῆτις, θυγάτηρ Φανουήλ, ἐκ φυλῆς Ἀσήρ· αὕτη προβεβηκυῖα ἐν ἡμέραις πολλαῖς,",μετὰ ἀνδρὸς ἔτη ἑπτὰ ἀπὸ τῆς παρθενίας αὐτῆς
ζήσει,ζάω,future,active,indicative,third person,—,—,singular,verb,John 6:51,ἐγώ εἰμι ὁ ἄρτος ὁ ζῶν ὁ ἐκ τοῦ οὐρανοῦ καταβάς· ἐάν τις φάγῃ ἐκ τούτου τοῦ ἄρτου,"εἰς τὸν αἰῶνα, καὶ ὁ ἄρτος δὲ ὃν ἐγὼ δώσω ἡ σάρξ μού"
ζήσει,ζάω,future,active,indicative,third person,—,—,singular,verb,John 6:57,"καθὼς ἀπέστειλέν με ὁ ζῶν πατὴρ κἀγὼ ζῶ διὰ τὸν πατέρα , καὶ ὁ τρώγων με κἀκεῖνος",διʼ ἐμέ.
ζήσει,ζάω,future,active,indicative,third person,—,—,singular,verb,John 6:58,οὐ καθὼς ἔφαγον οἱ πατέρες  καὶ ἀπέθανον· ὁ τρώγων τοῦτον τὸν ἄρτον,εἰς τὸν αἰῶνα.
ζήσεσθε,ζάω,future,middle,indicative,second person,—,—,plural,verb,Romans 8:13,"εἰ γὰρ κατὰ σάρκα ζῆτε, μέλλετε ἀποθνῄσκειν· εἰ δὲ πνεύματι τὰς πράξεις τοῦ σώματος θανατοῦτε,",.
ζήσεται,ζάω,future,middle,indicative,third person,—,—,singular,verb,Matthew 4:4,ὁ δὲ ἀποκριθεὶς εἶπεν· γέγραπται· οὐκ ἐπʼ ἄρτῳ μόνῳ,"ὁ ἄνθρωπος, ἀλλʼ ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ."
ζήσεται,ζάω,future,middle,indicative,third person,—,—,singular,verb,Matthew 9:18,"μου ἄρτι ἐτελεύτησεν· ἀλλʼ ἐλθὼν ἐπίθες τὴν χεῖρά σου ἐπʼ αὐτήν, καὶ",.
ζήσεται,ζάω,future,middle,indicative,third person,—,—,singular,verb,Luke 4:4,καὶ ἀπεκρίθη πρὸς αὐτὸν ὁ Ἰησοῦς· γέγραπται ὅτι οὐκ ἐπʼ ἄρτῳ μόνῳ,ὁ ἄνθρωπος.
ζήσεται,ζάω,future,middle,indicative,third person,—,—,singular,verb,John 11:25,εἶπεν  αὐτῇ ὁ Ἰησοῦς· ἐγώ εἰμι ἡ ἀνάστασις καὶ ἡ ζωή· ὁ πιστεύων εἰς ἐμὲ κἂν ἀποθάνῃ,","
