Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
θρόνοι,θρόνος,—,—,—,—,masculine,nominative,plural,noun,Colossians 1:16,"τοῖς οὐρανοῖς καὶ  ἐπὶ τῆς γῆς,        τὰ ὁρατὰ καὶ τὰ ἀόρατα,        εἴτε",εἴτε κυριότητες        εἴτε ἀρχαὶ εἴτε ἐξουσίαι·        τὰ πάντα διʼ αὐτοῦ καὶ εἰς αὐτὸν ἔκτισται·
θρόνον,θρόνος,—,—,—,—,masculine,accusative,singular,noun,Luke 1:32,οὗτος ἔσται μέγας καὶ υἱὸς ὑψίστου κληθήσεται     καὶ δώσει αὐτῷ κύριος ὁ θεὸς τὸν,"Δαυὶδ τοῦ πατρὸς αὐτοῦ,"
θρόνον,θρόνος,—,—,—,—,masculine,accusative,singular,noun,Acts 2:30,ὤμοσεν αὐτῷ ὁ θεὸς ἐκ καρποῦ τῆς ὀσφύος αὐτοῦ  καθίσαι ἐπὶ τὸν,"αὐτοῦ,"
θρόνον,θρόνος,—,—,—,—,masculine,accusative,singular,noun,Revelation 4:2,"Εὐθέως ἐγενόμην ἐν πνεύματι, καὶ ἰδοὺ θρόνος ἔκειτο ἐν τῷ οὐρανῷ, καὶ ἐπὶ τὸν","καθήμενος,"
θρόνον,θρόνος,—,—,—,—,masculine,accusative,singular,noun,Revelation 12:5,σιδηρᾷ. καὶ ἡρπάσθη τὸ τέκνον αὐτῆς πρὸς τὸν θεὸν καὶ πρὸς τὸν,αὐτοῦ.
θρόνον,θρόνος,—,—,—,—,masculine,accusative,singular,noun,Revelation 13:2,στόμα λέοντος. καὶ ἔδωκεν αὐτῷ ὁ δράκων τὴν δύναμιν αὐτοῦ καὶ τὸν,αὐτοῦ καὶ ἐξουσίαν μεγάλην.
θρόνον,θρόνος,—,—,—,—,masculine,accusative,singular,noun,Revelation 16:10,Καὶ ὁ πέμπτος  ἐξέχεεν τὴν φιάλην αὐτοῦ ἐπὶ τὸν,"τοῦ θηρίου, καὶ ἐγένετο ἡ βασιλεία αὐτοῦ ἐσκοτωμένη, καὶ ἐμασῶντο τὰς γλώσσας αὐτῶν ἐκ τοῦ πόνου,"
θρόνον,θρόνος,—,—,—,—,masculine,accusative,singular,noun,Revelation 20:11,Καὶ εἶδον,"μέγαν λευκὸν καὶ τὸν καθήμενον ἐπʼ αὐτόν, οὗ ἀπὸ τοῦ προσώπου ἔφυγεν ἡ"
θρόνος,θρόνος,—,—,—,—,masculine,nominative,singular,noun,Matthew 5:34,"ἐγὼ δὲ λέγω ὑμῖν μὴ ὀμόσαι ὅλως· μήτε ἐν τῷ οὐρανῷ, ὅτι","ἐστὶν τοῦ θεοῦ,"
θρόνος,θρόνος,—,—,—,—,masculine,nominative,singular,noun,Acts 7:49,ὁ οὐρανός μοι,",           ἡ δὲ γῆ ὑποπόδιον τῶν ποδῶν μου        ποῖον οἶκον οἰκοδομήσετέ μοι, λέγει κύριος"
θρόνος,θρόνος,—,—,—,—,masculine,nominative,singular,noun,Hebrews 1:8,πρὸς δὲ τὸν υἱόν·      ὁ,"σου ὁ θεὸς εἰς τὸν αἰῶνα τοῦ αἰῶνος,      καὶ ἡ ῥάβδος τῆς εὐθύτητος ῥάβδος τῆς βασιλείας σου."
θρόνος,θρόνος,—,—,—,—,masculine,nominative,singular,noun,Revelation 2:13,"οἶδα  ποῦ κατοικεῖς, ὅπου ὁ","τοῦ σατανᾶ, καὶ κρατεῖς τὸ ὄνομά μου καὶ οὐκ ἠρνήσω τὴν πίστιν μου"
θρόνος,θρόνος,—,—,—,—,masculine,nominative,singular,noun,Revelation 4:2,"Εὐθέως ἐγενόμην ἐν πνεύματι, καὶ ἰδοὺ","ἔκειτο ἐν τῷ οὐρανῷ, καὶ ἐπὶ τὸν θρόνον καθήμενος,"
θρόνος,θρόνος,—,—,—,—,masculine,nominative,singular,noun,Revelation 22:3,καὶ πᾶν κατάθεμα οὐκ ἔσται ἔτι. καὶ ὁ,"τοῦ θεοῦ καὶ τοῦ ἀρνίου ἐν αὐτῇ ἔσται, καὶ οἱ δοῦλοι αὐτοῦ λατρεύσουσιν αὐτῷ"
θρόνου,θρόνος,—,—,—,—,masculine,genitive,singular,noun,Matthew 19:28,"ἀκολουθήσαντές μοι ἐν τῇ παλιγγενεσίᾳ, ὅταν καθίσῃ ὁ υἱὸς τοῦ ἀνθρώπου ἐπὶ","δόξης αὐτοῦ, καθήσεσθε καὶ ὑμεῖς ἐπὶ δώδεκα θρόνους κρίνοντες τὰς δώδεκα φυλὰς τοῦ Ἰσραήλ."
